
[00:00:00.000 --> 00:00:06.300]  上個主日,我同大家講咗針研嘅第一講
[00:00:06.300 --> 00:00:08.300]  亦都可以話係引言
[00:00:08.300 --> 00:00:10.300]  係一個大綱
[00:00:10.300 --> 00:00:12.300]  講智慧的高處
[00:00:12.300 --> 00:00:15.300]  唔知大家仲記唔記得,係講乜嘢㗎
[00:00:15.300 --> 00:00:19.300]  智慧嘅高處,我係話
[00:00:19.300 --> 00:00:23.300]  點樣去尋求更高嘅人生智慧
[00:00:23.300 --> 00:00:26.300]  就針研嚟講啦
[00:00:26.300 --> 00:00:31.300]  就係從針研裡面去更加認識神
[00:00:31.300 --> 00:00:35.300]  同埋認識神係我哋人生命中嗰個教導
[00:00:35.300 --> 00:00:39.300]  咁我仲提議大家同我一齊
[00:00:39.300 --> 00:00:43.300]  去跟David Jeremiah嘅提議
[00:00:43.300 --> 00:00:45.300]  去做一個讀經計劃
[00:00:45.300 --> 00:00:49.300]  就係喺一年裡面連續睇
[00:00:49.300 --> 00:00:53.300]  整卷針研書十二次
[00:00:53.300 --> 00:00:57.300]  每個月睇一次,三十一張
[00:00:57.300 --> 00:01:01.300]  月大就啱好,三十一日就睇三十一張
[00:01:01.300 --> 00:01:04.300]  如果唔夠三十一,你自己搵時間
[00:01:04.300 --> 00:01:08.300]  喺其中裡面睇多一兩張
[00:01:08.300 --> 00:01:12.300]  我亦都畀咗大家時間去準備
[00:01:12.300 --> 00:01:16.300]  我哋會喺十月一號
[00:01:16.300 --> 00:01:19.300]  一齊開始睇
[00:01:19.300 --> 00:01:22.300]  希望一年之後,我哋可以
[00:01:22.300 --> 00:01:24.300]  完成之後大家可以有啲分享
[00:01:24.300 --> 00:01:30.300]  不期間我相信我都會有啲分享
[00:01:30.300 --> 00:01:35.300]  你哋有冇諗住參加呢?
[00:01:35.300 --> 00:01:40.300]  我講完之後呢,有好好嘅反應
[00:01:40.300 --> 00:01:44.300]  第一個當日下晝就嚟同我報名話要參加
[00:01:44.300 --> 00:01:46.300]  嗰啲菇呀嗰個係邊個呀?
[00:01:46.300 --> 00:01:48.300]  咁第二個呢
[00:01:48.300 --> 00:01:52.300]  就係好令我驚奇嘅就係
[00:01:52.300 --> 00:01:57.300]  我喺第二日收到一個電郵
[00:01:57.300 --> 00:01:59.300]  原來係海外嘅一位肢體
[00:01:59.300 --> 00:02:02.300]  佢喺第二日就喺網上聽到我嘅講道之後
[00:02:02.300 --> 00:02:05.300]  佢對我所提議呢一個
[00:02:05.300 --> 00:02:09.300]  尋求更高人生智慧讀經計劃
[00:02:09.300 --> 00:02:11.300]  係非常之有興趣
[00:02:11.300 --> 00:02:14.300]  佢話佢都要報名參加
