
[00:00:00.000 --> 00:00:06.360]  今天早上我們一同去思想教會的生命
[00:00:06.360 --> 00:00:13.000]  看看九龍城浸信會的生命狀態
[00:00:13.000 --> 00:00:17.600]  當我們要想到教會生命的狀態的時候
[00:00:17.600 --> 00:00:23.500]  我又想起《士道行傳》所描述的第一間教會
[00:00:23.500 --> 00:00:30.500]  初期的第一間教會是一間聖靈充滿的教會
[00:00:30.500 --> 00:00:33.500]  是神所賜福的教會
[00:00:33.500 --> 00:00:36.500]  是滿有生命能力的教會
[00:00:36.500 --> 00:00:39.500]  是一間合一的教會
[00:00:39.500 --> 00:00:45.500]  我很希望九龍城浸信會是一間同樣的教會
[00:00:45.500 --> 00:00:49.500]  就是一間有聖靈充滿
[00:00:49.500 --> 00:00:52.000]  有神的賜福
[00:00:52.000 --> 00:00:54.500]  是有神的能力
[00:00:54.500 --> 00:00:57.500]  是能夠合一的教會
[00:00:57.500 --> 00:01:01.000]  我相信這樣的教會是可能的
[00:01:01.000 --> 00:01:06.500]  這樣的教會不是一種烏托方式的夢想
[00:01:06.500 --> 00:01:12.000]  也不是一些在紙上談兵的神學理念
[00:01:12.000 --> 00:01:16.500]  而是一個確實可見的神蹟
[00:01:16.500 --> 00:01:20.500]  要怎樣成為一間蒙口恩的教會
[00:01:20.500 --> 00:01:24.500]  有些線索是可以找得到的
[00:01:24.500 --> 00:01:28.500]  這些線索在剛才我們所讀的《經文士道行傳》
[00:01:28.500 --> 00:01:32.000]  二章四十二節我們見到
[00:01:32.000 --> 00:01:38.000]  初期的教會是恆心遵守使徒的教訓
[00:01:38.000 --> 00:01:43.500]  彼此的交接、抹餅、祈禱
[00:01:43.500 --> 00:01:46.500]  這間教會的背景是這樣的
[00:01:46.500 --> 00:01:49.500]  耶穌基督被釘死之後復活
[00:01:49.500 --> 00:01:53.500]  在樓房向門徒顯現
[00:01:53.500 --> 00:01:56.000]  在樓房有大概一百二十人
[00:01:56.000 --> 00:01:59.500]  後來門徒被聖靈充滿
[00:01:59.500 --> 00:02:01.500]  彼得在當中說道
