
[00:00:00.000 --> 00:00:02.360]  頂尖有兩日過年
[00:00:02.360 --> 00:00:04.840]  在這裏和大家拜個早年
[00:00:04.840 --> 00:00:07.080]  想起過年
[00:00:07.080 --> 00:00:10.720]  我就記起小時候有個親戚
[00:00:10.720 --> 00:00:12.720]  他們做小生意
[00:00:12.720 --> 00:00:16.400]  過年之前結帳後就沒錢
[00:00:16.400 --> 00:00:19.080]  沒錢的太太就和先生說
[00:00:19.080 --> 00:00:20.880]  老公怎麼過年
[00:00:20.880 --> 00:00:23.120]  沒錢辦年貨怎麼過呢
[00:00:23.120 --> 00:00:24.640]  老公就說
[00:00:24.640 --> 00:00:27.040]  你過不過?你不過我過
[00:00:27.040 --> 00:00:29.200]  結果兩個都過了年
[00:00:29.200 --> 00:00:33.040]  我希望你今年過得好過他
[00:00:33.040 --> 00:00:35.760]  其實我們過不過年
[00:00:35.760 --> 00:00:37.360]  不單是錢的問題
[00:00:37.360 --> 00:00:38.880]  心更重要
[00:00:38.880 --> 00:00:40.800]  心裏面有沒有難過的
[00:00:40.800 --> 00:00:42.080]  遺憾的
[00:00:42.080 --> 00:00:44.880]  或者憂慮的
[00:00:44.880 --> 00:00:46.960]  我們教會的弟兄姊妹
[00:00:46.960 --> 00:00:50.120]  很樂意陪伴你一齊過年
[00:00:50.120 --> 00:00:51.400]  過一個好年
[00:00:51.400 --> 00:00:53.400]  是上帝祝福的年
[00:00:53.400 --> 00:00:56.800]  年就容易過
[00:00:56.800 --> 00:00:59.120]  但十誡就難守
[00:00:59.120 --> 00:01:01.200]  我們過去三個月
[00:01:01.200 --> 00:01:04.400]  看出《埃及記》來到第20章
[00:01:04.400 --> 00:01:06.600]  上帝判佈十誡
[00:01:06.600 --> 00:01:09.080]  十誡就是一種法律
[00:01:09.080 --> 00:01:11.640]  你知不知道人類有歷史以來
[00:01:11.640 --> 00:01:12.680]  這幾千年
[00:01:12.680 --> 00:01:15.640]  總共加起來定了多少條法律呢
[00:01:15.640 --> 00:01:17.400]  有沒有人可以猜到
[00:01:17.400 --> 00:01:20.600]  三千五百萬條
[00:01:20.600 --> 00:01:22.720]  不知道誰那麼空閒去統計
[00:01:22.720 --> 00:01:24.040]  三千五百萬條
[00:01:24.040 --> 00:01:25.040]  怎麼守
[00:01:25.040 --> 00:01:28.600]  有些法典是很出名的
[00:01:28.600 --> 00:01:30.720]  譬如《巴比倫法典》
[00:01:30.720 --> 00:01:32.960]  公元前成1800年
[00:01:32.960 --> 00:01:36.280]  有282條律法
[00:01:36.280 --> 00:01:38.800]  羅馬帝國羅馬律
[00:01:38.800 --> 00:01:41.680]  用了一千年的時間演變出來
[00:01:41.680 --> 00:01:45.440]  成為了歐洲法律的基礎
[00:01:45.440 --> 00:01:48.080]  《英國大憲章》大家都熟悉
[00:01:48.080 --> 00:01:49.680]  我們在港英時代
[00:01:49.680 --> 00:01:53.480]  就受到《大憲章》的管制和保護
[00:01:53.480 --> 00:01:57.120]  《拿破侖法典》也是很出名的
[00:01:57.120 --> 00:01:58.320]  拿破侖很厲害
[00:01:58.320 --> 00:02:00.320]  又懂得打仗又懂得定法律
[00:02:00.320 --> 00:02:06.000]  我們一定要提我們中國的大清律例
[00:02:06.000 --> 00:02:11.000]  你祖父祖母受到大清律例的影響
[00:02:11.000 --> 00:02:13.240]  甚至你的生命裡面
[00:02:13.240 --> 00:02:17.000]  都會發散一些大清律例的氣息
[00:02:17.000 --> 00:02:19.680]  牧師你只是侮辱我而已
[00:02:19.680 --> 00:02:20.680]  不是的
[00:02:20.680 --> 00:02:25.520]  有位英國學者將我們大清律例
[00:02:25.520 --> 00:02:27.160]  翻譯成英文
[00:02:27.160 --> 00:02:29.040]  說這些是正事
[00:02:29.040 --> 00:02:30.160]  那肯定是正事
[00:02:30.160 --> 00:02:33.640]  因為大清律例是繼承我們幾千年儒家思想
[00:02:33.640 --> 00:02:36.920]  和一些美好傳統集合出來的
[00:02:36.920 --> 00:02:39.840]  有很多好的智慧
[00:02:39.840 --> 00:02:41.520]  當然有些不好的成份
[00:02:41.520 --> 00:02:45.880]  人定的律法就很難避免
