
[00:00:00.000 --> 00:00:08.360]  新年通常我們會展望未來的日子是怎樣
[00:00:08.360 --> 00:00:12.280]  大家有沒有想過要回到過去
[00:00:12.280 --> 00:00:17.280]  有什麼方法可以由2018年回到2017年呢
[00:00:17.280 --> 00:00:19.080]  有沒有方法
[00:00:19.080 --> 00:00:22.280]  昨晚晚堂的時候有人提出了一個很好的方法
[00:00:22.280 --> 00:00:25.480]  這個方法就是找Dora A夢
[00:00:25.480 --> 00:00:30.400]  它有一個時光機可以穿越時空
[00:00:30.400 --> 00:00:34.640]  不過還有一個很實際的方法大家都可以試試
[00:00:34.640 --> 00:00:43.120]  就是有一班飛機原定在12月31號晚11點55分起飛
[00:00:43.120 --> 00:00:45.920]  由紐西蘭去夏威夷
[00:00:45.920 --> 00:00:49.000]  誰知道飛機延誤了10分鐘
[00:00:49.000 --> 00:00:55.080]  所以它就在2018年1月1號凌晨12點05分起飛
[00:00:55.080 --> 00:00:57.160]  飛到夏威夷的時候
[00:00:57.160 --> 00:01:04.000]  就是2017年的12月31號上午10點16分
[00:01:04.000 --> 00:01:08.120]  因爲這兩個地方的時差是23個小時
[00:01:08.120 --> 00:01:16.560]  所以這班飛機的乘客不僅可以由2018年回到2017年
[00:01:16.560 --> 00:01:21.840]  還可以在一天24小時之內兩次跨越新年
[00:01:21.840 --> 00:01:29.200]  所以如果大家想試試就在今年年底找一班飛機去乘坐
[00:01:29.200 --> 00:01:31.720]  以上是一個很特別的例子
[00:01:31.720 --> 00:01:34.880]  其實時間是回不了頭的
[00:01:34.880 --> 00:01:37.600]  無論你過去的日子是多麼的風光
[00:01:37.600 --> 00:01:40.200]  或者是充滿遺憾也好
[00:01:40.200 --> 00:01:42.680]  發生了的事情就回不了頭
[00:01:42.680 --> 00:01:46.080]  今天我想和大家來看聖經裏面的一個人物
[00:01:46.080 --> 00:01:50.040]  看看他當時是處於人生的轉捩點
[00:01:50.040 --> 00:01:54.240]  他如何去面對過往的歷史
[00:01:54.240 --> 00:01:58.680]  如何從過往昔日的舊我裏面更新出來
[00:01:58.680 --> 00:02:00.480]  重新上路
[00:02:00.480 --> 00:02:01.960]  這是雅各
[00:02:01.960 --> 00:02:06.160]  我也想說一下爲什麼我要選擇雅各來說
[00:02:06.160 --> 00:02:09.960]  其實我們教會的成人教育部
[00:02:09.960 --> 00:02:18.280]  在2017年初鼓勵各位弟兄姊妹一起使用一個靈脩工具
[00:02:18.280 --> 00:02:22.040]  這個靈脩工具是用手機的應用程式來做的
[00:02:22.040 --> 00:02:25.120]  這個工具叫做「以道自見」
[00:02:25.120 --> 00:02:30.480]  其實這個「以道自見」的工具是建道神學院研發出來的
[00:02:30.480 --> 00:02:32.960]  也是他們的製作
[00:02:32.960 --> 00:02:36.080]  每一個月會讀一卷書
[00:02:36.080 --> 00:02:39.200]  每一天都有經文
[00:02:39.200 --> 00:02:45.560]  全部的文章都是由建道神學院的講師寫的
[00:02:45.560 --> 00:02:49.720]  這些文章裏面有解釋那段經文的意義
[00:02:49.720 --> 00:02:55.160]  也有一些問題幫助我們反省思考聖經
[00:02:55.160 --> 00:02:59.800]  而我們教務同工也在今年一月開始
[00:02:59.800 --> 00:03:04.360]  會在講壇信息上配合
[00:03:04.360 --> 00:03:10.160]  我們每個月按着那個月的「以道自見」讀哪一卷書呢
[00:03:10.160 --> 00:03:11.520]  我們就講那一卷書
[00:03:11.520 --> 00:03:17.400]  一月份是讀《創世紀》的二十七至五十章
[00:03:17.400 --> 00:03:19.720]  這幾天是讀《雅各》
[00:03:19.720 --> 00:03:24.040]  所以我今天選擇了《雅各》其中一段經文
[00:03:24.040 --> 00:03:27.800]  以下這個表也可以幫助我們看到
[00:03:27.800 --> 00:03:33.160]  《雅各》這個人在《創世紀》裏面是佔一個什麼位置
[00:03:33.160 --> 00:03:35.680]  整卷《創世紀》有五十章
[00:03:35.680 --> 00:03:37.600]  其實可以分成兩大部分
[00:03:37.600 --> 00:03:40.080]  第一部分是頭十一章
[00:03:40.080 --> 00:03:42.520]  就是講全人類的祖先
[00:03:42.520 --> 00:03:46.280]  全人類的祖先是誰?
[00:03:46.280 --> 00:03:47.360]  是阿當
[00:03:47.360 --> 00:03:49.920]  全人類的祖先是阿當
[00:03:49.920 --> 00:03:54.320]  由阿當的後代到羅亞到閃含雅弗
[00:03:54.320 --> 00:03:56.480]  之後來到這裏的時候
[00:03:56.480 --> 00:03:58.160]  國族誕生了
[00:03:58.160 --> 00:04:00.000]  不同的國家產生出來
[00:04:00.000 --> 00:04:01.800]  變亂了口音
[00:04:01.800 --> 00:04:06.400]  接着就集中講以色列人的歷史
[00:04:06.400 --> 00:04:08.480]  這裏就是以色列人的祖先
[00:04:08.480 --> 00:04:11.600]  先是亞伯拉罕 以撒 雅各 約瑟
[00:04:11.600 --> 00:04:13.480]  今天我講《雅各》
[00:04:13.480 --> 00:04:18.840]  下個星期李牧師就會和我們講《約瑟》
[00:04:18.840 --> 00:04:22.240]  現在我們看回剛纔我們讀的那段經文
[00:04:22.240 --> 00:04:24.080]  這段經文裏面我們可以看到
[00:04:24.080 --> 00:04:25.760]  《雅各》的心路歷程
[00:04:25.760 --> 00:04:29.360]  其實是經歷了三個不同的階段
[00:04:29.360 --> 00:04:31.120]  當中有一些轉變
[00:04:31.120 --> 00:04:34.160]  第一個階段
[00:04:34.160 --> 00:04:39.400]  他的心路歷程是充滿愧疚和恐懼的
[00:04:39.400 --> 00:04:42.920]  爲什麼《雅各》會有這麼多的愧疚和恐懼呢?
[00:04:42.920 --> 00:04:46.240]  我們要重溫一下他的歷史
[00:04:46.240 --> 00:04:50.320]  這個表我們可以看到
[00:04:50.320 --> 00:04:52.840]  亞伯拉罕是他的祖父
[00:04:52.840 --> 00:04:54.760]  接着爸爸是以撒
[00:04:54.760 --> 00:04:57.280]  以撒生了兩個兒子
[00:04:57.280 --> 00:04:58.560]  以素和雅各
[00:04:58.560 --> 00:05:01.160]  以素和雅各是媽生兄弟
[00:05:01.160 --> 00:05:04.040]  以素是哥哥
[00:05:04.040 --> 00:05:13.800]  雅各是一個很狡猾的人
[00:05:13.800 --> 00:05:20.000]  他藉着他哥哥以素一時的土福之慾
[00:05:20.000 --> 00:05:22.880]  以素爲了一碗紅豆湯
[00:05:22.880 --> 00:05:27.480]  把自己的長子名分賣給了弟弟雅各
[00:05:27.480 --> 00:05:31.160]  而雅各也藉着他爸爸
[00:05:31.160 --> 00:05:32.760]  爸爸也是餵食的
[00:05:32.760 --> 00:05:35.480]  他因爲一時的土福之慾
[00:05:35.480 --> 00:05:40.560]  被兒子雅各用野味來騙了他
[00:05:40.560 --> 00:05:44.680]  於是雅各正式以長子的身份
[00:05:44.680 --> 00:05:46.120]  來得到他的祝福
[00:05:46.120 --> 00:05:50.080]  這也象徵着他得到爸爸的繼承權
[00:05:50.080 --> 00:05:56.280]  這件事令兩兄弟以素雅各反目成仇
[00:05:56.280 --> 00:06:00.560]  而雅各也因爲怕被哥哥追殺
[00:06:00.560 --> 00:06:02.880]  離家出走 遠走他方
[00:06:02.880 --> 00:06:06.160]  一走就走了二十年
[00:06:06.160 --> 00:06:08.440]  在這二十年裏
[00:06:08.440 --> 00:06:11.760]  他去了寇府拉班寄居
[00:06:11.760 --> 00:06:14.040]  還娶了他兩個女兒
[00:06:14.040 --> 00:06:16.000]  這二十年的日子是怎樣的呢?
[00:06:16.000 --> 00:06:16.960]  光景是怎樣的呢?
[00:06:16.960 --> 00:06:18.760]  我們看這段經文就知道
[00:06:18.760 --> 00:06:20.480]  我白日受盡乾熱
[00:06:20.480 --> 00:06:22.160]  黑夜受盡寒傷
[00:06:22.160 --> 00:06:23.440]  不得閤眼睡着
[00:06:23.440 --> 00:06:24.880]  我尚是這樣
[00:06:24.880 --> 00:06:26.680]  我這二十年在你家裏
[00:06:26.680 --> 00:06:29.040]  爲你兩個女兒服侍你十四年
[00:06:29.040 --> 00:06:31.160]  爲你的羊羣服侍你六年
[00:06:31.160 --> 00:06:33.160]  你又十次改變我的功架
[00:06:33.160 --> 00:06:36.520]  若不是我父親以撒所敬畏的神
[00:06:36.520 --> 00:06:39.240]  就是阿巴拉罕的神與我同在
[00:06:39.240 --> 00:06:42.760]  你如今必定打發我空手而去
[00:06:42.760 --> 00:06:44.560]  在這段經文裏
[00:06:44.560 --> 00:06:45.800]  我們看到
[00:06:45.800 --> 00:06:50.680]  所謂替人投者人亦替之
[00:06:50.680 --> 00:06:52.520]  他昔日是怎樣呢?
[00:06:52.520 --> 00:06:59.600]  騙父親奪取了哥哥的長子的名分
[00:06:59.600 --> 00:07:01.000]  今天
[00:07:01.000 --> 00:07:02.680]  原來在這二十年裏
[00:07:02.680 --> 00:07:04.760]  他也被他的岳父拉班
[00:07:04.760 --> 00:07:08.400]  用一些詭詐的手段來欺壓
[00:07:08.400 --> 00:07:10.680]  這幾節經文就道盡了
[00:07:10.680 --> 00:07:15.400]  雅各在當中這二十年的辛酸
[00:07:15.400 --> 00:07:19.520]  不過雅各也不是省油的燈
[00:07:19.520 --> 00:07:24.240]  他的岳父雖然多次用詭計來剝削他
[00:07:24.240 --> 00:07:28.800]  但他是一個很狡猾的人
[00:07:28.800 --> 00:07:31.360]  他有自負的策略
[00:07:31.360 --> 00:07:34.640]  所以他終於能夠白手興家
[00:07:34.640 --> 00:07:37.200]  在第三十二章
[00:07:37.200 --> 00:07:41.760]  他只送給哥哥的見面禮物
[00:07:41.760 --> 00:07:49.960]  已經包括了超過五百頭的牲口
[00:07:49.960 --> 00:07:55.080]  我們可以想而知他當時的身家有多厚
[00:07:55.080 --> 00:07:58.200]  的確可以說他是以感還鄉
[00:07:58.200 --> 00:08:00.920]  但俗語有云
[00:08:00.920 --> 00:08:02.280]  出得離行
[00:08:02.280 --> 00:08:03.640]  他是什麼?
[00:08:03.640 --> 00:08:05.600]  預了要還
[00:08:05.600 --> 00:08:09.000]  雅各雖然撈到風生水起
[00:08:09.000 --> 00:08:13.480]  但他始終對不起他哥哥
[00:08:13.480 --> 00:08:15.320]  他們之間的恩怨情仇
