
[00:00:00.000 --> 00:00:05.920]  在今日的靜悼儀先給大家一個處境題想像一下
[00:00:05.920 --> 00:00:08.820]  如果今天教會來了一個新朋友
[00:00:08.820 --> 00:00:12.660]  這個新朋友就說自己回了很多年教會
[00:00:12.660 --> 00:00:16.900]  不過這一兩年神就呼召他
[00:00:16.900 --> 00:00:21.520]  要來到教會宣講悔改的信息
[00:00:21.520 --> 00:00:26.840]  神就特別在66卷聖經以外
[00:00:26.840 --> 00:00:30.060]  跟他有些新的啟示 特別只是跟他講
[00:00:30.060 --> 00:00:32.460]  要他跟教會講
[00:00:32.460 --> 00:00:34.480]  一些新的啟示
[00:00:34.480 --> 00:00:39.120]  他很想來到教會跟教會的弟兄姊妹講
[00:00:39.120 --> 00:00:44.640]  如果你今天作為站在門口的招待師時
[00:00:44.640 --> 00:00:48.340]  你會怎樣呢
[00:00:48.340 --> 00:00:52.840]  會怎樣呢
[00:00:52.840 --> 00:00:57.840]  找我?
[00:00:57.840 --> 00:01:02.140]  我放假
[00:01:02.140 --> 00:01:04.180]  又或者不是招待師時
[00:01:04.180 --> 00:01:06.840]  可能你是在上班途中
[00:01:06.840 --> 00:01:09.480]  你坐火車 坐巴士
[00:01:09.480 --> 00:01:11.820]  有個人走過來跟你講
[00:01:11.820 --> 00:01:13.220]  你回哪裏教會的
[00:01:13.220 --> 00:01:16.060]  很想跟你教會的弟兄姊妹講
[00:01:16.060 --> 00:01:18.680]  神給了我很多特別的信息
[00:01:18.680 --> 00:01:19.900]  很想跟你們講
[00:01:19.900 --> 00:01:21.780]  會怎樣做呢
[00:01:21.780 --> 00:01:24.400]  這是一個很難的處境
[00:01:24.400 --> 00:01:28.160]  究竟我們要怎樣做呢
[00:01:28.160 --> 00:01:30.800]  可能我們心裏都會想
[00:01:30.800 --> 00:01:32.800]  教會都是打開門
[00:01:32.800 --> 00:01:34.900]  歡迎所有人來聚會
[00:01:34.900 --> 00:01:37.840]  我沒理由拒絕他來教會 是不是呢
[00:01:37.840 --> 00:01:40.460]  又或者我們很多都是罪人
[00:01:40.460 --> 00:01:42.340]  起初我們本身都不是很懂事
[00:01:42.340 --> 00:01:44.540]  都是回來教會聽一聽
[00:01:44.540 --> 00:01:46.640]  我們才慢慢信主
[00:01:46.640 --> 00:01:51.900]  可能教會的愛 教會的接納可以融化它呢
[00:01:51.900 --> 00:01:55.180]  可能我們都會這樣想
[00:01:55.180 --> 00:01:57.340]  懷著愛心的去到邀請
[00:01:57.340 --> 00:01:59.500]  又或者堅定的拒絕
[00:01:59.500 --> 00:02:01.660]  的確是很兩難
[00:02:01.660 --> 00:02:07.140]  同樣這也是昔日推瓦推拉教會所面對的一個掙扎
[00:02:07.140 --> 00:02:11.540]  所以今日都讓我們透過耶穌基督寫給教會第四封信
[00:02:11.540 --> 00:02:14.860]  這封寫給推瓦推拉教會的信
[00:02:14.860 --> 00:02:21.820]  學習主耶穌基督教導我們怎樣面對這種兩難的處境
[00:02:21.820 --> 00:02:23.700]  推瓦推拉是一個什麼地方呢
[00:02:23.700 --> 00:02:27.900]  跟我們上星期說的別加摩是差天共地
[00:02:27.900 --> 00:02:31.460]  上星期我們說別加摩是一個羅馬帝國
[00:02:31.460 --> 00:02:33.060]  一個行政的中心
[00:02:33.060 --> 00:02:37.500]  又做一些錢幣 發行錢幣
[00:02:37.500 --> 00:02:39.300]  又有很大的圖書館
[00:02:39.300 --> 00:02:42.500]  所以今日趙牧師走去圖書館 是不是呢
[00:02:42.500 --> 00:02:44.700]  不過推瓦推拉就很不同
[00:02:44.700 --> 00:02:46.300]  跟大城相比
[00:02:46.300 --> 00:02:53.380]  推瓦推拉只是一個連接著大城別加摩和薩迪的中心點
[00:02:53.380 --> 00:02:58.180]  中間一個小鎮 人口只有三萬人左右
[00:02:58.180 --> 00:03:02.660]  如果我們想像 可能給大家一個觀念
[00:03:02.660 --> 00:03:10.700]  如果今日我們由悉尼開車去到肯培拉 或者去到墨爾本
[00:03:10.700 --> 00:03:14.860]  中間我們總會經過一個小鎮叫做哥本
[00:03:14.860 --> 00:03:17.820]  大家有沒有印象 那裏有一隻很大隻的羊
[00:03:17.820 --> 00:03:20.940]  一個小鎮 哥本也是三萬人左右
[00:03:20.940 --> 00:03:23.700]  一個這樣的小鎮
[00:03:23.700 --> 00:03:26.980]  這個小小的城鎮裏面的教會
[00:03:26.980 --> 00:03:29.620]  它在聖經裏面留名
[00:03:29.620 --> 00:03:32.460]  耶穌再次在信的開頭
[00:03:32.460 --> 00:03:35.820]  向這間教會頒下他的稱讚
[00:03:35.820 --> 00:03:37.700]  如果大家有留意
[00:03:37.700 --> 00:03:40.580]  耶穌寫給其餘六間教會的信
[00:03:40.580 --> 00:03:42.060]  對比之下我們發現
[00:03:42.060 --> 00:03:46.740]  主耶穌基督在這裏推瓦推拉教會的稱讚
[00:03:46.740 --> 00:03:49.220]  可以說是無懈可擊
[00:03:49.220 --> 00:03:53.900]  耶穌其實數得到的他都讚了
[00:03:53.900 --> 00:03:56.340]  推瓦推拉教會有什麼好呢
[00:03:56.340 --> 00:03:59.700]  有好的行為 有愛心 又有信心
[00:03:59.700 --> 00:04:03.380]  有勤勞 有忍耐 還有善行
[00:04:03.380 --> 00:04:04.860]  耶穌最後再加一句
[00:04:04.860 --> 00:04:09.660]  末後所行的善事比起初所行的更加多
[00:04:09.660 --> 00:04:14.340]  即是他們的善事是越做越好 越做越多
[00:04:14.340 --> 00:04:16.500]  就好像今天我們講題所說
