
[00:00:00.000 --> 00:00:05.000]  不知道過去十幾日,大家的心情是怎樣呢?
[00:00:05.000 --> 00:00:09.000]  我們看今日這個馬太福音第五章第八節
[00:00:09.000 --> 00:00:11.000]  講到清心
[00:00:11.000 --> 00:00:18.000]  過去一段時間,不知道你聽見香港社會種種的事件
[00:00:18.000 --> 00:00:27.000]  由這個十三個青年人的事,去到這位林子健的事,等等等等
[00:00:27.000 --> 00:00:30.000]  不知道你的心是怎樣
[00:00:30.000 --> 00:00:36.000]  清心的人有福了,因為他們必得見上帝
[00:00:36.000 --> 00:00:43.000]  今日我們回到山上的寶糞,主耶穌講的有福
[00:00:43.000 --> 00:00:47.000]  感謝上帝,我的心真是很清
[00:00:47.000 --> 00:00:53.000]  我的心從來都不會受到任何的東西來搞動
[00:00:53.000 --> 00:00:58.000]  因為清心的人有福了,真是我們中國人講得最對
[00:00:58.000 --> 00:01:00.000]  就是不要理那麼多東西
[00:01:00.000 --> 00:01:06.000]  總之你就清心寡慾,就是安安樂樂,有口飯吃
[00:01:06.000 --> 00:01:11.000]  理那麼多東西做甚麼?哪理得那麼多?
[00:01:11.000 --> 00:01:15.000]  可能是的,我們真是沒有辦法
[00:01:15.000 --> 00:01:23.000]  面對著一個那麼紛擾的世界,裏面那麼多的事幹
[00:01:23.000 --> 00:01:27.000]  我們都盼望自己能夠心如止水
[00:01:27.000 --> 00:01:31.000]  能夠好像一個閃定了的大師一樣
[00:01:31.000 --> 00:01:37.000]  是百毒不侵,是甚麼都不管,甚麼都不理,甚麼都不問
[00:01:37.000 --> 00:01:42.000]  是不聞不問,不看見,眼不見為淨
[00:01:42.000 --> 00:01:45.000]  我們多麼清
[00:01:45.000 --> 00:01:49.000]  我覺得有時我們真的要學習,真的要冷靜
[00:01:49.000 --> 00:01:53.000]  不可以衝動,衝動一定出事
[00:01:53.000 --> 00:01:56.000]  不過我亦都想告訴你
[00:01:56.000 --> 00:02:01.000]  當你完全任何應該有的衝動都沒有的時候
[00:02:01.000 --> 00:02:04.000]  你是不能動的時候
[00:02:04.000 --> 00:02:08.000]  那就更得人驚,全部都冰封了
[00:02:08.000 --> 00:02:14.000]  好像冷漠了,甚至好像是死寂一片
[00:02:14.000 --> 00:02:21.000]  有些人說,這城市已死
[00:02:21.000 --> 00:02:24.000]  我想如果我們的心是死了的
[00:02:24.000 --> 00:02:28.000]  我們的心是對所有事都已經沒有任何的反應的
[00:02:28.000 --> 00:02:32.000]  或者那個城市真是死,那個教會真是死
[00:02:32.000 --> 00:02:34.000]  但是我不相信
[00:02:34.000 --> 00:02:38.000]  我相信上帝在任何的世代總為他自己留下
[00:02:38.000 --> 00:02:41.000]  七千位未向巴黎屈膝的人
[00:02:41.000 --> 00:02:46.000]  總是有人不死,總是有人的心會活著的
[00:02:46.000 --> 00:02:51.000]  其實我們除了要思想我們在自己的文化裏面
[00:02:51.000 --> 00:02:54.000]  怎樣理解那個清心
[00:02:54.000 --> 00:02:58.000]  我們更加重要的是回到經文裏面
[00:02:58.000 --> 00:03:01.000]  講聖經不可以講自己的東西
[00:03:01.000 --> 00:03:04.000]  聖經都不可以讀自己想讀的東西讀進去的
[00:03:04.000 --> 00:03:08.000]  一定要讓那個經文講出來
[00:03:08.000 --> 00:03:11.000]  所以我站在這裏,如果我說錯了你可以打我
[00:03:11.000 --> 00:03:13.000]  你可以反對
[00:03:13.000 --> 00:03:17.000]  但是如果講得真是在聖經裏面表達出來的話
[00:03:17.000 --> 00:03:22.000]  那我們就一起來調教我們的心
[00:03:22.000 --> 00:03:24.000]  今天的心是極之重要的
[00:03:24.000 --> 00:03:27.000]  今天的心,其實歷世歷代
[00:03:27.000 --> 00:03:31.000]  一場的爭戰都是一個心的爭奪戰
[00:03:31.000 --> 00:03:33.000]  什麼叫做清心呢
[00:03:33.000 --> 00:03:36.000]  或者一個最簡單的,最安全的
[00:03:36.000 --> 00:03:38.000]  主啊,你到底在講什麼
[00:03:38.000 --> 00:03:40.000]  主啊,你是誰
[00:03:40.000 --> 00:03:42.000]  主啊,你在這個山上對著群眾的時候
[00:03:42.000 --> 00:03:44.000]  向他們所宣告的
[00:03:44.000 --> 00:03:46.000]  你今天想向我們香港這個城市的人
[00:03:46.000 --> 00:03:47.000]  來講說話的主啊
[00:03:47.000 --> 00:03:51.000]  你到底教我們清心,你想我們怎樣
[00:03:51.000 --> 00:03:53.000]  如果主告訴我們
[00:03:53.000 --> 00:03:56.000]  你們中國人的清心已經是OK的了
[00:03:56.000 --> 00:03:58.000]  拜拜,不用你講了
[00:03:58.000 --> 00:04:00.000]  但是如果主告訴我們
[00:04:00.000 --> 00:04:04.000]  慢著,一些的文化裏面
[00:04:04.000 --> 00:04:07.000]  有一些的寬容啊,有一些的安寧啊
[00:04:07.000 --> 00:04:09.000]  那些的素質是值得推崇的
[00:04:09.000 --> 00:04:12.000]  但是如果你以為我講的是這件事
[00:04:12.000 --> 00:04:17.000]  請你回到整個的健全的神學
[00:04:17.000 --> 00:04:19.000]  健全的世界觀那裏
[00:04:19.000 --> 00:04:21.000]  來理解到底我是誰
[00:04:21.000 --> 00:04:23.000]  我是誰
[00:04:23.000 --> 00:04:25.000]  我是宇宙的君王
[00:04:25.000 --> 00:04:27.000]  道成肉身
[00:04:27.000 --> 00:04:29.000]  進到這個黑暗的世界
[00:04:29.000 --> 00:04:32.000]  來開展上帝的國度
[00:04:32.000 --> 00:04:35.000]  來預告說哪一位要做皇帝
[00:04:35.000 --> 00:04:36.000]  必定要再來
[00:04:36.000 --> 00:04:40.000]  而世上的萬國必定要服在我的權下
