
[00:00:00.000 --> 00:00:02.000]  就是復古騎行
[00:00:02.000 --> 00:00:06.000]  就是復古的騎摩托車走
[00:00:06.000 --> 00:00:08.000]  叫復古騎行
[00:00:08.000 --> 00:00:09.000]  對
[00:00:09.000 --> 00:00:11.000]  它是說
[00:00:11.000 --> 00:00:13.000]  發源在哪裏我不知道
[00:00:13.000 --> 00:00:15.000]  發源在哪裏我不知道
[00:00:15.000 --> 00:00:17.000]  但是墨爾本那邊
[00:00:17.000 --> 00:00:19.000]  舉行這個復古騎行已經很多年了
[00:00:19.000 --> 00:00:23.000]  但是墨爾本那邊舉行這個復古騎行已經很多年了
[00:00:23.000 --> 00:00:26.000]  今天在全世界很多大城市
[00:00:26.000 --> 00:00:27.000]  都有一班人
[00:00:27.000 --> 00:00:30.000]  今天在全世界很多大城市
[00:00:30.000 --> 00:00:31.000]  都有一班人
[00:00:31.000 --> 00:00:34.000]  他們騎上那個很古老的摩托車
[00:00:34.000 --> 00:00:36.000]  他們騎著那個很古老的摩托車
[00:00:36.000 --> 00:00:38.000]  當然也有開那個很老款的汽車
[00:00:38.000 --> 00:00:42.000]  但也都有開那些很舊款很老式的汽車
[00:00:42.000 --> 00:00:47.000]  然後他們的頭盔他們的打扮都是四五十年代
[00:00:47.000 --> 00:00:50.000]  他們的頭盔打扮都是四五十年代那種
[00:00:50.000 --> 00:00:57.000]  這是一種復古的打扮然後出來好像遊行一樣
[00:00:57.000 --> 00:01:01.000]  這是一種復古的打扮然後出來好像遊行一樣
[00:01:01.000 --> 00:01:04.000]  我有一個朋友在墨爾本今天要參加
[00:01:04.000 --> 00:01:07.000]  我有一個朋友今天在墨爾本會參加這個活動
[00:01:07.000 --> 00:01:11.000]  他前兩天還在拍照片向我們展示他的頭盔
[00:01:11.000 --> 00:01:15.000]  他前兩天還拍了一張照片和我們展示他的頂頭盔
[00:01:15.000 --> 00:01:17.000]  頭盔是三十年代風格
[00:01:17.000 --> 00:01:19.000]  那個頭盔是三十年代的風格
[00:01:19.000 --> 00:01:21.000]  所以很有意思的是什麼呢
[00:01:21.000 --> 00:01:23.000]  所以很有意思的是什麼呢
[00:01:23.000 --> 00:01:27.000]  現在人經常我們會復古的
[00:01:27.000 --> 00:01:29.000]  現在的人經常都會復古
[00:01:29.000 --> 00:01:32.000]  那為什麼會需要復古
