
[00:00:00.000 --> 00:00:04.800]  各位電影姊妹,我們今天去思考阿摩斯書第八章
[00:00:04.800 --> 00:00:07.300]  這個題目就叫做「詭詐的天秤」
[00:00:07.300 --> 00:00:08.800]  說起來也挺文藝的
[00:00:08.800 --> 00:00:10.800]  「詭詐的天秤」那是什麼呢?
[00:00:10.800 --> 00:00:13.200]  我本來也想不到,那廣東話是什麼呢?
[00:00:13.200 --> 00:00:16.500]  但是上個星期聽許冠傑演唱會就想起來了
[00:00:16.500 --> 00:00:21.800]  我們說出了半斤力,想賺回八兩
[00:00:21.800 --> 00:00:24.900]  家鎮惡搵食,哪有半斤八兩這麼理想
[00:00:24.900 --> 00:00:26.800]  那就是「詭詐的天秤」囉
[00:00:26.800 --> 00:00:30.100]  就是說你付出了很多,但是你只是收穫得很少
[00:00:30.100 --> 00:00:32.800]  因為在制度上,或者那些有權有勢
[00:00:32.800 --> 00:00:36.100]  或者有財富的人在欺詐、欺壓
[00:00:36.100 --> 00:00:40.100]  在當中令到那些貧寒人,或者那些困苦的人
[00:00:40.100 --> 00:00:43.600]  不能夠,即使他很努力地工作,或者很努力地生活
[00:00:43.600 --> 00:00:45.800]  但是他也不能夠拿到他應該拿到的事情
[00:00:45.800 --> 00:00:48.800]  「詭詐的天秤」,這是一個審判的訊息
[00:00:48.800 --> 00:00:53.800]  我看完經文之前,我想起來有幾本書
[00:00:53.800 --> 00:00:57.600]  都和你分享,勾起我自己去思考這個題目
[00:00:57.600 --> 00:01:02.100]  小小作解釋,即是簡介而已,但是我不會講的了
[00:01:02.100 --> 00:01:06.100]  這本書是講到政策失衡的反思
[00:01:06.100 --> 00:01:09.600]  一位林博士寫的,是講香港的事情
[00:01:09.600 --> 00:01:13.100]  誰拿走了社會的公義和口袋裡的金錢
[00:01:13.100 --> 00:01:19.400]  政策上所帶來的傾斜,導致香港社會有些地方失衡
[00:01:19.400 --> 00:01:22.600]  特別講到為什麼那些窮人會越來越窮呢
[00:01:22.600 --> 00:01:24.600]  為什麼有錢人會越來越有錢呢
