
[00:00:00.000 --> 00:00:05.400]  你知道唯有敬拜的工作是直到永遠的
[00:00:05.400 --> 00:00:09.100]  由我們信主那一刻,直到永永遠遠
[00:00:09.100 --> 00:00:12.600]  我們都要來向神敬拜
[00:00:12.600 --> 00:00:15.900]  我這個做牧師的,有一天不再需要講道
[00:00:15.900 --> 00:00:21.300]  因為我們都要在神的面前聽祂自己所說的話
[00:00:21.300 --> 00:00:26.300]  但是有一天我們不會再需要去做猜拳
[00:00:26.300 --> 00:00:28.600]  不會再需要去做傳福音
[00:00:28.600 --> 00:00:31.500]  因為我們都要來到神的面前
[00:00:31.500 --> 00:00:34.900]  但是我們要永遠來去敬拜祂
[00:00:34.900 --> 00:00:38.000]  如果敬拜是這麼重要的工作
[00:00:38.000 --> 00:00:39.800]  是永恆的工作
[00:00:39.800 --> 00:00:41.300]  我們就要學習
[00:00:41.300 --> 00:00:43.500]  特別在神的話語裡面看
[00:00:43.500 --> 00:00:45.800]  神所喜悅的敬拜
[00:00:45.800 --> 00:00:48.400]  是怎樣的一個敬拜
[00:00:48.400 --> 00:00:51.000]  今天想跟大家分享的詩篇
[00:00:51.000 --> 00:00:53.500]  就是詩篇第九十五篇
[00:00:53.500 --> 00:00:59.700]  這個詩篇歷世歷代是被稱為宣召的詩篇
[00:00:59.700 --> 00:01:03.100]  宣召的意思就是邀請的意思
[00:01:03.100 --> 00:01:05.700]  好像剛才聚會一開始的時候
[00:01:05.700 --> 00:01:09.500]  我邀請大家來到神的面前
[00:01:09.500 --> 00:01:10.900]  來到去歌唱
[00:01:10.900 --> 00:01:15.900]  因為這個詩篇向我們發出三個邀請
[00:01:15.900 --> 00:01:17.100]  第一節他說
[00:01:17.100 --> 00:01:20.100]  來呀,我們要向耶和華歌唱
[00:01:20.100 --> 00:01:24.500]  來呀,來呀,我們一起來向耶和華歌唱
[00:01:24.500 --> 00:01:26.300]  第二個邀請在第六節
[00:01:26.300 --> 00:01:30.100]  他說來呀,我們要屈身敬拜
[00:01:30.100 --> 00:01:32.400]  向我們發出第二個邀請
[00:01:32.400 --> 00:01:35.500]  我們在神面前俯伏敬拜
[00:01:35.500 --> 00:01:38.600]  然後第三個邀請在第七節的最後
[00:01:38.600 --> 00:01:42.600]  他說,唯願你們今天聽祂的話
[00:01:42.600 --> 00:01:46.600]  來呀,讓我們今天聽祂的話
[00:01:46.600 --> 00:01:49.200]  三次發出不同的邀請
[00:01:49.200 --> 00:01:53.600]  來代表了敬拜三種不同的動作
[00:01:53.600 --> 00:01:56.300]  敬拜裡面三個不同的氣氛
[00:01:56.300 --> 00:02:00.200]  敬拜裡面三種不同的情懷
[00:02:00.200 --> 00:02:04.900]  讓我們來看,也來學習,也來操練
[00:02:04.900 --> 00:02:08.600]  讓我們一生一世所獻給神的
[00:02:08.600 --> 00:02:12.200]  是一個祂自己所喜悅的敬拜
[00:02:12.200 --> 00:02:15.500]  我們首先來看第一個邀請
[00:02:15.500 --> 00:02:17.500]  在第一和第二節
[00:02:17.500 --> 00:02:21.800]  我們一起來讀詩篇九十五篇第一、第二節
[00:02:21.800 --> 00:02:23.200]  向我們的邀請
[00:02:23.200 --> 00:02:27.500]  來,來呀,我們要向耶和華歌唱
[00:02:27.500 --> 00:02:30.700]  向拯救我們的盆石歡呼
[00:02:30.700 --> 00:02:32.800]  我們要來感謝祂
[00:02:32.800 --> 00:02:35.600]  用詩歌向祂歡呼
[00:02:35.600 --> 00:02:37.800]  這裡有歌唱的聲音
[00:02:37.800 --> 00:02:39.600]  有感謝的聲音
