
[00:00:00.000 --> 00:00:03.540]  今日我講嘅訊息,亦都想同大家分享
[00:00:03.540 --> 00:00:07.540]  我好欣賞,即係唔知係咪Amy
[00:00:07.540 --> 00:00:10.540]  即係輯錄呢一篇嘅文章,封面嘅文章
[00:00:10.540 --> 00:00:15.180]  我畀呢個主題佢,咁佢哋就找啲文章
[00:00:15.180 --> 00:00:18.460]  我睇呢篇文章嘅時候,我好驚訝
[00:00:18.460 --> 00:00:22.300]  呢篇文章呢,正係我相信應該冇乜錯
[00:00:22.300 --> 00:00:25.140]  正係我去到嘅非洲嘅地方Kenya
[00:00:25.140 --> 00:00:30.140]  去到嗰個地方,即係接觸嗰啲人
[00:00:30.140 --> 00:00:34.140]  同樣係呢個故事,但係呢個故事更加係Detail
[00:00:34.140 --> 00:00:36.140]  或者我讀一讀俾大家聽
[00:00:36.140 --> 00:00:41.140]  蕭牧師係北角宣導會,係一個好好嘅教會
[00:00:41.140 --> 00:00:45.140]  以前係滕勤輝牧師,一路咁多年喺度建立嘅
[00:00:45.140 --> 00:00:50.140]  同埋胡音牧師,而家都仍然喺天后嗰個地鐵站上高
[00:00:50.140 --> 00:00:54.140]  可能有啲人都參加過,咁佢係嗰個主任牧師
[00:00:54.140 --> 00:00:56.140]  佢呢篇文章咁講法
[00:00:56.140 --> 00:00:58.140]  佢話鄧牧師從非洲肯亞返嚟
[00:00:58.140 --> 00:01:00.140]  話俾我聽呢
[00:01:00.140 --> 00:01:05.140]  喺Dulkarna,其實係我去過嘅地方,啱冇幾耐
[00:01:05.140 --> 00:01:10.140]  一間由教會主辦嘅小學,其實係由呢個弟兄開始嘅
[00:01:10.140 --> 00:01:14.140]  由於當地嘅信徒多數係學歷好低
[00:01:14.140 --> 00:01:18.140]  所以佢哋搵唔到一位嘅校長可以當任
[00:01:18.140 --> 00:01:23.140]  因此呢,始終只能夠讓嗰個回教嘅回教徒擔任校長
[00:01:23.140 --> 00:01:27.140]  其實,如果喺我哋當中呢,有弟兄姊妹呢
[00:01:27.140 --> 00:01:32.140]  能夠有master degree in IT
[00:01:32.140 --> 00:01:36.140]  咁佢嘅學校呢個校長就係需要咁嘅qualification
[00:01:36.140 --> 00:01:39.140]  因為佢哋建立咗一個嘅電腦學校
[00:01:39.140 --> 00:01:42.140]  如果你有master degree in IT呢,就可以申請
[00:01:42.140 --> 00:01:44.140]  真係㗎,上次佢就咁同我講
[00:01:44.140 --> 00:01:49.140]  佢話否則呢,政府就攞返嗰個credential啦
[00:01:49.140 --> 00:01:55.140]  因為而家將嗰間學校提升為technical college
[00:01:55.140 --> 00:01:57.140]  好似一個TAFE咁樣
[00:01:57.140 --> 00:02:01.140]  但呢,呢個校長就喺嗰個嘅學校裏面
[00:02:01.140 --> 00:02:04.140]  教教學校裏面建一個小型嘅回教廟
[00:02:04.140 --> 00:02:08.140]  鼓勵校內嘅回教徒嘅學生在其中聚會
[00:02:08.140 --> 00:02:13.140]  按照回教嘅習俗,一旦呢個地方有回教徒正式進行
[00:02:13.140 --> 00:02:16.140]  便係神聖不可侵犯
[00:02:16.140 --> 00:02:20.140]  如果學校要取消建築物呢,就會遭受回教徒激烈嘅反對
[00:02:20.140 --> 00:02:23.140]  嘩,牧師話,我聽到咁嘅諗法
[00:02:23.140 --> 00:02:27.140]  肯雅係一個,Kenyan係一個運用英語嘅國家
[00:02:27.140 --> 00:02:31.140]  係全個澳洲喺政治上係最穩定嘅國家
[00:02:31.140 --> 00:02:33.140]  點解喺我哋當中唔可以有一位
[00:02:33.140 --> 00:02:36.140]  佢有大學學位嘅基督徒喺嗰度當校長呢?
[00:02:36.140 --> 00:02:39.140]  點解唔可以讓呢個基督教嘅小學
[00:02:39.140 --> 00:02:42.140]  可以成為一個真正見證基督嘅地方呢?
[00:02:42.140 --> 00:02:47.140]  嘩,我真係聽到呢個消息,我都頗為詫異
[00:02:47.140 --> 00:02:49.140]  宣教士又話畀我聽
[00:02:49.140 --> 00:02:51.140]  喺當地呢一個教會舉辦嘅醫療中心
[00:02:51.140 --> 00:02:54.140]  其實我亦都探望過醫療中心
[00:02:54.140 --> 00:02:58.140]  喺嗰區嘅地區唯一一所教好嘅診所
[00:02:58.140 --> 00:03:03.140]  村民喺郊外裏面意外被蛇咬、蠍子所咬
[00:03:03.140 --> 00:03:05.140]  便會嚟到呢度求醫
[00:03:05.140 --> 00:03:10.140]  但係最近呢度工作唯一一位醫療宣教士將要離開
[00:03:10.140 --> 00:03:14.140]  咁可能大家都睇過我畀個video大家睇
[00:03:14.140 --> 00:03:17.140]  拍咗其中一個叫Dr. Timothy
[00:03:17.140 --> 00:03:22.140]  Dr. Timothy,佢有一晚我哋走嗰陣時
[00:03:22.140 --> 00:03:25.140]  嚟到祈禱,見到我哋祈禱
[00:03:25.140 --> 00:03:27.140]  佢話可唔可以join你哋呀?
[00:03:27.140 --> 00:03:29.140]  咁我睇到佢嘅工作非常感動
[00:03:29.140 --> 00:03:32.140]  佢59歲仲有一年就退休
[00:03:32.140 --> 00:03:34.140]  佢話,即係最後畀佢講
[00:03:34.140 --> 00:03:39.140]  我話有冇一啲嘅個人嘅需要同我哋分享一下
[00:03:39.140 --> 00:03:42.140]  佢唔係好好意思,不過講咗幾句
[00:03:42.140 --> 00:03:45.140]  佢話我哋做咗咁多年,佢由細喺度長大
[00:03:45.140 --> 00:03:50.140]  亦都有個意象,喺嗰度要做,睇到一間醫療所
[00:03:50.140 --> 00:03:52.140]  或者叫做一間醫院,細細地嘅醫院
[00:03:52.140 --> 00:03:54.140]  咁一瞬就祝福咗佢
[00:03:54.140 --> 00:03:57.140]  亦都畀佢做,唔係真正嘅醫生
[00:03:57.140 --> 00:03:59.140]  但係個個叫佢Dr. Timothy
[00:03:59.140 --> 00:04:01.140]  因為經歷過好多,我都唔講啦
[00:04:01.140 --> 00:04:04.140]  不過,嗰日我哋坐喺度嗰陣時
[00:04:04.140 --> 00:04:07.140]  有一樣嘢深深係感動我嘅心
[00:04:07.140 --> 00:04:09.140]  佢話我哋侍奉咗咁多年
[00:04:09.140 --> 00:04:15.140]  一路都住喺教會嘅,一路住喺醫院嘅一個簡單嘅宿舍
[00:04:15.140 --> 00:04:17.140]  我哋從來冇自己嘅地方
[00:04:17.140 --> 00:04:20.140]  所以我哋就嚟退休,我都唔知點算
[00:04:20.140 --> 00:04:26.140]  我兩個仔女,一個讀大學,一個都好似讀緊大學
