
[00:00:00.000 --> 00:00:02.800]  早晨 新年平安
[00:00:02.800 --> 00:00:04.800]  各位傳人堂的弟兄姊妹
[00:00:04.800 --> 00:00:10.000]  很開心 其實我答應了江牧師之後
[00:00:10.000 --> 00:00:12.400]  我答應了寄了在這本簿裡
[00:00:12.400 --> 00:00:15.400]  但我沒有留意這是甚麼日子
[00:00:15.400 --> 00:00:18.400]  今天是年初幾 年初六
[00:00:18.400 --> 00:00:22.400]  我到嫂子準備交資料的時候
[00:00:22.400 --> 00:00:26.800]  我就想起原來這是大家過年的第一次返聚會
[00:00:26.800 --> 00:00:31.800]  所以我就覺得開始有少少壓力
[00:00:31.800 --> 00:00:37.200]  所以我就特別花多少少時間準備了一些東西
[00:00:37.200 --> 00:00:40.800]  東西包括在稍後分享的資料裡
[00:00:40.800 --> 00:00:42.800]  還有一些實際的東西
[00:00:42.800 --> 00:00:44.800]  稍後會透過利是封
[00:00:44.800 --> 00:00:47.800]  稍後都會分派給每一位弟兄姊妹
[00:00:47.800 --> 00:00:50.800]  希望你們在新的一年有祝福
[00:00:50.800 --> 00:00:58.800]  新的一年大家剛剛休息足夠嗎
[00:00:58.800 --> 00:01:01.800]  見你想見的人見到嗎
[00:01:01.800 --> 00:01:06.800]  見的時候開心多些還是相反多些呢
[00:01:06.800 --> 00:01:10.800]  會不會是不見就好好的
[00:01:10.800 --> 00:01:14.800]  見到就有些特別
[00:01:14.800 --> 00:01:18.800]  不見的時候就活在想像中間
[00:01:18.800 --> 00:01:21.800]  但見到的時候就反而見到
[00:01:21.800 --> 00:01:25.800]  廣東話叫做眼淵
[00:01:25.800 --> 00:01:28.800]  有沒有聽到一些說話是比較性的
[00:01:28.800 --> 00:01:32.800]  即是說誰就這樣
[00:01:32.800 --> 00:01:34.800]  有沒有聽到這些說話
[00:01:34.800 --> 00:01:36.800]  你有沒有份發出這些說話
[00:01:36.800 --> 00:01:40.800]  我希望我們在教會的模樣之下
[00:01:40.800 --> 00:01:42.800]  我們會盡量減少這些
[00:01:42.800 --> 00:01:45.800]  今天想和大家分享的題目
[00:01:45.800 --> 00:01:47.800]  那裡有四個字
[00:01:47.800 --> 00:01:50.800]  我們一起讀出來那四個字好不好
[00:01:50.800 --> 00:01:51.800]  1,2,3
[00:01:51.800 --> 00:01:54.800]  他,他,他,他
[00:01:54.800 --> 00:01:57.800]  這個題目是不是很有趣
[00:01:57.800 --> 00:02:00.800]  原來我在這幾天做準備的時候
[00:02:00.800 --> 00:02:04.800]  原來我在大概十幾年前
[00:02:04.800 --> 00:02:06.800]  我在同一座大廈
[00:02:06.800 --> 00:02:08.800]  你們這一座大廈的三樓
[00:02:08.800 --> 00:02:11.800]  我分享過另外一個題目
[00:02:11.800 --> 00:02:13.800]  當時是一間院校
[00:02:13.800 --> 00:02:16.800]  原來是四個我
[00:02:16.800 --> 00:02:18.800]  我經常為了這些代名詞
[00:02:18.800 --> 00:02:21.800]  我呀,你呀,他呀,這些經常思考
[00:02:21.800 --> 00:02:25.800]  一會兒我再一路交代
[00:02:25.800 --> 00:02:28.800]  今天我們這四個他其實都不重要
[00:02:28.800 --> 00:02:34.800]  最重要是我們和這四個他的關係
[00:02:34.800 --> 00:02:36.800]  這裡我想帶出一樣東西
[00:02:36.800 --> 00:02:39.800]  因為我是來自於心理學和輔導的訓練
[00:02:39.800 --> 00:02:41.800]  關係是很重要的
[00:02:41.800 --> 00:02:43.800]  讓大家做一個熱身
[00:02:43.800 --> 00:02:46.800]  大家手機在附近嗎
[00:02:46.800 --> 00:02:47.800]  都碰到是吧
[00:02:47.800 --> 00:02:50.800]  我們先碰一碰手機
[00:02:50.800 --> 00:02:52.800]  不是叫你玩手機
[00:02:52.800 --> 00:02:55.800]  你碰一碰手機
[00:02:55.800 --> 00:02:57.800]  這部手機是你的
[00:02:57.800 --> 00:02:59.800]  不要拿錯人家那部
