
[00:00:00.000 --> 00:00:04.000]  這個羅馬書的系列是很有趣的
[00:00:04.000 --> 00:00:06.000]  如果你留意的話
[00:00:06.000 --> 00:00:09.000]  在這個系列每一個的主題
[00:00:09.000 --> 00:00:11.000]  我們都有一個白字
[00:00:11.000 --> 00:00:13.000]  不是寫錯字
[00:00:13.000 --> 00:00:15.000]  這個白字是刻意的
[00:00:15.000 --> 00:00:18.000]  例如我們上一次說到
[00:00:18.000 --> 00:00:22.000]  基督徒如何處理是非黑白
[00:00:22.000 --> 00:00:26.000]  我們說這個事不是對錯的事
[00:00:26.000 --> 00:00:28.000]  這個事不是是否的事
[00:00:28.000 --> 00:00:30.000]  這個是事情的事
[00:00:30.000 --> 00:00:34.000]  當我們遇見的事跟真理無關
[00:00:34.000 --> 00:00:36.000]  是黑白不分明的時候
[00:00:36.000 --> 00:00:39.000]  我們應該怎樣來處理
[00:00:39.000 --> 00:00:41.000]  今天又有一個白字
[00:00:41.000 --> 00:00:43.000]  我們見到今天的題目是
[00:00:43.000 --> 00:00:47.000]  基督徒如何提防易經叛道
[00:00:47.000 --> 00:00:51.000]  易經叛道其實是一個成語
[00:00:51.000 --> 00:00:55.000]  易經叛道本來的叛字是背叛的叛
[00:00:55.000 --> 00:00:59.000]  今天是改了它做絆腳石的絆
[00:00:59.000 --> 00:01:02.000]  我們做基督徒要學習
[00:01:02.000 --> 00:01:05.000]  如何不要絆跌弟兄姊妹
[00:01:05.000 --> 00:01:08.000]  不要將絆腳石放在他們的路上
[00:01:08.000 --> 00:01:10.000]  讓他們跌倒
[00:01:10.000 --> 00:01:12.000]  其實今天這個題目
[00:01:12.000 --> 00:01:14.000]  在粵語是成立的
[00:01:14.000 --> 00:01:16.000]  在國語是不成立的
[00:01:16.000 --> 00:01:19.000]  因為在國語背叛的叛
[00:01:19.000 --> 00:01:21.000]  和絆腳石的叛是不同音
[00:01:21.000 --> 00:01:25.000]  幸好我今天不是去國語部講道
[00:01:25.000 --> 00:01:30.000]  我們要重溫一下上次所講的
[00:01:30.000 --> 00:01:32.000]  就是說一個基督徒
[00:01:32.000 --> 00:01:35.000]  如果遇見有灰色地帶的事
[00:01:35.000 --> 00:01:37.000]  不是黑白分明
[00:01:37.000 --> 00:01:38.000]  跟真理無關
[00:01:38.000 --> 00:01:40.000]  應該怎樣來處理
[00:01:40.000 --> 00:01:43.000]  如果跟真理有關就很簡單
[00:01:43.000 --> 00:01:46.000]  照著神的話語來做
[00:01:46.000 --> 00:01:49.000]  就是神的道德律法
[00:01:49.000 --> 00:01:52.000]  例如十誡我們要遵守
[00:01:52.000 --> 00:01:54.000]  這是跟真理有關的事
[00:01:54.000 --> 00:01:56.000]  上次也講過
[00:01:56.000 --> 00:01:59.000]  神的律法還有很多其他的律例典章
[00:01:59.000 --> 00:02:03.000]  例如猶太人的禮儀節期
[00:02:03.000 --> 00:02:05.000]  飲食的條例
[00:02:05.000 --> 00:02:08.000]  這一切都已經廢除了
[00:02:08.000 --> 00:02:11.000]  這正是羅馬書的十四章十五章
[00:02:11.000 --> 00:02:13.000]  跟我們所講的
[00:02:13.000 --> 00:02:14.000]  我們喜歡守也行
[00:02:14.000 --> 00:02:17.000]  我們不喜歡守也沒有問題
[00:02:17.000 --> 00:02:20.000]  不會影響我們跟神的關係
[00:02:20.000 --> 00:02:22.000]  我們上次也講過
[00:02:22.000 --> 00:02:26.000]  有很多其他的事跟真理無關
[00:02:26.000 --> 00:02:29.000]  例如基督徒能不能吸煙
[00:02:29.000 --> 00:02:31.000]  能不能喝酒
[00:02:31.000 --> 00:02:33.000]  能不能打啤牌
