
[00:00:00.000 --> 00:00:03.980]  靈姐妹早晨 大家好
[00:00:03.980 --> 00:00:11.480]  多謝天父有機會我們一起在網上敬拜神
[00:00:11.480 --> 00:00:18.440]  上一次我和大家講《已不鎖書》
[00:00:18.440 --> 00:00:24.540]  三章十四至二十一節的一段經文
[00:00:24.540 --> 00:00:30.620]  這段經文是講到主耶穌基督
[00:00:30.620 --> 00:00:36.880]  祂自己怎樣來帶領我們
[00:00:36.880 --> 00:00:42.620]  藉著我們的信與祂聯合
[00:00:42.620 --> 00:00:50.140]  以致在基督裏面 我們可以住在祂的裏面
[00:00:50.140 --> 00:00:56.200]  同時有祂 主耶穌住在我們的心裏面
[00:00:56.200 --> 00:01:01.620]  使我們能夠有榮耀的盼望
[00:01:01.620 --> 00:01:08.540]  這個盼望就是能夠與主相似
[00:01:08.540 --> 00:01:12.120]  分享祂的榮耀
[00:01:12.120 --> 00:01:17.060]  今天我們要講的經文就是
[00:01:17.060 --> 00:01:23.440]  《已不鎖書》四章一至六節的一段
[00:01:23.440 --> 00:01:27.140]  這一段和我們講到
[00:01:27.140 --> 00:01:31.180]  我為主被囚的勸你們
[00:01:31.180 --> 00:01:36.540]  既然蒙召就應該行事為人
[00:01:36.540 --> 00:01:42.140]  與這個蒙召的恩相稱
[00:01:42.140 --> 00:01:50.040]  與蒙召的恩相稱的生活是甚麼呢?
[00:01:50.040 --> 00:01:57.940]  這裏我們可以去看
[00:01:57.940 --> 00:02:02.500]  與蒙召的恩相稱的生活
[00:02:02.500 --> 00:02:10.260]  就是廈文四章二至六節所講的
[00:02:10.260 --> 00:02:15.240]  這個能夠活出彼此信徒
[00:02:15.240 --> 00:02:20.020]  彼此相愛、合一的生活
[00:02:20.020 --> 00:02:26.120]  因為這樣的生活是似神的
[00:02:26.120 --> 00:02:32.360]  而我們的神是一位三位一體的神
[00:02:32.360 --> 00:02:35.940]  彼此相愛的神
[00:02:35.940 --> 00:02:42.140]  所以我們靠著我們裏面的基督
[00:02:42.140 --> 00:02:46.900]  能夠活出這種的生活
[00:02:46.900 --> 00:02:52.060]  保羅就勸我們應該靠著祂
[00:02:52.060 --> 00:02:55.860]  活出這種的生活
[00:02:55.860 --> 00:03:01.420]  我們能夠過合一的生活
[00:03:01.420 --> 00:03:07.640]  這個基礎是在神那裏的
[00:03:07.640 --> 00:03:13.040]  神是我們這個合一的基礎
[00:03:13.040 --> 00:03:15.820]  原因就是因為
[00:03:15.820 --> 00:03:19.440]  這份所書四章四至六節所講的
[00:03:19.440 --> 00:03:26.420]  我們的神是一位三位一體的神
[00:03:26.420 --> 00:03:31.560]  神是三位的 就是甚麼呢?
[00:03:31.560 --> 00:03:33.560]  大家都很清楚知道了
[00:03:33.560 --> 00:03:37.940]  就是聖父、聖子、聖靈
[00:03:37.940 --> 00:03:40.260]  很感謝天父
[00:03:40.260 --> 00:03:45.220]  在前天的時候我們藉著「如大風前途」
[00:03:45.220 --> 00:03:51.980]  藉著它讓我們更多認識到有關神的屬性
[00:03:51.980 --> 00:03:56.860]  特別是神自己的愛這方面
[00:03:56.860 --> 00:04:00.960]  我們的神是三位的
[00:04:00.960 --> 00:04:06.180]  三位就是聖父、聖子、聖靈
[00:04:06.180 --> 00:04:11.840]  在保羅所講的這段經文裏面
[00:04:11.840 --> 00:04:15.780]  保羅先提到是聖靈
[00:04:15.780 --> 00:04:19.980]  因為前面四章二節那裏提到說
[00:04:19.980 --> 00:04:25.860]  我們要竭力保守聖靈所似合而為一的身
[00:04:25.860 --> 00:04:29.340]  所以當保羅講到這裏三位的時候
[00:04:29.340 --> 00:04:32.220]  是先提聖靈
[00:04:32.220 --> 00:04:39.900]  我們的神是聖父、聖子、聖靈三位的
[00:04:39.900 --> 00:04:47.020]  但是它同時都是一體的
[00:04:47.020 --> 00:04:53.780]  三個位格 但是我們的神是一體的
[00:04:53.780 --> 00:04:58.820]  一體是因為新面記錄四節所講的
[00:04:58.820 --> 00:05:04.420]  我們的神是獨一的 是一個神
[00:05:04.420 --> 00:05:08.220]  是一位合一的神
[00:05:08.220 --> 00:05:12.300]  這位神是三位是合一的
[00:05:12.300 --> 00:05:18.140]  這個在《約翰福音》十七章
[00:05:18.140 --> 00:05:21.340]  二十一至二十二節這段裏面
[00:05:21.340 --> 00:05:25.620]  就很清楚的讓我們看到
[00:05:25.620 --> 00:05:30.060]  《約翰福音》十七章二十一至二十二節
[00:05:30.060 --> 00:05:34.220]  這裏講到耶穌的祈禱
[00:05:34.220 --> 00:05:37.380]  使他們都合而為一
[00:05:37.380 --> 00:05:41.980]  正如你父在我裏面 我在你裏面
[00:05:41.980 --> 00:05:44.860]  使他們也在我們裏面
[00:05:44.860 --> 00:05:48.940]  叫世人可以信你參與我來
[00:05:48.940 --> 00:05:53.140]  你所賜給我的榮耀 我已經賜給他們
[00:05:53.140 --> 00:05:59.460]  使他們合而為一 使我們合而為一
[00:05:59.460 --> 00:06:05.060]  所以這裏講到主耶穌和父神是甚麼呢?
[00:06:05.060 --> 00:06:09.060]  是父在耶穌基督裏面
[00:06:09.060 --> 00:06:12.060]  耶穌基督在父裏面
[00:06:12.060 --> 00:06:16.140]  他們兩位是合而為一的
[00:06:16.140 --> 00:06:20.860]  所以是聖父和聖子合而為一的
[00:06:20.860 --> 00:06:26.780]  不單止這樣 聖靈
[00:06:26.780 --> 00:06:29.420]  三位一切的神的聖靈
[00:06:29.420 --> 00:06:35.500]  都是與父以及子合而為一的
[00:06:35.500 --> 00:06:37.500]  我們怎樣看到呢?
[00:06:37.500 --> 00:06:44.700]  因為聖靈是父神的靈 神的靈
[00:06:44.700 --> 00:06:50.820]  而聖靈同時也是耶穌基督的靈
[00:06:50.820 --> 00:06:58.340]  這是在《肥納比書》一章十九節那裏看到的
