
[00:00:00.000 --> 00:00:01.800]  好呀 弟兄姊妹平安
[00:00:01.800 --> 00:00:05.820]  請你和你旁邊的弟兄姊妹
[00:00:05.820 --> 00:00:08.900]  祝福一下他們 祝福他們平安
[00:00:08.900 --> 00:00:13.660]  祝福他們平安 常常都平安
[00:00:13.660 --> 00:00:20.380]  你見到他們的樣子平不平安
[00:00:20.380 --> 00:00:23.480]  安不安
[00:00:23.480 --> 00:00:26.160]  是吧
[00:00:26.160 --> 00:00:29.480]  你覺不覺得
[00:00:29.480 --> 00:00:32.760]  生活在香港這個城市很需要平安
[00:00:32.760 --> 00:00:36.120]  是吧 雖然我們沒什麼
[00:00:36.120 --> 00:00:38.480]  沒什麼戰火 基本上 是吧
[00:00:38.480 --> 00:00:41.820]  如果你看中東就常常炸到飛起
[00:00:41.820 --> 00:00:45.560]  周圍打仗打到很激烈
[00:00:45.560 --> 00:00:48.140]  香港就沒什麼戰火 不過
[00:00:48.140 --> 00:00:51.240]  都有不少東西令我們的心
[00:00:51.240 --> 00:00:53.720]  很不安 是吧
[00:00:53.720 --> 00:00:55.740]  不知你最近經歷的事
[00:00:55.740 --> 00:00:59.060]  你見到周圍發生的事有沒有令你很不安呢
[00:00:59.200 --> 00:01:02.160]  為何這樣說呢
[00:01:02.160 --> 00:01:05.000]  我們講到這個訊息就開始進入
[00:01:05.000 --> 00:01:08.300]  第三個題目了 是什麼呢
[00:01:08.300 --> 00:01:11.580]  如果你看程序表就是我們去到這個
[00:01:11.580 --> 00:01:13.640]  哀動憐憫生捨棄
[00:01:13.640 --> 00:01:17.240]  其實這個哀動憐憫就是在講對城市的
[00:01:17.240 --> 00:01:20.540]  那個哀動和憐憫
[00:01:20.540 --> 00:01:23.780]  對城市 對香港這個城市
[00:01:23.780 --> 00:01:27.120]  我不知道大家有沒有留意
[00:01:27.120 --> 00:01:30.420]  香港最近發生的一些事
[00:01:30.420 --> 00:01:34.000]  話說在復活節期間
[00:01:34.000 --> 00:01:36.940]  我們在這裡有領袖營
[00:01:36.940 --> 00:01:38.840]  有多少人有去領袖營
[00:01:38.840 --> 00:01:42.780]  都不少的 如果你來領袖營
[00:01:42.780 --> 00:01:45.620]  你就會發現其實整個領袖營
[00:01:45.620 --> 00:01:48.460]  都很被主刺激
[00:01:48.460 --> 00:01:51.460]  很多見證 很多神的工作
[00:01:51.460 --> 00:01:54.480]  在我們當中 叫很多生命能夠被發展
[00:01:54.480 --> 00:01:57.460]  這個是很精彩的
[00:01:57.460 --> 00:02:00.520]  這個是在我們堂會裏面發生的事
[00:02:00.520 --> 00:02:03.520]  在一個索神的群體裏面發生的事
[00:02:03.520 --> 00:02:06.380]  但周遭究竟發生了什麼事 不知道大家有沒有留意
[00:02:06.380 --> 00:02:09.900]  同一時間 差不多時間
[00:02:09.900 --> 00:02:11.780]  大球場發生了這個
[00:02:11.780 --> 00:02:13.900]  七人籃球賽
[00:02:13.900 --> 00:02:17.100]  那你知不知道七人籃球賽
[00:02:17.100 --> 00:02:20.100]  我看報紙的 我沒有親身去過
[00:02:20.100 --> 00:02:22.720]  他說有一個漢台 好像是南漢台
[00:02:22.720 --> 00:02:26.060]  是叫做十八禁的漢台
[00:02:26.060 --> 00:02:29.780]  即是說那些人要十八歲才能進去
[00:02:29.780 --> 00:02:32.840]  十八歲或以上才能進去 那裏的那些人
[00:02:32.840 --> 00:02:35.660]  那個漢台就好像一個特區
[00:02:35.660 --> 00:02:39.500]  那些人就會很瘋狂的在那裏喝酒
[00:02:39.500 --> 00:02:42.740]  扮得古靈精怪
[00:02:42.740 --> 00:02:47.980]  有些會穿得很性感
[00:02:47.980 --> 00:02:56.260]  然後會一對人在那裏貼吻
[00:02:56.260 --> 00:02:59.040]  有些是男同男 女同女
[00:02:59.040 --> 00:03:02.320]  不知道大家有沒有留意這些
[00:03:02.320 --> 00:03:05.020]  沒有 因為大家沒有什麼興趣
[00:03:05.020 --> 00:03:10.740]  再過一點 差不多同一時間
[00:03:10.740 --> 00:03:14.920]  香港在中環的海濱那裏又發生了另一件事
[00:03:14.920 --> 00:03:16.920]  不知道大家有沒有留意
[00:03:17.400 --> 00:03:21.540]  有一個嘉年華會在那裏發生
[00:03:21.540 --> 00:03:23.540]  那個嘉年華會叫做什麼嘉年華會呢
[00:03:23.540 --> 00:03:27.540]  叫做成人嘉年華
[00:03:27.540 --> 00:03:31.900]  是十八歲以上的人才可以進去的
[00:03:31.900 --> 00:03:36.280]  裏面是在說推廣那個議題
[00:03:36.280 --> 00:03:38.280]  即是他們提出的題目
[00:03:38.280 --> 00:03:42.480]  很多全部都是關於性的議題
[00:03:42.480 --> 00:03:46.100]  很多是我們一般認為正常的東西
[00:03:46.100 --> 00:03:51.400]  可以在那裏 即是那些不正常的東西會在那裏發生
[00:03:51.400 --> 00:03:53.980]  甚至展覽到了一個地步
[00:03:53.980 --> 00:03:57.560]  政府當局覺得那些太過露骨了
[00:03:57.560 --> 00:04:00.340]  所謂的藝術品太過露骨了
