
[00:00:00.000 --> 00:00:05.460]  有時有些紀錄真的不想打破
[00:00:05.460 --> 00:00:07.240]  7月18日
[00:00:07.240 --> 00:00:11.240]  香港的確診數字
[00:00:11.240 --> 00:00:14.520]  單日超過120人
[00:00:14.520 --> 00:00:17.000]  有64人已經確診
[00:00:17.000 --> 00:00:19.640]  染上新冠病毒
[00:00:19.640 --> 00:00:26.780]  有60人懷疑是初步確診
[00:00:26.780 --> 00:00:35.760]  這個數字加起來香港已經有1777人受感染
[00:00:35.760 --> 00:00:41.020]  亦破了2003年SARS的總人數
[00:00:41.020 --> 00:00:46.400]  我想我們每個人都不想看到這些數字不斷突破
[00:00:46.400 --> 00:00:48.600]  某程度上專家
[00:00:48.600 --> 00:00:50.400]  袁國勇已經說過
[00:00:50.400 --> 00:00:55.600]  今個星期六和星期日將會是高峰期
[00:00:55.600 --> 00:00:59.120]  如果我們處理好這幾個星期
[00:00:59.120 --> 00:01:04.020]  應該過了星期日之後就可以慢慢回落
[00:01:04.020 --> 00:01:06.760]  希望真是所言是真
[00:01:06.760 --> 00:01:13.000]  因為我們見到很多香港市民很認真的去保護自己
[00:01:13.000 --> 00:01:15.280]  當然亦有些人令我們氣憤
[00:01:15.280 --> 00:01:18.800]  坐車時不肯戴口罩還要拿刀斬人
[00:01:18.800 --> 00:01:21.600]  這些人一定要繩之以法
[00:01:21.600 --> 00:01:26.400]  但我們不單要為我們自己禱告,也要為政府禱告
[00:01:26.400 --> 00:01:32.400]  如果大家知道原來有二十多萬人完全沒有受過檢疫就可以來到香港
[00:01:32.400 --> 00:01:36.400]  而這二十多萬人裏面究竟有沒有帶菌者呢?
[00:01:36.400 --> 00:01:38.000]  是沒有人知道的
[00:01:38.000 --> 00:01:41.040]  有些人可以有特權,但我們大家知道
[00:01:41.040 --> 00:01:45.000]  病毒是不會去分人的
[00:01:45.000 --> 00:01:48.120]  你很有社會地位
[00:01:48.120 --> 00:01:51.680]  或者你是一個貧窮的人
[00:01:51.680 --> 00:01:53.840]  一樣可以受感染
[00:01:53.840 --> 00:01:55.800]  所以求神來幫助我們
[00:01:55.800 --> 00:01:58.160]  不單單我們要自我保護
[00:01:58.160 --> 00:02:03.360]  我們更加祈禱求神幫助我們政府帶領的人
[00:02:03.360 --> 00:02:05.800]  有智慧地去面對
[00:02:05.800 --> 00:02:08.200]  稍後會和大家分享的信息
[00:02:08.200 --> 00:02:11.240]  我想說這篇導讀也頗長
[00:02:11.240 --> 00:02:12.800]  經文很多
[00:02:12.800 --> 00:02:17.520]  很鼓勵大家可以上基督教冥恩堂、大埔堂的網頁
[00:02:17.520 --> 00:02:21.320]  因為我會把我的講道、講章和powerpoint
[00:02:21.320 --> 00:02:23.440]  都放在這個網頁之內
[00:02:23.440 --> 00:02:26.720]  大家可以下載來讀
[00:02:26.720 --> 00:02:30.560]  在我們領受神位之前,我們再次低頭來禱告
[00:02:30.560 --> 00:02:33.160]  請你自己來幫助
[00:02:33.160 --> 00:02:35.520]  幫助世界各地的政府
[00:02:35.520 --> 00:02:38.480]  讓他們懂得有智慧地、有效地
[00:02:38.480 --> 00:02:42.360]  來阻止這個疫情不斷的擴散
[00:02:42.360 --> 00:02:44.240]  祝福每一個醫護人員
[00:02:44.240 --> 00:02:47.120]  讓他們能夠得到保護
[00:02:47.120 --> 00:02:51.080]  因為他們活在一個高危的環境當中
[00:02:51.080 --> 00:02:55.320]  但他們仍然用心去服侍有病的人
[00:02:55.320 --> 00:02:58.320]  求神你來帶領政府制定的政策
[00:02:58.320 --> 00:03:00.920]  完全撇除了政治的考量
[00:03:00.920 --> 00:03:05.680]  真的惠著市民的福祉來制定合適的政策
[00:03:05.680 --> 00:03:08.120]  求神你來憐憫有很多的人
[00:03:08.120 --> 00:03:10.760]  他們在經濟上受到很大的虧損
[00:03:10.760 --> 00:03:13.600]  特別是旅遊業或飲食業
[00:03:13.600 --> 00:03:19.200]  神求你來幫助這些從業員得到援助
[00:03:19.200 --> 00:03:22.280]  幫助我們懂得珍惜我們所擁有
[00:03:22.280 --> 00:03:23.720]  教導我們學習
[00:03:23.720 --> 00:03:25.280]  無論順境逆境
[00:03:25.280 --> 00:03:28.000]  都仍然學習感恩和仰望祢
[00:03:28.000 --> 00:03:29.880]  使用孩子今天所講的信息
