
[00:00:00.000 --> 00:00:02.000]  最近看了一篇文章
[00:00:02.000 --> 00:00:03.800]  這篇文章是
[00:00:03.800 --> 00:00:06.000]  一位日本人寫的男士
[00:00:06.000 --> 00:00:09.000]  他的名字叫做廣川
[00:00:09.000 --> 00:00:11.000]  他在2007年的時候
[00:00:11.000 --> 00:00:14.000]  發現自己的盆骨上有腫瘤
[00:00:14.000 --> 00:00:15.000]  醫生告訴他
[00:00:15.000 --> 00:00:18.000]  他大概只剩下半年命
[00:00:18.000 --> 00:00:21.000]  於是他立即放下他的工作
[00:00:21.000 --> 00:00:23.000]  接受治療
[00:00:23.000 --> 00:00:27.000]  他當年大概52歲
[00:00:27.000 --> 00:00:30.000]  經過兩次很成功的手術之後
[00:00:30.000 --> 00:00:33.000]  他慢慢康復過來
[00:00:33.000 --> 00:00:35.000]  經過了幾個月的時間
[00:00:35.000 --> 00:00:37.000]  他就痊癒了
[00:00:37.000 --> 00:00:41.000]  之後他就正式退休了
[00:00:41.000 --> 00:00:44.000]  他退休大概有十年的時間
[00:00:44.000 --> 00:00:47.000]  他怎樣形容他那十年的退休生活呢?
[00:00:47.000 --> 00:00:50.000]  他就說非常沉悶、不安
[00:00:50.000 --> 00:00:52.000]  中途好像無所事事
[00:00:52.000 --> 00:00:54.000]  都不知道為了什麼生活
[00:00:54.000 --> 00:00:58.000]  身體好像都很健康
[00:00:58.000 --> 00:01:03.000]  但是心靈就很枯乾
[00:01:03.000 --> 00:01:06.000]  他形容自己的心靈不是很健康
[00:01:06.000 --> 00:01:10.000]  退休之前都沒有人這樣跟他說過
[00:01:10.000 --> 00:01:14.000]  沒有人告訴他退休生活會是這樣
[00:01:14.000 --> 00:01:19.000]  他有時候跟一些退休人士分享的時候
[00:01:19.000 --> 00:01:23.000]  他發覺不少人都有他這樣的狀況出現
[00:01:23.000 --> 00:01:25.000]  於是他就做了一個決定
[00:01:25.000 --> 00:01:27.000]  就是重出江湖
[00:01:27.000 --> 00:01:30.000]  他就設立了一間輔導機構
[00:01:30.000 --> 00:01:33.000]  自己去做教練
[00:01:33.000 --> 00:01:36.000]  專門輔導那些退休人士
[00:01:36.000 --> 00:01:41.000]  幫助他們建立更加有意義的退休生活
[00:01:41.000 --> 00:01:47.000]  他曾經訪問了一萬五千位退休人士
[00:01:47.000 --> 00:01:50.000]  也做過深入的研究
[00:01:50.000 --> 00:01:53.000]  他就發現對退休人士來說
[00:01:53.000 --> 00:02:02.000]  最大的挑戰就是怎樣去找到生活的意義
[00:02:02.000 --> 00:02:08.000]  於是他就幫助這些人找答案
