
[00:00:00.000 --> 00:00:04.900]  今天的題目叫《簡短禱告舉目仰望求主憐憫》
[00:00:04.900 --> 00:00:09.500]  我這兩年看聖經都是用《新譜及譯本》
[00:00:09.500 --> 00:00:13.800]  用《新譜及譯本》我們一起讀四節的經文
[00:00:13.800 --> 00:00:14.800]  我們嘗試讀一下
[00:00:14.800 --> 00:00:16.400]  一二三
[00:00:16.400 --> 00:00:19.900]  坐在天上寶座的上帝
[00:00:19.900 --> 00:00:22.100]  我舉目仰望你
[00:00:22.100 --> 00:00:25.100]  僕人怎樣注視主人
[00:00:25.100 --> 00:00:30.700]  婢女怎樣留心女主人最輕微的事宜
[00:00:30.700 --> 00:00:33.900]  我們也怎樣仰望上主
[00:00:33.900 --> 00:00:36.800]  我們上帝的憐憫
[00:00:36.800 --> 00:00:37.900]  上主啊
[00:00:37.900 --> 00:00:40.000]  求你憐憫我們
[00:00:40.000 --> 00:00:41.900]  憐憫我們吧
[00:00:41.900 --> 00:00:44.900]  因我們飽受鄙視
[00:00:44.900 --> 00:00:48.900]  我們受夠了狂傲之人的記笑
[00:00:48.900 --> 00:00:52.400]  和自大之人的鄙視
[00:00:52.400 --> 00:00:57.900]  我們試試看這一個經文的背景
[00:00:57.900 --> 00:01:00.400]  上行詩是什麼呢
[00:01:00.400 --> 00:01:01.900]  就是那些以色列人
[00:01:01.900 --> 00:01:04.400]  去到聖殿原來有十五級樓梯
[00:01:04.400 --> 00:01:07.600]  一直有人說他背誦了一些詩歌
[00:01:07.600 --> 00:01:08.800]  很有力量的
[00:01:08.800 --> 00:01:11.100]  我們剛才差了一點點
[00:01:11.100 --> 00:01:15.100]  另外這首詩的背景我們也要知道
[00:01:15.100 --> 00:01:18.700]  因為當時田地荒蕪城牆被毀
[00:01:18.700 --> 00:01:21.900]  他們去重建聖殿又被人記笑
[00:01:21.900 --> 00:01:24.600]  自己裡面族群的紛爭
[00:01:24.600 --> 00:01:29.000]  所以馬丁路德形容這首詩是什麼
[00:01:29.000 --> 00:01:30.400]  集體哀歌
[00:01:30.400 --> 00:01:33.600]  The deep side of a pained heart
[00:01:33.600 --> 00:01:36.200]  很痛的心靈寫出來的
[00:01:36.200 --> 00:01:37.700]  但是我更加喜歡下面
[00:01:37.700 --> 00:01:39.700]  我看到其中一個解經家寫這句
[00:01:39.700 --> 00:01:40.900]  我覺得一定要寫
[00:01:40.900 --> 00:01:43.400]  The prayer do not always have to be long
[00:01:43.400 --> 00:01:46.500]  but simply sincere
[00:01:46.500 --> 00:01:48.100]  同不同意啊
[00:01:48.100 --> 00:01:50.600]  簡短祈禱
[00:01:50.600 --> 00:01:52.000]  簡短祈禱
[00:01:52.000 --> 00:01:53.700]  通常我會說三點
[00:01:53.700 --> 00:01:55.500]  禱告的對象
[00:01:55.500 --> 00:01:57.100]  禱告的態度
[00:01:57.100 --> 00:02:02.100]  以及禱告的內容
[00:02:02.100 --> 00:02:03.800]  我們看看
[00:02:03.800 --> 00:02:06.300]  禱告的對象
[00:02:06.300 --> 00:02:11.100]  這裡說坐在天上寶座的上帝
[00:02:11.100 --> 00:02:12.900]  有三段經文
[00:02:12.900 --> 00:02:16.200]  因為坐在天上寶座原來有很多經文說
[00:02:16.200 --> 00:02:17.500]  上帝是怎樣
[00:02:17.500 --> 00:02:18.900]  我就抽了三段出來
[00:02:18.900 --> 00:02:19.900]  我讀第一段
[00:02:19.900 --> 00:02:20.800]  你們讀第二段
[00:02:20.800 --> 00:02:22.300]  我們一起讀第三段
[00:02:22.300 --> 00:02:23.100]  好不好
[00:02:23.100 --> 00:02:24.500]  我先讀
[00:02:24.500 --> 00:02:27.100]  上主使諸天作他的寶座
[00:02:27.100 --> 00:02:29.700]  他從那裡統管萬有
[00:02:29.700 --> 00:02:31.000]  眾天使人
[00:02:31.000 --> 00:02:33.900]  你們聽從他所有的命令
[00:02:33.900 --> 00:02:35.600]  履行他的計劃
[00:02:35.600 --> 00:02:38.200]  是大有能力的使者
[00:02:38.200 --> 00:02:40.700]  你們要讚美上主
[00:02:40.700 --> 00:02:43.400]  諸天使人的榮耀
[00:02:43.400 --> 00:02:46.800]  保障天下幾月的天空
[00:02:46.800 --> 00:02:51.800]  下門的日蜀恕大器 夜夜將年花月作為
[00:02:51.800 --> 00:02:56.200]  下門蜀恕 天下花蜀星向白而圓
[00:02:56.200 --> 00:03:01.200]  下門無色無色 下門的上乘全面大器
[00:03:01.200 --> 00:03:04.100]  下門的話語傳到未盈
[00:03:04.100 --> 00:03:08.000]  上帝在天上為太陽光似玉
[00:03:08.000 --> 00:03:09.200]  好 我們一起讀
[00:03:09.200 --> 00:03:13.400]  上主我們先祖以色列的上帝
[00:03:13.400 --> 00:03:15.300]  願你受重贊
[00:03:15.300 --> 00:03:17.600]  直到永永遠遠
[00:03:17.600 --> 00:03:18.800]  上主啊
[00:03:18.800 --> 00:03:24.600]  偉大 權能 榮耀 勝利和威嚴都屬於你
[00:03:24.600 --> 00:03:25.700]  上主啊
