
[00:00:00.000 --> 00:00:03.280]  你試過在運動場上賽跑嗎
[00:00:03.280 --> 00:00:06.480]  在運動場上賽跑
[00:00:06.480 --> 00:00:08.560]  你有起點
[00:00:08.560 --> 00:00:10.320]  你離開起點
[00:00:10.320 --> 00:00:13.080]  向著終點跑
[00:00:13.080 --> 00:00:16.520]  你不可以停在起點
[00:00:16.520 --> 00:00:18.720]  你覺得起點很舒服
[00:00:18.720 --> 00:00:20.120]  你停在那裡
[00:00:20.120 --> 00:00:21.280]  你便不能跑
[00:00:21.280 --> 00:00:23.160]  或者你在跑的時候
[00:00:23.160 --> 00:00:24.560]  你又不可以
[00:00:24.560 --> 00:00:26.560]  因為在途中
[00:00:26.560 --> 00:00:28.400]  有朋友跟你打招呼
[00:00:28.400 --> 00:00:29.840]  你就站下來跟他聊天
[00:00:30.000 --> 00:00:33.160]  你永遠跑不到終點
[00:00:33.160 --> 00:00:37.280]  人生就像賽跑一樣
[00:00:37.280 --> 00:00:38.360]  我們有起點
[00:00:38.360 --> 00:00:40.880]  我們需要離開起點
[00:00:40.880 --> 00:00:43.800]  向著終點跑
[00:00:43.800 --> 00:00:49.480]  並且能夠努力完成這個比賽
[00:00:49.480 --> 00:00:53.480]  保羅說人生就像賽跑一樣
[00:00:53.480 --> 00:00:57.120]  人要忘記背後努力
[00:00:57.120 --> 00:01:00.440]  面前的向著標竿直跑
[00:01:00.440 --> 00:01:04.000]  我們要忘記背後
[00:01:04.000 --> 00:01:06.600]  不是說我們要失憶
[00:01:06.600 --> 00:01:08.200]  什麼都不記得
[00:01:08.200 --> 00:01:10.400]  保羅是記得的
[00:01:10.400 --> 00:01:12.640]  他記得他自己的出身
[00:01:12.640 --> 00:01:16.480]  他記得他自己是一個正統的猶太人
[00:01:16.480 --> 00:01:18.920]  是一個正統的法利賽人
[00:01:18.920 --> 00:01:23.680]  他記得他很努力追求律法而來的義
[00:01:23.680 --> 00:01:27.120]  不過他在這裡告訴我們
[00:01:27.120 --> 00:01:30.040]  他是可以忘記背後的
[00:01:30.040 --> 00:01:35.880]  他告訴我們他先前以為與他有益的
[00:01:35.880 --> 00:01:38.240]  他現在當作有損的
[00:01:38.240 --> 00:01:41.360]  他把萬事當作有損的
[00:01:41.360 --> 00:01:46.400]  他是為著耶穌基督已經凋棄萬事
[00:01:46.400 --> 00:01:48.080]  看作糞土
[00:01:48.080 --> 00:01:51.120]  這就是忘記背後的意思
[00:01:52.120 --> 00:01:55.000]  把萬事當作有損
[00:01:55.000 --> 00:01:57.840]  凋棄萬事看作糞土
[00:01:57.840 --> 00:02:01.440]  就是說我們不再留戀過去了
[00:02:01.440 --> 00:02:04.240]  過去我們以為有益的事情
[00:02:04.240 --> 00:02:07.440]  過去我們以為對我們好的事情
[00:02:07.440 --> 00:02:09.440]  我們能夠放下
[00:02:09.440 --> 00:02:12.240]  我們不再留戀過去
[00:02:12.240 --> 00:02:15.440]  很多人喜歡懷緬過去
[00:02:15.440 --> 00:02:19.040]  覺得以前自己有輝煌的日子
[00:02:19.040 --> 00:02:21.720]  以前自己有多聰明
[00:02:21.720 --> 00:02:23.440]  有多記性
[00:02:23.440 --> 00:02:24.920]  跑得多快
[00:02:24.920 --> 00:02:26.440]  有多少錢
[00:02:26.440 --> 00:02:30.240]  我們開始沒有這些了
[00:02:30.240 --> 00:02:35.640]  因為人生經過高峰就會向下跌
[00:02:35.640 --> 00:02:40.320]  我們不同的東西是有不同的高峰
[00:02:40.320 --> 00:02:43.040]  如果我們的體能
[00:02:43.040 --> 00:02:45.720]  我們的高峰很快就過了
[00:02:45.720 --> 00:02:51.240]  因為運動員十幾歲、二十幾歲就高峰了
[00:02:51.240 --> 00:02:53.040]  當然要看運動
[00:02:53.040 --> 00:02:56.040]  打桌球、打歌可能會好些、久些
[00:02:56.040 --> 00:02:58.240]  但是很多已經過去了
[00:02:58.240 --> 00:03:01.840]  如果我們懷念這個高峰
[00:03:01.840 --> 00:03:03.840]  我們很難向前走
[00:03:03.840 --> 00:03:06.840]  我們經常沉醉於過去
[00:03:06.840 --> 00:03:12.040]  我們求學問的高峰也是會過去的
[00:03:12.040 --> 00:03:17.240]  我們可能記性最好的時候是二十幾歲、三十幾歲
[00:03:17.240 --> 00:03:20.240]  四十幾歲的人讀書就開始覺得自己不行了
[00:03:20.240 --> 00:03:22.240]  不記得的東西
[00:03:22.240 --> 00:03:24.840]  你試試六十幾歲讀書
[00:03:24.840 --> 00:03:28.040]  記得少少已經很好了
[00:03:28.040 --> 00:03:29.840]  理應不記得的
[00:03:29.840 --> 00:03:31.240]  高峰過去了
[00:03:31.240 --> 00:03:32.240]  以前很厲害的
[00:03:32.240 --> 00:03:33.040]  寄東西很厲害的
[00:03:33.040 --> 00:03:35.240]  不過又會過去的
[00:03:35.240 --> 00:03:38.640]  工作上的高峰會過去的
[00:03:38.640 --> 00:03:40.840]  我們去到退休就沒有了
[00:03:40.840 --> 00:03:41.840]  沒有工作了
[00:03:41.840 --> 00:03:46.240]  有些人未到退休都可能已經在退休前
[00:03:46.240 --> 00:03:49.840]  開始的工作就不同以前了
[00:03:49.840 --> 00:03:53.840]  不是每個人都可以去到最高的職位退休的
[00:03:53.840 --> 00:03:57.440]  有些人就開始要去做看監
[00:03:57.440 --> 00:04:02.240]  要去做一些比以前沒那麼高級的位置
[00:04:02.240 --> 00:04:05.240]  他們慢慢就要謀生
[00:04:05.240 --> 00:04:08.640]  經常想著以前自己有多威風
[00:04:08.640 --> 00:04:10.840]  有多少人聽自己怎樣
[00:04:10.840 --> 00:04:13.840]  但是是會過去的
[00:04:13.840 --> 00:04:15.840]  財富會過去的
[00:04:15.840 --> 00:04:19.240]  不是每個人都是臨死的時候是最有錢的時候
[00:04:19.240 --> 00:04:20.840]  多數都不是
[00:04:20.840 --> 00:04:22.840]  是你都覺得浪費了
[00:04:22.840 --> 00:04:24.840]  沒有花過
[00:04:24.840 --> 00:04:27.840]  你通常就會越來越少
[00:04:27.840 --> 00:04:29.840]  你到差不多下一年多
[00:04:29.840 --> 00:04:31.840]  你的錢是慢慢不見的
[00:04:31.840 --> 00:04:36.840]  於是你就去懷緬你最富有的時候
[00:04:36.840 --> 00:04:39.840]  我們不能夠忘記背後
[00:04:39.840 --> 00:04:42.840]  我們是很難向前走的
[00:04:42.840 --> 00:04:46.840]  我們就會糾纏在過去的日子
[00:04:46.840 --> 00:04:48.840]  傳道書有節聖經這樣說
[00:04:48.840 --> 00:04:50.840]  在七章第十節
[00:04:50.840 --> 00:04:55.840]  你不要說為甚麼從前的日子勝過現在的呢
