
[00:00:00.000 --> 00:00:03.480]  一同來敬拜祢 唱詩讚美祢
[00:00:03.480 --> 00:00:05.680]  求祢臨在我們當中
[00:00:05.680 --> 00:00:08.880]  幫助我們思想聖經的訊息的時候
[00:00:08.880 --> 00:00:11.240]  得到聖靈的幫助
[00:00:11.240 --> 00:00:13.680]  能夠聽得明白
[00:00:13.680 --> 00:00:17.800]  能夠願意進行主的教導
[00:00:17.800 --> 00:00:23.040]  選擇為自己人生選擇一個美好的福氣
[00:00:23.040 --> 00:00:26.080]  奉耶穌基督的名祈禱 阿門
[00:00:26.080 --> 00:00:31.000]  馬克吐溫是美國一位大文豪
[00:00:31.000 --> 00:00:32.680]  他曾經說過
[00:00:32.680 --> 00:00:36.960]  一個人最重要的兩個日子
[00:00:36.960 --> 00:00:39.240]  就是他出生的那一天
[00:00:39.240 --> 00:00:42.960]  和他找到他存在的意義的那一天
[00:00:42.960 --> 00:00:46.640]  這幅英文稍微小一點 我讀給大家聽
[00:00:46.640 --> 00:00:49.360]  The two most important days in your life
[00:00:49.360 --> 00:00:51.520]  are the day you are born
[00:00:51.520 --> 00:00:54.440]  and the day you find a wife
[00:00:54.440 --> 00:01:00.240]  很多人在不同的人生階段都會想這個問題
[00:01:00.240 --> 00:01:03.760]  我為什麼要活著
[00:01:03.760 --> 00:01:06.280]  我為什麼不自殺呢
[00:01:06.280 --> 00:01:09.160]  最近我們說過我信永生
[00:01:09.160 --> 00:01:12.360]  不知道有沒有人被人問過
[00:01:12.360 --> 00:01:16.160]  你基督徒嘛 你既然信永生了
[00:01:16.160 --> 00:01:18.320]  那為什麼不自殺呢
[00:01:18.320 --> 00:01:23.040]  早點死早點進天堂不就好了嗎
[00:01:23.040 --> 00:01:25.600]  如果你有這樣被人問過
[00:01:25.600 --> 00:01:28.360]  我不知道你會怎樣回答
[00:01:28.360 --> 00:01:30.240]  我會告訴他
[00:01:30.240 --> 00:01:32.240]  因為我不自殺很簡單
[00:01:32.240 --> 00:01:35.520]  因為上帝要我們活在這個世上
[00:01:35.520 --> 00:01:39.120]  照亮這個黑暗的世界
[00:01:39.120 --> 00:01:44.920]  我記得有一位牧師曾經做過一個測試
[00:01:44.920 --> 00:01:46.480]  他是用蘋果手機的
[00:01:46.480 --> 00:01:48.080]  我沒有用蘋果手機
[00:01:48.080 --> 00:01:49.280]  他拿著蘋果手機
[00:01:49.280 --> 00:01:52.720]  原來有一個叫Siri可以問他的問題
[00:01:52.720 --> 00:01:54.720]  他拿著蘋果手機問
[00:01:54.720 --> 00:01:55.760]  Siri Siri
[00:01:55.760 --> 00:01:57.600]  What's the meaning of life
[00:01:57.600 --> 00:01:59.760]  生命有什麼意義
[00:01:59.760 --> 00:02:01.440]  Siri就回答
[00:02:01.440 --> 00:02:02.880]  你這個人真是奇怪
[00:02:02.880 --> 00:02:06.760]  我都沒有生命 你問我幹嘛
[00:02:06.760 --> 00:02:08.600]  牧師又不放棄
[00:02:08.600 --> 00:02:09.720]  Siri Siri
[00:02:09.720 --> 00:02:12.320]  生命有什麼意義
[00:02:12.320 --> 00:02:17.120]  Siri就給了一個在字典裡面的答案
[00:02:17.120 --> 00:02:19.120]  他說生命是泛指一類
[00:02:19.120 --> 00:02:22.680]  具有穩定的物質和能量代謝現象
[00:02:22.680 --> 00:02:25.040]  並且能夠回應刺激
[00:02:25.040 --> 00:02:29.680]  能進行自我繁殖的半開放物質系統
[00:02:29.680 --> 00:02:30.960]  簡單來說
[00:02:30.960 --> 00:02:34.080]  它就是具有生命機制的物體
[00:02:34.080 --> 00:02:39.200]  生命個體一定會經歷出生成長衰老和死亡
[00:02:39.200 --> 00:02:43.080]  這是字典的答案定義
[00:02:43.080 --> 00:02:44.880]  牧師又再問一次
[00:02:44.880 --> 00:02:45.760]  Siri Siri
[00:02:45.760 --> 00:02:47.520]  生命有什麼意義
[00:02:47.520 --> 00:02:49.520]  Siri這次就回答
[00:02:49.520 --> 00:02:51.640]  生命的意義不就像你一樣
[00:02:51.640 --> 00:02:56.840]  去問生命的意義是什麼
[00:02:56.840 --> 00:02:59.520]  牧師又再問一次
[00:02:59.520 --> 00:03:02.840]  Siri說我放棄了
[00:03:02.840 --> 00:03:05.000]  牧師沒有放棄
[00:03:05.000 --> 00:03:06.360]  他再問一次
[00:03:06.360 --> 00:03:10.160]  Siri 生命究竟有什麼意義
[00:03:10.160 --> 00:03:13.200]  Siri想了一會兒就回答
[00:03:13.200 --> 00:03:15.600]  根據現在所有的證據顯示
[00:03:15.600 --> 00:03:17.720]  生命就是一盒巧克力
[00:03:17.720 --> 00:03:18.800]  我猜這個答案
[00:03:18.800 --> 00:03:21.720]  如果你看過一套電影叫《Forest Gump》
[00:03:21.720 --> 00:03:25.200]  這句話就是《Forest Gump》那套電影出來的
[00:03:25.200 --> 00:03:28.800]  生命就像一盒巧克力
[00:03:28.800 --> 00:03:30.400]  我又試試玩玩
[00:03:30.400 --> 00:03:33.920]  我拿我的Android手機來問一下
[00:03:33.920 --> 00:03:35.600]  Android就很悶
[00:03:35.600 --> 00:03:38.200]  一開始就給我一個字典的答案
[00:03:38.200 --> 00:03:39.320]  再問多一次
[00:03:39.320 --> 00:03:40.200]  他不給字典
[00:03:40.200 --> 00:03:45.560]  他給我一個維基百科傳書的答案
[00:03:45.560 --> 00:03:48.200]  生命的意義就有關生命的重要性
[00:03:48.200 --> 00:03:52.200]  或者一般關於存在的問題
[00:03:52.200 --> 00:03:54.560]  這是生命的意義
[00:03:54.560 --> 00:03:58.200]  比一盒巧克力還要差
[00:03:58.200 --> 00:03:59.600]  無論如何
[00:03:59.600 --> 00:04:04.840]  生命的意義是一個既複雜又簡單的問題
[00:04:04.840 --> 00:04:10.200]  複雜是因為人可以從很多角度去思考
[00:04:10.200 --> 00:04:13.400]  簡單就是因為如果我們相信上帝
[00:04:13.400 --> 00:04:17.200]  聖經裏面其實是有答案的
[00:04:17.200 --> 00:04:21.000]  有一位現代的女性哲學家
[00:04:21.000 --> 00:04:24.200]  是美國一間大學的教授叫Susan Wolf
[00:04:24.200 --> 00:04:26.800]  她就這樣說
[00:04:26.800 --> 00:04:28.600]  不相信上帝的人
[00:04:28.600 --> 00:04:33.800]  如果問的是人生本身有什麼意義的話
[00:04:33.800 --> 00:04:36.600]  注定是找不到答案
[00:04:36.600 --> 00:04:39.000]  因為我們既不代表什麼
