
[00:00:00.000 --> 00:00:02.760]  今天我要跟大家分享這個題目
[00:00:02.760 --> 00:00:06.440]  你一看就知道說什麼?
[00:00:06.440 --> 00:00:08.520]  教會是吧?
[00:00:08.520 --> 00:00:14.560]  教會你會怎樣定義它呢?
[00:00:14.560 --> 00:00:19.560]  我相信對於不少未信的人
[00:00:19.560 --> 00:00:26.720]  他就很容易將教堂和教會混在一起說
[00:00:26.720 --> 00:00:30.720]  當我們說到教堂
[00:00:30.720 --> 00:00:35.600]  我們很容易會說是一座建築物
[00:00:35.600 --> 00:00:37.600]  也可能有人會覺得
[00:00:37.600 --> 00:00:42.880]  這個是一個信仰的組織
[00:00:42.880 --> 00:00:45.160]  這個共同信仰的組織
[00:00:45.160 --> 00:00:49.200]  可能他們也會一起有一些禮儀
[00:00:49.200 --> 00:00:51.720]  宗教等等的活動
[00:00:51.720 --> 00:00:56.560]  這些活動其實可能會對於
[00:00:56.560 --> 00:01:01.440]  他們所身處的社區是好的
[00:01:01.440 --> 00:01:05.200]  因為可能他們會做一些公益事業
[00:01:05.200 --> 00:01:09.840]  扶貧、社會服務之類的
[00:01:09.840 --> 00:01:12.560]  但是當大家回到教會
[00:01:12.560 --> 00:01:14.640]  我相信已經有一段時間了
[00:01:14.640 --> 00:01:17.200]  你一定會知道
[00:01:17.200 --> 00:01:24.440]  其實教會最重要的本質是人
[00:01:24.440 --> 00:01:26.880]  在當中不是一些地方
[00:01:26.880 --> 00:01:29.840]  也不是做一些什麼事
[00:01:29.840 --> 00:01:33.200]  不過如果我嘗試追問下去
[00:01:33.200 --> 00:01:39.120]  這幫人其實有什麼特質呢?
[00:01:39.120 --> 00:01:43.320]  一養米就養百養人
[00:01:43.320 --> 00:01:46.640]  每個人參與教會
[00:01:46.640 --> 00:01:51.160]  其實他們的想法可能都會有點不同
[00:01:51.160 --> 00:01:56.840]  是什麼東西使他們會走在一起呢?
[00:01:56.840 --> 00:01:59.000]  很多不同款的人
[00:01:59.000 --> 00:02:05.000]  剛才說過要這麼不同的人走在一起
[00:02:05.000 --> 00:02:08.320]  其實真的有點難度
[00:02:08.320 --> 00:02:13.040]  在去年8月2日
[00:02:13.040 --> 00:02:16.280]  在中國山東
[00:02:16.280 --> 00:02:18.560]  這個叫煙台市
[00:02:18.560 --> 00:02:20.880]  有一間公司做了一件事
[00:02:20.880 --> 00:02:24.680]  找了國際知名的鋼琴家
[00:02:24.680 --> 00:02:26.000]  我不知道你認不認得他
[00:02:26.000 --> 00:02:27.800]  他叫朗朗
[00:02:27.800 --> 00:02:34.400]  他帶著另外1019個人一起彈琴
[00:02:34.400 --> 00:02:35.720]  他做什麼呢?
[00:02:35.720 --> 00:02:44.120]  他是想挑戰六人聯手彈琴的紀錄
[00:02:44.120 --> 00:02:50.840]  三個人一組坐在一隻鋼琴面前
[00:02:50.840 --> 00:02:53.280]  如果你計算一下
[00:02:53.280 --> 00:03:00.880]  1019人三個人一組是373組
[00:03:00.880 --> 00:03:03.120]  一起彈一首曲目
