
[00:00:00.000 --> 00:00:10.000]  此錄音或錄影的版權是屬於基督教宣道會不閣堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意未經授權請勿轉錄或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:30.000]  心願如《使徒行傳》二十章三十二節下所說
[00:00:30.000 --> 00:00:36.000]  「這道能建立你們,叫你們和一切承聖的人同得基業」
[00:00:36.000 --> 00:00:42.000]  公元六十九年,有一個名叫波女甲的人出生
[00:00:42.000 --> 00:00:47.000]  她十歲前已經信耶穌,根據初期教會的歷史
[00:00:47.000 --> 00:00:50.000]  她後來成為了使徒約翰的門生
[00:00:50.000 --> 00:00:56.000]  也由使徒約翰安立她,成為一個教會的主教
[00:00:56.000 --> 00:00:59.000]  波女甲這個人很樸實忠誠
[00:00:59.000 --> 00:01:04.000]  她一直服侍主很長的年日,一直到公元一百五十五年
[00:01:04.000 --> 00:01:07.000]  即是她八十六歲的時候
[00:01:07.000 --> 00:01:12.000]  她經常寫信給不同教會的地方,鼓勵信徒,勸勉信徒,安慰信徒
[00:01:12.000 --> 00:01:15.000]  也請他們記得為皇帝、長官、官員
[00:01:15.000 --> 00:01:19.000]  以及一切逼迫他們、恨他們的人祈禱
[00:01:19.000 --> 00:01:23.000]  她說因為基督為我們的罪,也是這樣忍耐
[00:01:23.000 --> 00:01:26.000]  直到她自己面對死亡
[00:01:26.000 --> 00:01:30.000]  按照教會歷史記載,就在她八十六歲那一年
[00:01:30.000 --> 00:01:33.000]  波女甲被羅馬的官兵捉拿
[00:01:33.000 --> 00:01:36.000]  在其中也是初期教會歷史裏面
[00:01:36.000 --> 00:01:40.000]  比較詳細記載在聖經以外的一個殉道紀錄
[00:01:40.000 --> 00:01:44.000]  當時捉她的羅馬總督就勸她
[00:01:44.000 --> 00:01:50.000]  你都一把年紀了,這樣吧,你講一句我主凱撒(Lord Caesar)
[00:01:50.000 --> 00:01:54.000]  獻一些祭品給祂的像之前
[00:01:54.000 --> 00:01:59.000]  輕輕地罵一下耶穌基督,這樣就可以得到釋放了
[00:01:59.000 --> 00:02:03.000]  波女甲回答她
[00:02:03.000 --> 00:02:07.000]  我做了耶穌的僕人八十六年
[00:02:07.000 --> 00:02:10.000]  祂從來沒有虧待過我
[00:02:10.000 --> 00:02:15.000]  我怎麼可能褻瀆拯救我的主呢
[00:02:15.000 --> 00:02:19.000]  就在她臨死要上火柱行刑的時候
[00:02:19.000 --> 00:02:24.000]  她還不斷向身邊的官兵、官員宣講耶穌的福音
[00:02:24.000 --> 00:02:28.000]  當她一路講一路講,總督更加向群眾大聲講
[00:02:28.000 --> 00:02:31.000]  你看,她還不是公開承認她是基督徒
[00:02:31.000 --> 00:02:35.000]  在那個時候,群眾當中有些是憎恨基督徒的猶太人
[00:02:35.000 --> 00:02:38.000]  也是大叫將她燒死
[00:02:38.000 --> 00:02:42.000]  而那一天正好是猶太人的安息日
[00:02:42.000 --> 00:02:44.000]  他們沒有守安息日的規矩
[00:02:44.000 --> 00:02:49.000]  反而積極地搬動火柴、木柴堆在那個柱前面
[00:02:49.000 --> 00:02:51.000]  後來行刑的人點火
[00:02:51.000 --> 00:02:54.000]  當火焰吞噬波女甲的時候
[00:02:54.000 --> 00:02:58.000]  她大聲以溫柔的聲音祈禱
[00:02:58.000 --> 00:03:02.000]  主啊,全能的神、基督的父
[00:03:02.000 --> 00:03:04.000]  我讚美祢
[00:03:04.000 --> 00:03:08.000]  因祢使我配得在那個時候加入見證祢的行列
[00:03:08.000 --> 00:03:13.000]  可以分享基督所飲的杯子
[00:03:13.000 --> 00:03:18.000]  波女甲,這位約翰的門徒
[00:03:18.000 --> 00:03:23.000]  也是士美拿教會的主教
[00:03:23.000 --> 00:03:26.000]  今天我們就是讀耶穌基督直著
[00:03:26.000 --> 00:03:29.000]  約翰所給教會的第二封書信
[00:03:29.000 --> 00:03:32.000]  一封給士美拿教會的信
[00:03:32.000 --> 00:03:36.000]  一封只有讚,沒有雜備的書信
[00:03:36.000 --> 00:03:39.000]  我們進入經文之前就一次祈禱吧
[00:03:39.000 --> 00:03:42.000]  慈愛的主,永生的神
[00:03:42.000 --> 00:03:45.000]  求祢將祢永活的真理放在我們心裡面
[00:03:45.000 --> 00:03:48.000]  求祢的聖靈指教我們能夠明白
[00:03:48.000 --> 00:03:52.000]  今天我們在這裡讀士美拿教會的書信
[00:03:52.000 --> 00:03:55.000]  對我們理想,我們學會了什麼呢?
[00:03:55.000 --> 00:03:57.000]  求祢指教我們每一個
[00:03:57.000 --> 00:04:00.000]  多謝祢,我們的祈禱是奉主耶穌基督
[00:04:00.000 --> 00:04:03.000]  德性明哲祈求,阿們
[00:04:03.000 --> 00:04:05.000]  主已經說明了
[00:04:05.000 --> 00:04:09.000]  那個逼迫後很慘烈的,會為祂而死的
[00:04:09.000 --> 00:04:12.000]  但是主耶穌一開始是怎樣介紹自己呢?
[00:04:12.000 --> 00:04:14.000]  紅色那裡打了出來
[00:04:14.000 --> 00:04:17.000]  祂說我是曾經死過又活過來的
[00:04:17.000 --> 00:04:21.000]  這個稱號對於士美拿人來說是有特別意思的
[00:04:21.000 --> 00:04:23.000]  很印象深刻的就好像我們香港過去
[00:04:23.000 --> 00:04:27.000]  一直被稱為國際金融中心
[00:04:27.000 --> 00:04:28.000]  在不同的日子
[00:04:28.000 --> 00:04:32.000]  有人拿這個字來談或者讚
[00:04:32.000 --> 00:04:36.000]  香港人就會立刻在報紙裡面看到頭條
[00:04:36.000 --> 00:04:37.000]  國際金融中心什麼什麼
[00:04:37.000 --> 00:04:39.000]  你就會很緊張
[00:04:39.000 --> 00:04:41.000]  因為跟我們有關
[00:04:41.000 --> 00:04:43.000]  我們很明白是說什麼
[00:04:43.000 --> 00:04:45.000]  當這裡說到主說
[00:04:45.000 --> 00:04:48.000]  我是曾死過又活過來的
[00:04:48.000 --> 00:04:50.000]  士美拿他們也豎起耳朵聽
[00:04:50.000 --> 00:04:52.000]  因為有兩個原因
[00:04:52.000 --> 00:04:53.000]  在地理文化來看
[00:04:53.000 --> 00:04:56.000]  他們很擁抱這個字
[00:04:56.000 --> 00:04:58.000]  原來他們的城市曾經在主前日子
[00:04:58.000 --> 00:05:00.000]  一次很大的地震
[00:05:00.000 --> 00:05:02.000]  全城的房子都倒塌了
[00:05:02.000 --> 00:05:05.000]  連神廟、很多的建築物都爛了
[00:05:05.000 --> 00:05:07.000]  後來他們重建這個城市
[00:05:07.000 --> 00:05:10.000]  建得比以前更加漂亮、更加輝煌
[00:05:10.000 --> 00:05:11.000]  於是他們就被稱為
[00:05:11.000 --> 00:05:15.000]  好像鳳凰在火中重生一樣的城市
[00:05:15.000 --> 00:05:18.000]  那種死過又活過來
[00:05:18.000 --> 00:05:23.000]  而且他們其中一個出名的貿易是沒藥
[00:05:23.000 --> 00:05:27.000]  沒藥的希臘文
[00:05:27.000 --> 00:05:29.000]  其實就是從士美拿
