
[00:00:00.000 --> 00:00:05.000]  好,我們一齊來看一看我們今天這一段的經文,好不好呀?
[00:00:05.000 --> 00:00:09.000]  這一段經文是在十五章
[00:00:09.000 --> 00:00:14.000]  我們看十五章之前,其實是應該先看一看
[00:00:14.000 --> 00:00:17.000]  上一次和大家分享的
[00:00:17.000 --> 00:00:23.000]  在十三、十四章所講的那些事情
[00:00:23.000 --> 00:00:26.000]  十三、十四章是講到
[00:00:26.000 --> 00:00:32.000]  他們差遣十二個探子去看這個應許之地
[00:00:32.000 --> 00:00:35.000]  但回報的時候是不盡不實
[00:00:35.000 --> 00:00:40.000]  是扭曲了上帝的真心意
[00:00:40.000 --> 00:00:43.000]  因為這些不信的探子
[00:00:43.000 --> 00:00:46.000]  他們只是看眼前各樣的困難
[00:00:46.000 --> 00:00:50.000]  他永遠是看不到神的信實、神的豐盛
[00:00:50.000 --> 00:00:53.000]  神的應許就告訴我們
[00:00:53.000 --> 00:00:58.000]  今天是沒有人可以僭越上帝他自己
[00:00:58.000 --> 00:01:03.000]  也沒有人可以改變神他自己的作為
[00:01:03.000 --> 00:01:06.000]  所以讓我們今天在他自己的面前
[00:01:06.000 --> 00:01:09.000]  都有這個敬畏上主的心
[00:01:09.000 --> 00:01:13.000]  神宣佈當時是對成年的一代人
[00:01:13.000 --> 00:01:15.000]  那個是清楚的審判
[00:01:15.000 --> 00:01:17.000]  他們沒有一個人可以入應他們
[00:01:17.000 --> 00:01:20.000]  為什麼?因為他們不信
[00:01:20.000 --> 00:01:23.000]  他們多處埋怨神
[00:01:23.000 --> 00:01:25.000]  他們是頂撞神
[00:01:25.000 --> 00:01:30.000]  但是只有迦勒和約書亞可以進入應許地
[00:01:30.000 --> 00:01:35.000]  而不信神的應許嚴重的後果就是死亡
[00:01:35.000 --> 00:01:39.000]  也是他們錯過了上帝這個恩典
[00:01:39.000 --> 00:01:42.000]  我盼望我們人生不要有遺憾
[00:01:42.000 --> 00:01:46.000]  如果你的遺憾是因為你不遵從上帝的心意
[00:01:46.000 --> 00:01:50.000]  你去抵擋上帝在你身上要成就的美意的時候
[00:01:50.000 --> 00:01:52.000]  這個是最大的一個遺憾
[00:01:52.000 --> 00:01:56.000]  而文訴記去到十五章的時候
[00:01:56.000 --> 00:01:58.000]  是再一次讓我們看見
[00:01:58.000 --> 00:02:01.000]  上帝在審判的背後是有恩典的
[00:02:01.000 --> 00:02:04.000]  是要給年輕的一代他們有盼望
