
[00:00:00.000 --> 00:00:03.580]  好,鄧姊妹,由我們在聆聽主的說話而先,
[00:00:03.580 --> 00:00:06.000]  我們一起再次以禱告,
[00:00:06.000 --> 00:00:09.760]  將我們心思意念交在主我們神的手上面。
[00:00:09.760 --> 00:00:15.220]  父神,多謝祢給我們能夠有生命,有氣息,
[00:00:15.220 --> 00:00:18.720]  能夠仍然是站立在地上,
[00:00:18.720 --> 00:00:21.180]  經歷上帝祢的創造,
[00:00:21.180 --> 00:00:23.140]  明白上主祢的說話,
[00:00:23.140 --> 00:00:26.420]  一同以敬拜仰望在祢當中為止,
[00:00:26.420 --> 00:00:29.800]  一連串的事情都在自然上感恩。
[00:00:29.800 --> 00:00:33.500]  求主祢給我們有一個感恩的心的同時,
[00:00:33.500 --> 00:00:39.400]  也都曉得怎樣以行動去將這份感恩活出來,
[00:00:39.400 --> 00:00:42.440]  向上主祢的心思意念去努力,
[00:00:42.440 --> 00:00:45.600]  一同的將這個拯救的福音,
[00:00:45.600 --> 00:00:48.220]  能夠藉著多方多法,
[00:00:48.220 --> 00:00:52.280]  來將它去展示,讓人明白。
[00:00:52.280 --> 00:00:53.840]  我們求祢的幫助,
[00:00:53.840 --> 00:00:57.760]  當我們在聆聽主祢啟示的過程當中,
[00:00:57.760 --> 00:01:00.660]  也都懇求祢的聖靈幫助我們,
[00:01:00.660 --> 00:01:04.220]  準確地去拿捏當中的意思,
[00:01:04.220 --> 00:01:06.540]  明白上主祢的心願,
[00:01:06.540 --> 00:01:10.300]  好想我們能夠人生所走的道路,
[00:01:10.300 --> 00:01:14.700]  是一份能夠得夢主祢所喜悅的人生道路。
[00:01:14.700 --> 00:01:17.760]  禱告奉靠主耶穌基督,得聖的名字以靠。
[00:01:17.760 --> 00:01:20.440]  阿們。
[00:01:20.440 --> 00:01:28.300]  不知道大家在心中,有什麼人,或者有什麼事,
[00:01:28.300 --> 00:01:35.560]  恆常地牽動著你的心思和意念呢?
[00:01:35.560 --> 00:01:40.140]  我曾經跟一個好朋友去傾談的時候,
[00:01:40.140 --> 00:01:44.160]  因為大家都一把年紀了,
[00:01:44.160 --> 00:01:47.580]  有很多的事情可以傾談的,
[00:01:47.580 --> 00:01:54.700]  不過傾談的題目不單單是說究竟現在做些什麼,
[00:01:54.700 --> 00:01:57.100]  我們在那時候還要問很多,
[00:01:57.100 --> 00:01:59.180]  究竟我們的靈性上面,
[00:01:59.180 --> 00:02:00.700]  因為大家都是基督徒,
[00:02:00.700 --> 00:02:03.660]  有什麼東西很影響著我們?
[00:02:03.660 --> 00:02:06.340]  我跟這位好朋友傾談的時候,
[00:02:06.340 --> 00:02:08.420]  他就跟我分享了一樣東西,
[00:02:08.420 --> 00:02:10.180]  我很多年都沒有想過,
[00:02:10.180 --> 00:02:13.100]  也都對於我來計,沒什麼需要去想的,
[00:02:13.100 --> 00:02:20.100]  就是他說,原來一直這麼多年來,幾十年來,
