
[00:00:00.000 --> 00:00:01.080]  親愛的姐妹早安
[00:00:01.080 --> 00:00:03.200]  我們一起做一個簡短的祈禱
[00:00:03.200 --> 00:00:06.600]  天父我們感謝你讓我們有一個猜拳的主日
[00:00:06.600 --> 00:00:10.160]  讓我們再去思想關於猜拳的題目
[00:00:10.160 --> 00:00:13.120]  這個題目在靈福堂也經常去思想
[00:00:13.120 --> 00:00:18.520]  但是很多時候我們都容易忽略
[00:00:18.520 --> 00:00:21.640]  或者覺得仍然不是那麼靠近身體
[00:00:21.640 --> 00:00:23.920]  或者猜拳變成猜錢
[00:00:23.920 --> 00:00:25.760]  我們求你幫助我們
[00:00:25.760 --> 00:00:29.560]  使我們在這次我們再思想你的話語的時候
[00:00:29.560 --> 00:00:35.560]  來一起在猜拳在各方面我們更加去努力
[00:00:35.560 --> 00:00:36.840]  我們今天的禱告
[00:00:36.840 --> 00:00:38.440]  奉耶穌基督的名字
[00:00:38.440 --> 00:00:43.640]  最近在幾個月前
[00:00:43.640 --> 00:00:47.040]  有一位世界有名的人類學家
[00:00:47.040 --> 00:00:52.320]  叫做戴維·帕格雷·格雷帕
[00:00:52.320 --> 00:00:55.280]  他就講了一個名言
[00:00:55.280 --> 00:00:57.760]  他說危機的出現
[00:00:57.760 --> 00:01:04.960]  很多時候會使很多未知的真相來揭示出來
[00:01:04.960 --> 00:01:07.080]  你聽清楚這句話
[00:01:07.080 --> 00:01:09.000]  危機的出現
[00:01:09.000 --> 00:01:14.280]  很多時候使很多未知的真相反而能夠揭示出來
[00:01:14.280 --> 00:01:19.000]  我想這個新常態這個詞語
[00:01:19.000 --> 00:01:21.480]  或者是講到教會
[00:01:21.480 --> 00:01:23.080]  全世界面對新常態
[00:01:23.080 --> 00:01:25.200]  我想我們這幾個月
[00:01:25.200 --> 00:01:28.160]  聽到新常態變成了舊常態
[00:01:28.160 --> 00:01:30.960]  整天都是新常態
[00:01:30.960 --> 00:01:32.880]  不過我想
[00:01:32.880 --> 00:01:36.240]  我仍然一直去思考這些問題的時候
[00:01:36.240 --> 00:01:39.360]  我仍然都用這些所謂這麼老套的
[00:01:39.360 --> 00:01:43.960]  還是一直在用新常態這個表達
[00:01:43.960 --> 00:01:46.680]  來去講關於宣教和見證
[00:01:46.680 --> 00:01:51.320]  因為的確這些新常態一直在影響我們
[00:01:51.320 --> 00:01:54.600]  其實在四月的時候
[00:01:54.600 --> 00:01:58.040]  香港或者在其他一些地方
[00:01:58.040 --> 00:01:59.960]  有一些宣教的機構
[00:01:59.960 --> 00:02:02.920]  好幾次都探討過關於
[00:02:02.920 --> 00:02:06.760]  其實疫情之後或者在疫情當中
