
[00:00:00.000 --> 00:00:02.700]  好像剛才主席所讀的聖經
[00:00:02.700 --> 00:00:06.080]  保羅很想念在羅馬那裏的基督徒
[00:00:06.080 --> 00:00:09.840]  但與我們不同 保羅的腳還沒有踏足過羅馬
[00:00:09.840 --> 00:00:11.980]  他知道那個地方叫羅馬
[00:00:11.980 --> 00:00:15.560]  就知道那裏有弟兄姊妹在那裏敬拜神
[00:00:15.560 --> 00:00:17.840]  他就寫了這封書信
[00:00:17.840 --> 00:00:20.040]  是保羅比較年長的時候
[00:00:20.040 --> 00:00:22.320]  他接近60歲的時候
[00:00:22.320 --> 00:00:25.280]  他當時大約是主後57年
[00:00:25.280 --> 00:00:30.500]  我馬上想起主耶穌大概在三十多年的時候
[00:00:30.500 --> 00:00:32.560]  祂釘身在十字架
[00:00:32.560 --> 00:00:35.840]  代替我的羞恥 代替我所犯的罪
[00:00:35.840 --> 00:00:38.400]  耶穌掛在十字架上
[00:00:38.400 --> 00:00:41.460]  保羅最初反對 逼迫
[00:00:41.460 --> 00:00:43.560]  但保羅聽到耶穌的聲音
[00:00:43.560 --> 00:00:46.760]  他就大聲呼叫 主啊 祢是誰
[00:00:46.760 --> 00:00:49.680]  主啊 祢要我做什麼
[00:00:49.680 --> 00:00:52.240]  我們的主就吩咐保羅起來
[00:00:52.240 --> 00:00:54.000]  他傳揚他的福音
[00:00:54.000 --> 00:00:55.840]  他現在已經年長了
[00:00:55.840 --> 00:00:59.260]  差不多人生去到最後一段階段了
[00:00:59.260 --> 00:01:02.360]  他就寫了剛才我所聽的羅馬書
[00:01:02.360 --> 00:01:06.480]  同時我很熟悉羅馬書第一章到第七 第八章
[00:01:06.480 --> 00:01:07.980]  可以用四個字來代表
[00:01:07.980 --> 00:01:09.860]  很多太古城裏的姊妹
[00:01:09.860 --> 00:01:12.620]  因為很愛慕神 很愛慕教會歷史
[00:01:12.620 --> 00:01:14.560]  差不多已經講了好幾個字了
[00:01:14.560 --> 00:01:16.420]  叫做「恩信」
[00:01:16.420 --> 00:01:17.940]  大家知道 稱義
[00:01:17.940 --> 00:01:20.160]  恩信講了這麼重要的信息
[00:01:20.160 --> 00:01:22.180]  第一章到第七章的時候
[00:01:22.180 --> 00:01:23.440]  去到第八章
[00:01:23.440 --> 00:01:27.420]  當然都是反映出他對恩信稱義的了解
[00:01:27.420 --> 00:01:29.780]  但他立刻上完道 有頂多是姊妹
[00:01:29.780 --> 00:01:31.760]  真的信靠了主了
[00:01:31.760 --> 00:01:33.480]  他在座的頂多是姊妹
[00:01:33.480 --> 00:01:36.420]  每逢水禮要講見證 要寫見證的時候
[00:01:36.420 --> 00:01:38.540]  這個就是蒙恩的經過
[00:01:38.540 --> 00:01:40.560]  但是水主之後
[00:01:40.560 --> 00:01:42.980]  遇到一些生活上的挑戰
[00:01:42.980 --> 00:01:44.460]  哎呀 我水主之後
[00:01:44.460 --> 00:01:47.440]  我健康好像不夠以前那麼好
[00:01:47.440 --> 00:01:49.920]  我的家人或者我親友當中
[00:01:49.920 --> 00:01:52.940]  有些人遇到一些困苦或者疾病
[00:01:52.940 --> 00:01:54.840]  我在香港這個時候
[00:01:54.840 --> 00:01:58.040]  在這十幾年裏面有經濟的起跌
[00:01:58.040 --> 00:01:59.100]  在這十幾年裏面
[00:01:59.100 --> 00:02:01.840]  我們有許多對香港的問題
[00:02:01.840 --> 00:02:04.300]  生產親戚心裏面的掛念
[00:02:04.300 --> 00:02:05.860]  甚至在今天這個日子
[00:02:05.860 --> 00:02:07.920]  有些香港的領袖們
[00:02:07.920 --> 00:02:10.060]  去到香港的鄰近地方
[00:02:10.060 --> 00:02:13.600]  去聽取一些官員他們對於自身的看法
[00:02:13.600 --> 00:02:15.820]  香港的前途是怎麼走的呢?
[00:02:15.820 --> 00:02:18.080]  我們向上還是向下呢?
[00:02:18.080 --> 00:02:20.280]  我的親友如果遇到有困難
[00:02:20.280 --> 00:02:24.760]  或者健康 或者經濟 或者親情有改變
[00:02:24.760 --> 00:02:26.280]  又怎麼算好呢?
[00:02:26.280 --> 00:02:28.280]  我們不得不能夠真的
[00:02:28.280 --> 00:02:30.800]  against the tide 迎向風浪
[00:02:30.800 --> 00:02:32.960]  甚至乎勝過風浪
[00:02:32.960 --> 00:02:36.560]  我們希望我們是得勝而且有餘
[00:02:36.560 --> 00:02:38.800]  可能還有些人好像小弟
[00:02:38.800 --> 00:02:42.480]  年輕的時候很喜歡打足球
[00:02:42.480 --> 00:02:45.680]  哎呀 我就很喜歡聽那些足球的結果
[00:02:45.680 --> 00:02:47.600]  有的時候是打和
[00:02:47.600 --> 00:02:49.320]  有的時候是僅勝
[00:02:49.320 --> 00:02:52.000]  有的時候是大勝的
[00:02:52.000 --> 00:02:56.800]  大勝在羅馬書剛才主席打到最後的聖經
