
[00:00:00.000 --> 00:00:02.080]  港府堂的弟兄姊妹 逐日早安
[00:00:02.080 --> 00:00:05.980]  非常的抱歉 我不會講廣東話
[00:00:05.980 --> 00:00:08.420]  所以麻煩各位了
[00:00:08.420 --> 00:00:12.320]  那今天呢 先代表世界華服中心
[00:00:12.320 --> 00:00:15.720]  謝謝港府堂一起來對華服運動的支持
[00:00:15.720 --> 00:00:17.920]  那今天要講的這個題目叫做
[00:00:17.920 --> 00:00:20.080]  走一條新路
[00:00:20.080 --> 00:00:22.820]  我想問大家一下 有多少人你是
[00:00:22.820 --> 00:00:25.300]  如果可以選你喜歡走新路的
[00:00:25.300 --> 00:00:26.660]  可以舉一下你的手嗎
[00:00:26.660 --> 00:00:27.820]  有嗎
[00:00:27.820 --> 00:00:31.780]  好 我是超愛的 但結婚之後
[00:00:31.780 --> 00:00:34.760]  當太太在旁邊的時候
[00:00:34.760 --> 00:00:37.180]  我就比較不敢走新路
[00:00:37.180 --> 00:00:42.920]  今天 昨天收到林承鑫牧師的信息
[00:00:42.920 --> 00:00:45.160]  他很貼心 就問我說 董牧師
[00:00:45.160 --> 00:00:47.460]  今天來港府堂 講到
[00:00:47.460 --> 00:00:49.160]  你知不知道怎麼走
[00:00:49.160 --> 00:00:52.160]  需不需要我派弟兄去接你
[00:00:52.160 --> 00:00:55.360]  其實呢 我每一次來都是有人帶我來的
[00:00:55.500 --> 00:00:58.940]  但這一次我就想 我的題目叫做走一條新路
[00:00:58.940 --> 00:01:00.860]  那
[00:01:00.860 --> 00:01:03.480]  我就憑著信心跟林牧師說
[00:01:03.480 --> 00:01:05.720]  林牧師沒事的 我來過幾次
[00:01:05.720 --> 00:01:07.720]  應該可以 我自己來
[00:01:07.720 --> 00:01:10.720]  所以今天早上 我就拎著我的行李箱
[00:01:10.720 --> 00:01:13.860]  從油麻地 就是走一條新路
[00:01:13.860 --> 00:01:15.240]  來到這裡
[00:01:15.240 --> 00:01:18.500]  很多人喜歡走舊路
[00:01:18.500 --> 00:01:20.380]  因為舊路有安全感
[00:01:20.380 --> 00:01:22.760]  我們熟悉 我們知道
[00:01:22.760 --> 00:01:24.760]  有些人喜歡走新路
[00:01:24.760 --> 00:01:27.760]  因為在新路當中 似乎是
[00:01:27.760 --> 00:01:29.760]  有新鮮的事情發生
[00:01:29.760 --> 00:01:32.260]  但其實 本質上
[00:01:32.260 --> 00:01:36.860]  我們都喜歡走比較安全的路
[00:01:36.860 --> 00:01:39.260]  如果我們覺得這條新路不安全
[00:01:39.260 --> 00:01:40.760]  我們大概不會走
[00:01:40.760 --> 00:01:44.260]  如果我們覺得這條舊路已經也不安全了
[00:01:44.260 --> 00:01:46.260]  我們可能也想找新路
[00:01:46.260 --> 00:01:48.760]  所以在新路跟舊路的背後
[00:01:48.760 --> 00:01:50.260]  根本的問題是
[00:01:50.260 --> 00:01:53.260]  我們的安全感 到底建立在什麼之上
[00:01:54.260 --> 00:01:56.760]  在我們今天讀的經文 明書記第九章
[00:01:56.760 --> 00:01:58.760]  講到的是以色列人
[00:01:58.760 --> 00:02:01.260]  他們在上帝的拯救下
[00:02:01.260 --> 00:02:02.760]  離開了埃及
[00:02:02.760 --> 00:02:06.760]  他們要去到上帝應許他們的迦南美地
[00:02:06.760 --> 00:02:09.760]  他們要走一條他們沒有走過的路
[00:02:09.760 --> 00:02:11.760]  如果你打開地圖
[00:02:11.760 --> 00:02:14.760]  你會看到 其實從埃及到迦南地
[00:02:14.760 --> 00:02:16.760]  就是今天的以色列
[00:02:16.760 --> 00:02:19.760]  距離其實不太遠 還蠻近的
[00:02:19.760 --> 00:02:22.760]  我估計 如果我來走
[00:02:22.760 --> 00:02:25.760]  一個月一定走得到
[00:02:25.760 --> 00:02:28.760]  就好像今天早上從尤瑪第走來這裡
[00:02:28.760 --> 00:02:31.760]  我估計如果有人可以走的通道的話
[00:02:31.760 --> 00:02:34.260]  應該一天一定走得到
[00:02:34.260 --> 00:02:37.760]  再怎麼慢 一天大概也走
[00:02:37.760 --> 00:02:41.260]  划船可能都可以 是來得到的
[00:02:41.260 --> 00:02:46.260]  可是上帝卻帶以色列百姓走了四十年
[00:02:46.260 --> 00:02:49.260]  上帝為什麼帶上帝的百姓
[00:02:49.260 --> 00:02:53.260]  繞道在曠野走了四十年呢
[00:02:53.260 --> 00:02:56.260]  在一個生活在講求效率的香港
[00:02:56.260 --> 00:02:58.260]  我想我們都很困惑對不對
[00:02:58.260 --> 00:03:00.260]  如果老闆交辦的事情
[00:03:00.260 --> 00:03:03.260]  一個月可以做完 你做了四十年
[00:03:03.260 --> 00:03:07.260]  我想你大概等不到走完的那一天了
[00:03:07.260 --> 00:03:10.260]  你就已經被let go
[00:03:10.260 --> 00:03:14.260]  我們從小也被教導說要贏在起跑線
[00:03:14.260 --> 00:03:16.260]  我們的社會 我們的文化
[00:03:16.260 --> 00:03:19.260]  整個世界全球資本主義的大環境
[00:03:19.260 --> 00:03:25.260]  都不斷的在告訴我們 效率 效率 效率
[00:03:25.260 --> 00:03:29.260]  我有一個朋友在美國的科技業矽谷工作
[00:03:29.260 --> 00:03:33.260]  他跟我說他們的公司這幾年叫做效率之年
[00:03:33.260 --> 00:03:34.260]  意思是什麼呢
[00:03:34.260 --> 00:03:38.260]  意思就是沒有效率的就準備裁員
[00:03:38.260 --> 00:03:42.260]  效率似乎把我們推著走
[00:03:42.260 --> 00:03:46.260]  但是面對以色列的百姓要進到上帝
[00:03:46.260 --> 00:03:48.260]  應許他們的迦南帝
[00:03:48.260 --> 00:03:51.260]  上帝更看重的不是效率
[00:03:51.260 --> 00:03:53.260]  上帝更看重什麼呢
[00:03:53.260 --> 00:03:59.260]  上帝更看重他的百姓是成為怎麼樣的一群人
[00:03:59.260 --> 00:04:02.260]  以色列人在埃及其實要進到迦南帝之前
[00:04:02.260 --> 00:04:04.260]  已經住了幾百年的時間
[00:04:04.260 --> 00:04:07.260]  坦白講在埃及的當中
[00:04:07.260 --> 00:04:10.260]  他們已經很習慣埃及的偶像崇拜的生活了
[00:04:10.260 --> 00:04:12.260]  那是他們的日常
[00:04:12.260 --> 00:04:17.260]  事實上就在今天讀的經文不久之前
[00:04:17.260 --> 00:04:20.260]  以色列人才因為找不到摩西
[00:04:20.260 --> 00:04:24.260]  就為自己雕刻了一個金牛圖
[00:04:24.260 --> 00:04:25.260]  然後跟人說
[00:04:25.260 --> 00:04:30.260]  看啊 這就是帶我們出埃及的耶和華上帝
[00:04:30.260 --> 00:04:33.260]  今天的我們何嘗不是如此
[00:04:33.260 --> 00:04:35.260]  很多時候我們以為我們信主之後
[00:04:35.260 --> 00:04:37.260]  我們就在敬拜上帝
[00:04:37.260 --> 00:04:41.260]  但是會不會很多時候我們跟當年的以色列百姓一樣
[00:04:41.260 --> 00:04:46.260]  我們只不過是把過去敬拜的東西換了一個名字而已
[00:04:46.260 --> 00:04:51.260]  我有一個好朋友在台灣的偏鄉牧羊教會
[00:04:51.260 --> 00:04:55.260]  那裡是偶像崇拜非常盛行的
[00:04:55.260 --> 00:05:01.260]  而且在台灣的偏鄉其實信主的比例可能不到0.1%
[00:05:01.260 --> 00:05:04.260]  傳福音是非常困難的
[00:05:04.260 --> 00:05:07.260]  當我有一次跟這位牧者在聊天的時候
[00:05:07.260 --> 00:05:12.260]  我問他說在偏鄉傳福音最關鍵的是什麼的時候
[00:05:12.260 --> 00:05:15.260]  他跟我說是要認識上帝的話
[00:05:15.260 --> 00:05:17.260]  我很驚訝
[00:05:17.260 --> 00:05:20.260]  但是這位牧者他跟我說
