
[00:00:00.000 --> 00:00:01.260]  丢姐妹平安
[00:00:01.260 --> 00:00:03.060]  平安吗
[00:00:03.060 --> 00:00:06.100]  ok 很开心看见大家
[00:00:06.100 --> 00:00:07.940]  结果刚才呢就是一起来崇拜
[00:00:07.940 --> 00:00:09.500]  我坐在前面的时候哇
[00:00:09.500 --> 00:00:11.540]  听见你们的唱歌的时候哇
[00:00:11.540 --> 00:00:13.740]  我就是非常非常感动
[00:00:13.740 --> 00:00:17.240]  因为我平常是很需要面对面坚韧的
[00:00:17.240 --> 00:00:18.640]  的力量的人
[00:00:18.640 --> 00:00:20.100]  但知道我的都知道啊
[00:00:20.100 --> 00:00:23.960]  其实我原来一起能够碰面是非常的感恩
[00:00:23.960 --> 00:00:27.560]  在疫情的当中呢不知道大家呢啊
[00:00:28.140 --> 00:00:31.040]  啊这段日子里面最想做什么
[00:00:31.040 --> 00:00:34.340]  最想做什么
[00:00:34.340 --> 00:00:36.100]  旅行啊
[00:00:36.100 --> 00:00:38.040]  所以要去旅行啊shopping啊
[00:00:38.040 --> 00:00:40.940]  次代餐啊是不是哇觉得啊
[00:00:40.940 --> 00:00:43.700]  你会最花心思时间
[00:00:43.700 --> 00:00:46.400]  觉得最值得的是什么呢
[00:00:46.400 --> 00:00:50.600]  啊 ok 在疫情当中你会啊有人啊不是我们了
[00:00:50.600 --> 00:00:51.740]  有人会愿意花
[00:00:51.740 --> 00:00:55.840]  十万块去参加邮轮的啊旅行吧
[00:00:56.040 --> 00:00:59.400]  我们就是啊普通吃一餐饭已经非常满足了
[00:00:59.400 --> 00:01:00.440]  是不是可以
[00:01:00.440 --> 00:01:03.640]  啊或者有人的话会花钱呢哇
[00:01:03.640 --> 00:01:07.400]  全市的最贵的一个晚餐呢是两万
[00:01:07.400 --> 00:01:11.300]  两千美元的一顿晚餐
[00:01:11.300 --> 00:01:14.240]  有人会觉得很急的去花这个钱
[00:01:14.240 --> 00:01:17.100]  这个啊可能距离我们太远了吧
[00:01:17.100 --> 00:01:19.800]  哎有人收集东西不是大家没有
[00:01:19.800 --> 00:01:22.680]  有人喜欢收集不同的东西啊
[00:01:22.680 --> 00:01:25.300]  有人原来喜欢收lego
[00:01:25.900 --> 00:01:29.800]  啊有人喜欢收邮票钱币都有啊是不是
[00:01:29.800 --> 00:01:31.600]  原来要最贵这个lego
[00:01:31.600 --> 00:01:33.540]  我也不知道我是问我们同工
[00:01:33.540 --> 00:01:36.940]  他们说原来这个看起来没有很特别的啊
[00:01:36.940 --> 00:01:39.500]  我觉得原来这个这个hotel
[00:01:39.500 --> 00:01:41.380]  是那个lego里面最贵的
[00:01:41.380 --> 00:01:43.040]  两万多两万多
[00:01:43.040 --> 00:01:46.200]  那个那个lego这个模型
[00:01:46.200 --> 00:01:47.200]  还有呢
[00:01:47.200 --> 00:01:51.740]  有人会愿意花不同的钱去买这个香水
[00:01:51.740 --> 00:01:54.440]  啊原来最贵的香水呢
