
[00:00:00.000 --> 00:00:02.200]  今天講到的題目就是
[00:00:02.200 --> 00:00:05.560]  凡事長進廉於基督
[00:00:05.560 --> 00:00:10.040]  經文是二弗所書四章十五至三十二節
[00:00:10.040 --> 00:00:12.080]  如果大家很記性的
[00:00:12.080 --> 00:00:15.500]  就會記得上一次我講到是用什麼經文
[00:00:15.500 --> 00:00:22.600]  差得這麼遠
[00:00:22.600 --> 00:00:25.120]  上一次不就是經文上面那一節了
[00:00:25.120 --> 00:00:28.680]  上一次是二弗所書四章十四節
[00:00:28.680 --> 00:00:30.920]  上一次是十二月初的時候講
[00:00:30.920 --> 00:00:35.920]  承接著我們退修會的思路一直講下去
[00:00:35.920 --> 00:00:41.000]  我們提到關乎一本書籍
[00:00:41.000 --> 00:00:44.920]  在信仰上面有很多不是那麼正確
[00:00:44.920 --> 00:00:46.920]  不是那麼適合聖經的方向
[00:00:46.920 --> 00:00:50.800]  我們提出來去看
[00:00:50.800 --> 00:00:54.320]  讓大家知道原來那個信仰
[00:00:54.320 --> 00:00:57.160]  你不掌握得夠清晰準確的時候
[00:00:57.160 --> 00:00:59.160]  就可以這樣偏差
[00:00:59.160 --> 00:01:02.600]  我們上一次用的經文二弗所書四章十四節
[00:01:02.600 --> 00:01:05.760]  就是說我們這樣認識了之後
[00:01:05.760 --> 00:01:09.280]  不要被異教之風搖動飄來飄去
[00:01:09.280 --> 00:01:11.280]  隨從各樣的異端
[00:01:11.280 --> 00:01:14.840]  這個就是保羅在二弗所書裡面
[00:01:14.840 --> 00:01:16.440]  講到第四章的時候
[00:01:16.440 --> 00:01:19.520]  說我們大家都是在基督裡面合一的
[00:01:19.520 --> 00:01:20.720]  都是同有一個神
[00:01:20.720 --> 00:01:21.720]  同有一個主
[00:01:21.720 --> 00:01:23.720]  一主一信一使一神
[00:01:23.720 --> 00:01:26.320]  是一齊的
[00:01:26.320 --> 00:01:27.840]  無論古舍的教會
[00:01:27.840 --> 00:01:28.680]  現今的教會
[00:01:28.680 --> 00:01:30.680]  中外各地的教會
[00:01:30.680 --> 00:01:33.440]  都是同一個主同一個神
[00:01:33.440 --> 00:01:36.120]  來讓我們有一個大的概念
[00:01:36.120 --> 00:01:39.840]  知道我們這個信仰是這樣合而為一的
[00:01:39.840 --> 00:01:45.120]  接著提到有很多異教之風
[00:01:45.120 --> 00:01:49.520]  對信仰的認識不同
[00:01:49.520 --> 00:01:53.080]  有些是私人的改革
[00:01:53.080 --> 00:01:54.360]  自己的意思等等
[00:01:54.360 --> 00:01:58.280]  保羅提醒我們不要被異教之風
[00:01:58.280 --> 00:02:00.920]  來搖動我們飄來飄去
[00:02:00.920 --> 00:02:01.800]  這個很重要
[00:02:01.800 --> 00:02:05.440]  我們上一次講了好幾個重點
[00:02:05.440 --> 00:02:07.600]  如果有些沒有回來
[00:02:07.600 --> 00:02:09.520]  或者忘記了
[00:02:09.520 --> 00:02:10.560]  不知道的話
[00:02:10.560 --> 00:02:13.040]  可以回到網上聽
[00:02:13.040 --> 00:02:15.400]  因為今天講的都是這樣連續下去
[00:02:15.400 --> 00:02:17.760]  今天講的就是二弗所書
[00:02:17.760 --> 00:02:18.640]  下一節開始
[00:02:18.640 --> 00:02:21.000]  十五節到三十二節
[00:02:21.000 --> 00:02:22.640]  保羅講完了
[00:02:22.640 --> 00:02:24.240]  說在基督裡面我們要合一
[00:02:24.240 --> 00:02:26.000]  一主一信一神
[00:02:26.000 --> 00:02:28.960]  不要被異教之風來搖動我們
[00:02:28.960 --> 00:02:30.600]  之後他講什麼呢?
[00:02:30.600 --> 00:02:32.280]  就是從第十五節開始講
[00:02:32.280 --> 00:02:36.120]  我們讀一次十五至三十頁
[00:02:36.120 --> 00:02:37.800]  我們一起讀
[00:02:37.800 --> 00:02:40.440]  唯用愛心說誠實話
[00:02:40.440 --> 00:02:41.920]  凡事長進
[00:02:41.920 --> 00:02:43.960]  憐於元首基督
