
[00:00:00.000 --> 00:00:10.680]  今天是父親節,容許我在此恭祝各位父親,父親節快樂
[00:00:10.680 --> 00:00:13.060]  父親節和母親節是很不同的
[00:00:13.060 --> 00:00:16.180]  母親節是一個月前打電話去訂餐廳的時候
[00:00:16.180 --> 00:00:18.820]  「不好意思,訂滿了」
[00:00:18.820 --> 00:00:21.940]  兩個星期前打電話去訂父親節的餐廳的時候
[00:00:21.940 --> 00:00:24.800]  「很多位置,你想多少位呢?」
[00:00:24.800 --> 00:00:26.880]  真的有點不同
[00:00:26.880 --> 00:00:29.720]  這是一個殘酷的現實
[00:00:29.720 --> 00:00:33.640]  但其實很多人都不記得,父親是很忙的
[00:00:33.640 --> 00:00:35.980]  很辛苦的
[00:00:35.980 --> 00:00:39.040]  在講到之前,希望強調這一點
[00:00:39.040 --> 00:00:43.780]  在我認識的內容中,基本上父親可以分開兩大類
[00:00:43.780 --> 00:00:46.320]  第一類是要努力養家
[00:00:46.320 --> 00:00:49.000]  因為其實他的擔子很重
[00:00:49.000 --> 00:00:54.200]  整個家庭的重擔,其實是擔當在他的肩頭上
[00:00:54.200 --> 00:00:58.320]  所以他要不停的努力工作,去維持家庭
[00:00:58.320 --> 00:01:01.340]  第二種父親我認識的
[00:01:01.340 --> 00:01:03.860]  是較為有能力的一群
[00:01:03.860 --> 00:01:06.520]  正正因為他們有能力
[00:01:06.520 --> 00:01:09.280]  所以除了養妻活兒之外
[00:01:09.280 --> 00:01:13.080]  他們都想試一試,究竟可以走到多遠
[00:01:13.080 --> 00:01:14.780]  究竟可以多成功
[00:01:14.780 --> 00:01:17.460]  於是他們就嘗試去拓展
[00:01:17.460 --> 00:01:21.380]  拓展事業,希望做出一些成績
[00:01:21.380 --> 00:01:23.520]  這兩種父親好像很不同
[00:01:23.520 --> 00:01:25.420]  但他們有一個共通點
[00:01:25.420 --> 00:01:27.260]  就是他們都很忙
[00:01:27.260 --> 00:01:29.400]  但在現在的世代
[00:01:29.400 --> 00:01:33.260]  如果小朋友一歲就去嬰兒班
[00:01:33.260 --> 00:01:34.760]  三歲就去PN
[00:01:34.760 --> 00:01:37.200]  然後K1,K2,K3,一路下去
[00:01:37.200 --> 00:01:38.860]  七十歲就退休
[00:01:38.860 --> 00:01:41.520]  一歲就忙到七十歲
[00:01:41.520 --> 00:01:43.200]  父親就是這樣
[00:01:43.200 --> 00:01:49.200]  所以其實應該請他吃飯
[00:01:49.200 --> 00:01:53.480]  其實這種生活
[00:01:53.480 --> 00:01:57.080]  我們可以相信是一個正常的香港人生活
[00:01:57.080 --> 00:01:59.220]  但問題是,這樣的人生
[00:01:59.220 --> 00:02:01.360]  是否一個有意義的人生呢?
[00:02:01.360 --> 00:02:05.000]  是否聖經中所說的一個豐盛的人生呢?
[00:02:05.000 --> 00:02:08.080]  所以今天想和大家探討這個問題
[00:02:08.080 --> 00:02:10.080]  看看一個智者
[00:02:10.080 --> 00:02:12.080]  就是所羅門王
[00:02:12.080 --> 00:02:15.880]  所羅門王其實是一個有錢有權勢的人
[00:02:15.880 --> 00:02:17.620]  又做得很成功
[00:02:17.620 --> 00:02:19.000]  其實我心裡面想
[00:02:19.000 --> 00:02:21.260]  基本上是大衛和他打了江山
[00:02:21.260 --> 00:02:22.840]  他只是坐在那裡享受
[00:02:22.840 --> 00:02:25.960]  最特別的地方就是有智慧
[00:02:25.960 --> 00:02:27.700]  所以他是很有權勢
[00:02:27.700 --> 00:02:29.040]  很出名
[00:02:29.040 --> 00:02:31.360]  也有無盡的金錢
[00:02:31.360 --> 00:02:34.040]  應該是一個贏在起跑線
[00:02:34.040 --> 00:02:36.720]  含著金鎖匙出生的人
[00:02:36.720 --> 00:02:41.200]  他擁有人夢寐以求的權力和財富
[00:02:41.200 --> 00:02:43.720]  但他經歷了人生不同的階段
[00:02:43.720 --> 00:02:46.800]  經歷了很多的高低低之後
[00:02:46.800 --> 00:02:48.600]  他用過來人的身份
[00:02:48.600 --> 00:02:50.500]  一個傳道者的身份
[00:02:50.500 --> 00:02:53.960]  寫下了傳道書最後的一個章節
[00:02:53.960 --> 00:02:56.860]  就是十七章第七節
[00:02:56.860 --> 00:02:59.960]  再到十二章第七節
[00:02:59.960 --> 00:03:02.520]  是一段勸世斟言
[00:03:02.520 --> 00:03:06.240]  其實就是對這個問題的一個回應
