
[00:00:00.000 --> 00:00:02.000]  各位頂子妹,願你們平安
[00:00:02.000 --> 00:00:06.000]  感謝施斑用美妙的詩歌帶領我們禱告
[00:00:06.000 --> 00:00:09.000]  帶領我們到主人面前去尋求
[00:00:09.000 --> 00:00:13.000]  也讓我們在領受上主的話語的時候
[00:00:13.000 --> 00:00:15.000]  去低頭禱告
[00:00:15.000 --> 00:00:18.000]  天父上帝,我們多謝你
[00:00:18.000 --> 00:00:21.000]  你是我們有尋求你的機會
[00:00:21.000 --> 00:00:23.000]  有禱告的權柄
[00:00:23.000 --> 00:00:25.000]  求你臨在我們當中
[00:00:25.000 --> 00:00:28.000]  開我們的耳朵,讓我們細心的聆聽
[00:00:28.000 --> 00:00:31.000]  開我們的眼睛,讓我們能夠看到你的榮光
[00:00:31.000 --> 00:00:34.000]  更讓我們的手腳成為回應你的動力
[00:00:34.000 --> 00:00:35.000]  有任何人口中的言語
[00:00:35.000 --> 00:00:37.000]  頂子妹之間是心思意念
[00:00:37.000 --> 00:00:39.000]  夢聖靈一啟,敵夢主的月立
[00:00:39.000 --> 00:00:42.000]  禱告奉耶穌基督的名求
[00:00:42.000 --> 00:00:48.000]  各位頂子妹,剛剛過了復活節
[00:00:48.000 --> 00:00:51.000]  不知道你們在復活節裡面有多少不同的活動或者忙碌
[00:00:51.000 --> 00:00:55.000]  我們知道有頂子妹在海外有休息的時間
[00:00:55.000 --> 00:00:59.000]  又或者復活節裡面有很多機會跟家人相聚
[00:00:59.000 --> 00:01:02.000]  每年復活節教會都是相對比較忙的
[00:01:02.000 --> 00:01:05.000]  很多頂子妹問我,牧師復活節你會不會外遊
[00:01:05.000 --> 00:01:08.000]  我說,基本上從來復活節我都沒有機會外遊的
[00:01:08.000 --> 00:01:10.000]  因為是比較忙碌的日子
[00:01:10.000 --> 00:01:13.000]  但是復活節同時都是我去很多時候思考
[00:01:13.000 --> 00:01:18.000]  和在想究竟信仰裡面一些很核心很深的問題
[00:01:18.000 --> 00:01:21.000]  包括上帝的拯救,包括上帝的恩典
[00:01:21.000 --> 00:01:25.000]  包括我們作為基督徒怎樣可以得到復活的力量
[00:01:25.000 --> 00:01:28.000]  今天很想和大家思考一個很重要的題目
[00:01:28.000 --> 00:01:31.000]  是一個信心的問題,是一個依靠的問題
[00:01:31.000 --> 00:01:34.000]  是一個理解上帝的問題
[00:01:34.000 --> 00:01:36.000]  每一年到了復活節之後這個禮拜
[00:01:36.000 --> 00:01:38.000]  差不多我們都會看這段聖經
[00:01:38.000 --> 00:01:41.000]  就是今天福音書的經課,讓福音第二十章
[00:01:41.000 --> 00:01:45.000]  裡面提到有個人物就是我們熟悉的多瑪
[00:01:45.000 --> 00:01:47.000]  這段經課裡面就是我們很熟悉的
[00:01:47.000 --> 00:01:51.000]  多瑪怎樣去見到耶穌的顯現
[00:01:51.000 --> 00:01:53.000]  每一次我看的時候我就會問
[00:01:53.000 --> 00:01:57.000]  特別這段日子我們都會看很多顯現的經文
[00:01:57.000 --> 00:01:59.000]  我經常都問一個問題,不知道有沒有問
[00:01:59.000 --> 00:02:01.000]  為什麼耶穌要顯現呢?
[00:02:01.000 --> 00:02:07.000]  耶穌受死埋葬,第三天從死行中復活
[00:02:07.000 --> 00:02:09.000]  按照我們背的四道信經,接著下一個動作是什麼?
[00:02:09.000 --> 00:02:11.000]  就是升天,是不是?
[00:02:11.000 --> 00:02:13.000]  復活就是升天
[00:02:13.000 --> 00:02:16.000]  但是聖經記載就有趣地在復活和升天中間
[00:02:16.000 --> 00:02:18.000]  有段日子耶穌就顯現的
[00:02:18.000 --> 00:02:20.000]  顯現是很獨特的
[00:02:20.000 --> 00:02:22.000]  顯現是一個很獨特的狀態
[00:02:22.000 --> 00:02:25.000]  包括耶穌的出現
[00:02:25.000 --> 00:02:28.000]  無論祂是怎樣出現,一會兒我會說多一些
[00:02:28.000 --> 00:02:32.000]  另外就是原來聖經裡面刻意描述某些顯現的內容
[00:02:32.000 --> 00:02:36.000]  以致讓我們去理解認識信仰更加多
[00:02:36.000 --> 00:02:39.000]  特別今天經課其實常常提醒
[00:02:39.000 --> 00:02:41.000]  約翰去到最後就會提醒一件事就是
[00:02:41.000 --> 00:02:44.000]  約翰去記載,當他在福音書裡面記述
[00:02:44.000 --> 00:02:46.000]  有一個目標的,有一個目的的
[00:02:46.000 --> 00:02:48.000]  當然這個是約翰福音的特色
[00:02:48.000 --> 00:02:50.000]  如果大家有興趣去研讀
[00:02:50.000 --> 00:02:52.000]  希望花多一些時間去研讀約翰福音
[00:02:52.000 --> 00:02:54.000]  因為約翰福音裡面所選擇的內容
[00:02:54.000 --> 00:02:56.000]  無論是耶穌的神蹟,或者是教訓
[00:02:56.000 --> 00:02:59.000]  跟其他的我們熟悉的三段福音書都有點不同的
[00:02:59.000 --> 00:03:01.000]  所以一般教會的傳統,馬太,馬可,路加
[00:03:01.000 --> 00:03:03.000]  就會用父類,或者是共官福音去理解
[00:03:03.000 --> 00:03:05.000]  約翰就會獨立地去理解
[00:03:05.000 --> 00:03:08.000]  但是這段經文的最後描述都是重要的
[00:03:08.000 --> 00:03:12.000]  他說原來記載這些事是要我們認識耶穌是基督
[00:03:12.000 --> 00:03:14.000]  認識祂是上帝的兒子
[00:03:14.000 --> 00:03:16.000]  並且因為這樣得到生命
[00:03:16.000 --> 00:03:18.000]  記住這個起頭的點
[00:03:18.000 --> 00:03:20.000]  這個很重要的描述的點
[00:03:20.000 --> 00:03:22.000]  就是我們今天進入這段經文去理解
[00:03:22.000 --> 00:03:26.000]  這段經文為什麼會這樣記述的重點
[00:03:26.000 --> 00:03:28.000]  不過在我們講這段經文之前
[00:03:28.000 --> 00:03:30.000]  跟大家去重溫一下
[00:03:30.000 --> 00:03:32.000]  不知道大家有沒有記憶,或者是熟不熟悉
[00:03:32.000 --> 00:03:34.000]  耶穌復活之後的顯現
[00:03:34.000 --> 00:03:37.000]  有什麼顯現過的事跡,大家記得嗎?
[00:03:37.000 --> 00:03:39.000]  可能很快就想起
[00:03:39.000 --> 00:03:42.000]  路加福音有一個記載,二十四章十三到四十九節這樣講
[00:03:42.000 --> 00:03:45.000]  有兩個門徒去二萬五師,記不記得?
[00:03:45.000 --> 00:03:47.000]  二萬五師的路頂就入頭了
[00:03:47.000 --> 00:03:49.000]  就是有兩個門徒憂愁去離開
[00:03:49.000 --> 00:03:52.000]  就去到二萬五師,耶穌跟他同行
[00:03:52.000 --> 00:03:54.000]  接著我們更加熟悉的可能就是
[00:03:54.000 --> 00:03:56.000]  馬利福音二十八章
[00:03:56.000 --> 00:03:57.000]  馬可福音十六章
[00:03:57.000 --> 00:03:58.000]  約翰福音二十章
[00:03:58.000 --> 00:04:01.000]  上個禮拜如果大家有留心聽崇拜
[00:04:01.000 --> 00:04:04.000]  是講到,鄧牧士跟我們講到的就是
[00:04:04.000 --> 00:04:07.000]  婦女因為愛耶穌去找祂的屍體
