
[00:00:00.000 --> 00:00:04.480]  今日我要跟大家講一個鬼故
[00:00:04.480 --> 00:00:07.680]  我這個鬼故跟你們所聽的不同
[00:00:07.680 --> 00:00:10.560]  你們所聽的是假的,我這個是真的
[00:00:10.560 --> 00:00:15.920]  其實在神學院裏面有一科叫做系統神學
[00:00:15.920 --> 00:00:18.560]  即是有系統的來研究聖經
[00:00:18.560 --> 00:00:21.280]  其中一個範疇就講到鬼
[00:00:21.280 --> 00:00:24.280]  鬼在哪裏來,魔鬼怎樣來
[00:00:24.280 --> 00:00:26.680]  將來鬼的結局是怎樣
[00:00:26.680 --> 00:00:30.600]  他跟我們會有甚麼關係,有甚麼關連
[00:00:30.600 --> 00:00:32.920]  所以今日你不需要去神學院
[00:00:32.920 --> 00:00:36.280]  都可以聽到一些很重要的聖經真理
[00:00:36.280 --> 00:00:38.280]  全部都是真的
[00:00:38.280 --> 00:00:42.000]  剛才大家看這個話劇
[00:00:42.000 --> 00:00:46.600]  其實是一段聖經記載在《馬可福音》第五章
[00:00:46.600 --> 00:00:51.480]  而《馬太福音》亦有記載這個真實的故事
[00:00:51.480 --> 00:01:03.280]  這個故事就記載到耶穌去到一個地方叫做格拉森的地方
[00:01:03.280 --> 00:01:14.720]  這個格拉森就在加利利海的東邊
[00:01:14.720 --> 00:01:23.200]  那些住在那裏的人就不是猶太人
[00:01:23.200 --> 00:01:25.480]  因為猶太人是不吃豬的
[00:01:25.480 --> 00:01:27.760]  不吃豬即是沒有人養豬
[00:01:27.760 --> 00:01:29.480]  因為養了也沒有得賣
[00:01:29.480 --> 00:01:33.040]  這裏住的地方是外邦人,即是外地的人
[00:01:33.040 --> 00:01:36.440]  他們是吃豬的,在那裏養豬
[00:01:36.440 --> 00:01:40.960]  你留意到其實耶穌基督那幾十年的生活
[00:01:40.960 --> 00:01:45.720]  和祂最後的三年半出來侍奉的日子
[00:01:45.720 --> 00:01:48.440]  都是在約旦河的西邊
[00:01:48.440 --> 00:01:50.440]  祂很少去東邊
[00:01:50.440 --> 00:01:53.640]  這次祂去是特別的去
[00:01:53.640 --> 00:01:55.040]  有什麼原因呢?
[00:01:55.040 --> 00:01:56.240]  祂要找一個人
[00:01:56.240 --> 00:01:59.120]  就是要找那個被鬼附的那個人
[00:01:59.120 --> 00:02:07.080]  耶穌就特意坐船渡過加利利海去到那裏
[00:02:07.080 --> 00:02:11.720]  為了去找這個人,為了去幫助這個人
[00:02:11.720 --> 00:02:14.840]  我們首先看看這個人是怎樣的人
[00:02:14.840 --> 00:02:20.000]  剛才聖經馬可福音第五章一到二十節
[00:02:20.000 --> 00:02:23.120]  就是我們剛才看過的
[00:02:23.120 --> 00:02:27.120]  這個人被鬼附在身上
[00:02:27.120 --> 00:02:32.640]  這個鬼的數目有多少呢?
[00:02:32.640 --> 00:02:34.280]  聖經沒有說很清楚
[00:02:34.280 --> 00:02:37.680]  不過耶穌問這些鬼,你叫什麼名字?
[00:02:37.680 --> 00:02:40.040]  那些鬼就說我們叫做群
[00:02:40.040 --> 00:02:42.560]  群,英文就是Legion
[00:02:42.560 --> 00:02:47.560]  Legion是羅馬的軍團的體制的一個名稱
[00:02:47.560 --> 00:02:51.160]  就是一團的羅馬兵
[00:02:51.160 --> 00:02:54.240]  大約是五千到六千左右
[00:02:54.240 --> 00:02:58.280]  換句話說,這些鬼是很多人,很多鬼
[00:02:58.280 --> 00:03:00.560]  可能幾千隻鬼都不止
[00:03:00.560 --> 00:03:08.280]  原來這個人被幾千隻鬼附在他身上控制他
[00:03:08.280 --> 00:03:10.640]  這個人住在哪裏呢?
[00:03:10.640 --> 00:03:12.240]  他住在墳墓裏面
[00:03:12.240 --> 00:03:16.680]  在那個時候,墳墓不是像我們那樣
[00:03:16.680 --> 00:03:19.280]  有個洞在地上,把他蓋上
[00:03:19.280 --> 00:03:24.320]  他在山邊有個洞,把屍體放在裏面
[00:03:24.320 --> 00:03:25.760]  這個洞是開的
[00:03:25.760 --> 00:03:28.920]  這個人住在那些洞裏面
[00:03:28.920 --> 00:03:33.320]  即是說他接觸死了人的骨頭
[00:03:33.320 --> 00:03:36.880]  是非常不好的環境
[00:03:36.880 --> 00:03:44.960]  換句話說,他是一個很淒涼的情況
[00:03:44.960 --> 00:03:46.880]  第四節就講到
[00:03:46.880 --> 00:03:52.440]  很多次人用腳鐐和鎖鏈捆綁他
[00:03:52.440 --> 00:03:55.680]  但這些鎖鏈都被他掙斷了
[00:03:55.680 --> 00:03:58.400]  腳鐐亦被他弄碎
[00:03:58.400 --> 00:04:01.320]  始終沒有人能夠制服他
[00:04:01.320 --> 00:04:04.400]  為何這個人的氣力那麼大呢?
[00:04:04.400 --> 00:04:06.920]  不是他自己本身的氣力大
[00:04:06.920 --> 00:04:11.040]  而是裏面的鬼控制了他,佔據了他
[00:04:11.040 --> 00:04:16.480]  鬼又透過他把腳鐐和鎖鏈都拉斷了
[00:04:16.480 --> 00:04:20.120]  鬼控制了這個人,鬼就為所欲為
[00:04:20.120 --> 00:04:24.120]  所以如果我用兩個名詞來形容這個人的光景
[00:04:24.120 --> 00:04:27.440]  就是墳墓和鎖鏈
[00:04:27.440 --> 00:04:30.840]  墳墓就是死、陰暗的地方
[00:04:30.840 --> 00:04:32.720]  鎖鏈就是捆綁
[00:04:32.720 --> 00:04:35.000]  這個人是很淒慘的
[00:04:35.000 --> 00:04:37.080]  當我想到這個人的時候
[00:04:37.080 --> 00:04:38.600]  我又想到我自己
[00:04:38.600 --> 00:04:40.480]  我亦想到你
[00:04:40.480 --> 00:04:42.360]  我想到全人類
[00:04:42.360 --> 00:04:46.320]  其實全人類的光景就和這個人差不多
[00:04:46.320 --> 00:04:48.640]  「穆斯林,你這樣講,我正正經經」
[00:04:48.640 --> 00:04:51.200]  「我和這個人有點不同」
[00:04:51.200 --> 00:04:53.880]  但你想想
[00:04:53.880 --> 00:05:00.000]  2000年前的社會如何控制和醫治這個人呢?
[00:05:00.000 --> 00:05:02.040]  他們就把他隔離
[00:05:02.040 --> 00:05:04.240]  把他趕出去村落
[00:05:04.240 --> 00:05:06.960]  住在墳墓當中
[00:05:06.960 --> 00:05:10.360]  然後隔離和捆綁
[00:05:10.360 --> 00:05:12.880]  把他綁住
[00:05:12.880 --> 00:05:14.440]  換句話說
[00:05:14.440 --> 00:05:19.040]  他是用外面的方法來控制裏面的問題
[00:05:19.040 --> 00:05:23.280]  這個人的問題是生命裏面的問題
[00:05:23.280 --> 00:05:25.880]  但社會就用外面的東西
[00:05:25.880 --> 00:05:30.600]  用隔離、用監獄、用鎖鏈來控制他
[00:05:30.600 --> 00:05:32.480]  我們現在都是這樣
[00:05:32.480 --> 00:05:35.240]  我們設立了監獄
[00:05:35.240 --> 00:05:38.640]  我們把社會上有麻煩的人
[00:05:38.640 --> 00:05:41.680]  困住他
[00:05:41.680 --> 00:05:46.600]  用外面的方法來控制他
[00:05:46.600 --> 00:05:50.160]  還有我們九年之前有金融海嘯
[00:05:50.160 --> 00:05:55.080]  於是我們就用了很多的法律規條
[00:05:55.080 --> 00:05:57.800]  訂了很多來控制這個環境
[00:05:57.800 --> 00:05:59.880]  所以現在就搞到
[00:05:59.880 --> 00:06:01.640]  你連開個銀行戶口都難
[00:06:01.640 --> 00:06:04.720]  因為很繁複很繁複
[00:06:04.720 --> 00:06:08.800]  你看我們現在社會所用的方法
[00:06:08.800 --> 00:06:16.080]  其實和2000年前的情況一模一樣
[00:06:16.080 --> 00:06:20.840]  但是問題就沒有解決
[00:06:20.840 --> 00:06:23.080]  仍然有這麼多人坐牢
[00:06:23.080 --> 00:06:25.280]  仍然有這麼多的法律
[00:06:25.280 --> 00:06:27.320]  我們回到這個被鬼附的人
[00:06:27.320 --> 00:06:29.400]  我還有一個觀察
[00:06:29.400 --> 00:06:34.880]  就是他能夠忍受幾千隻鬼的攻擊
[00:06:34.880 --> 00:06:36.200]  而沒有死路
[00:06:36.200 --> 00:06:38.120]  但那些鬼
[00:06:38.120 --> 00:06:41.560]  耶穌面前來拯救這個人
