
[00:00:00.000 --> 00:00:02.960]  第二點,這次我從印度回來,我真的看見我們的神
[00:00:02.960 --> 00:00:05.760]  真的是我們夢想成真的神
[00:00:05.760 --> 00:00:06.760]  Amen
[00:00:06.760 --> 00:00:08.560]  所以今天早上讓我鼓勵你
[00:00:08.560 --> 00:00:11.000]  無論你在人生怎麼樣的階段
[00:00:11.000 --> 00:00:13.760]  無論處的處境是怎麼樣的一個光景
[00:00:13.760 --> 00:00:16.360]  要重新來夢想
[00:00:16.360 --> 00:00:17.560]  Amen
[00:00:17.560 --> 00:00:20.560]  為什麼你可以重新來夢想呢?
[00:00:20.560 --> 00:00:22.560]  今天早上要告訴你三個原因
[00:00:22.560 --> 00:00:27.360]  你為什麼可以重新來夢想
[00:00:27.360 --> 00:00:30.960]  第一個原因,你可以重新來夢想
[00:00:30.960 --> 00:00:34.460]  因為你有一位始無變有的神
[00:00:34.460 --> 00:00:38.960]  跟你媽說你有一位始無變有的神
[00:00:38.960 --> 00:00:42.160]  今天你為什麼會失去夢想呢?
[00:00:42.160 --> 00:00:45.760]  因為你所看見的就是無嘛
[00:00:45.760 --> 00:00:50.360]  多少時候我們堂堂被我們的思想所限制不是嗎?
[00:00:50.360 --> 00:00:53.760]  我們所知道的會限制我們
[00:00:53.760 --> 00:00:58.960]  讓我們不能夠突破自己進入新的未知的領域裡面
[00:00:58.960 --> 00:01:00.960]  所知道的事會限制我們
[00:01:00.960 --> 00:01:04.360]  我們所不知道的事情也會限制我們
[00:01:04.360 --> 00:01:08.360]  常常讓我們以為那些是一些不可能成就的事情
[00:01:08.360 --> 00:01:09.960]  不是嗎?
[00:01:09.960 --> 00:01:13.560]  我們也常常被我們的環境所限制
[00:01:13.560 --> 00:01:18.360]  順利的環境叫我們享受在安逸當中
[00:01:18.360 --> 00:01:20.360]  不願意向前行
[00:01:20.360 --> 00:01:24.960]  因為習慣在這樣的環境當中就不想再往前走
[00:01:24.960 --> 00:01:26.760]  不順利的環境呢
[00:01:26.760 --> 00:01:28.760]  也叫我們不敢前進
[00:01:28.760 --> 00:01:31.360]  為什麼?因為害怕失敗
[00:01:31.360 --> 00:01:36.560]  而過去失敗的經驗更是叫我們猶豫不前
[00:01:36.560 --> 00:01:39.160]  第二點,今天在你一生當中
[00:01:39.160 --> 00:01:42.560]  如果你只看見無的話
[00:01:42.560 --> 00:01:46.360]  我告訴你,你永遠不可能有夢想
[00:01:46.360 --> 00:01:49.360]  你必須確認一件事情
[00:01:49.360 --> 00:01:53.160]  雖然你現在所看見的是無
[00:01:53.160 --> 00:01:56.960]  而且你也在一個無的光景當中
[00:01:56.960 --> 00:02:02.160]  但是你的神卻是一個能使無變有的神
[00:02:02.160 --> 00:02:05.360]  創世紀第一章第一節第二節怎麼說呢?
[00:02:05.360 --> 00:02:09.160]  這裡說「起初神創造天地」
[00:02:09.160 --> 00:02:13.960]  第二節在很多英文的版本裡面有多一個「Now」這個字
[00:02:13.960 --> 00:02:15.960]  現在
