
[00:00:00.000 --> 00:00:09.160]  我想和大家玩一個有獎問答遊戲
[00:00:09.160 --> 00:00:11.080]  我想問大家
[00:00:11.080 --> 00:00:15.440]  接下來的星期六
[00:00:15.440 --> 00:00:18.760]  不是宣教周那麼簡單
[00:00:18.760 --> 00:00:21.280]  是什麼日子呢?
[00:00:21.280 --> 00:00:24.400]  是什麼節日呢?
[00:00:24.400 --> 00:00:33.400]  (國際兒童節)
[00:00:33.400 --> 00:00:36.400]  非常好,這個有獎問答遊戲
[00:00:36.400 --> 00:00:38.400]  由我們的小朋友
[00:00:38.400 --> 00:00:42.400]  國際兒童節
[00:00:42.400 --> 00:00:48.400]  兒童是需要獎勵的
[00:00:48.400 --> 00:00:51.400]  這個星期六大家可能不知道
[00:00:51.400 --> 00:00:57.400]  雖然在你的日曆裏面是沒有紅色的
[00:00:57.400 --> 00:01:00.400]  是國際兒童節
[00:01:00.400 --> 00:01:02.400]  所以我們很開心
[00:01:02.400 --> 00:01:05.400]  我們一起有機會來認識這個節日
[00:01:05.400 --> 00:01:07.400]  其實每年的六月一日
[00:01:07.400 --> 00:01:09.400]  這個國際兒童節是源於什麼呢?
[00:01:09.400 --> 00:01:12.400]  1925年是國際兒童幸福協會
[00:01:12.400 --> 00:01:16.400]  來推進的一個倡議
[00:01:16.400 --> 00:01:21.400]  當時是鼓勵各國制定一個兒童節
[00:01:21.400 --> 00:01:25.400]  在英國定了七月十四日
[00:01:25.400 --> 00:01:27.400]  在美國定了五月一日
[00:01:27.400 --> 00:01:29.400]  在中國定了幾日呢?
[00:01:29.400 --> 00:01:32.400]  沒錯,不是六月一日
[00:01:32.400 --> 00:01:35.400]  中國是四月四日
[00:01:35.400 --> 00:01:40.400]  你和我小時候一直成長是四月四日
[00:01:40.400 --> 00:01:42.400]  現在很少人慶祝
[00:01:42.400 --> 00:01:44.400]  可能每天都是兒童節
[00:01:44.400 --> 00:01:46.400]  現在的兒童很幸福
[00:01:46.400 --> 00:01:51.400]  後來國際婦聯再次提出
[00:01:51.400 --> 00:01:54.400]  希望定一個國際兒童節
[00:01:54.400 --> 00:01:56.400]  所以就定了六月一日
[00:01:56.400 --> 00:01:59.400]  無論是自定還是國際
[00:01:59.400 --> 00:02:03.400]  其實都是為了關愛
[00:02:03.400 --> 00:02:06.400]  關心我們下一代的兒童
[00:02:06.400 --> 00:02:08.400]  今天我所講的這段經文
[00:02:08.400 --> 00:02:10.400]  是和兒童有關的
[00:02:10.400 --> 00:02:14.400]  耶穌藉著一個活動教學
[00:02:14.400 --> 00:02:17.400]  當時叫了一個小朋友
[00:02:17.400 --> 00:02:19.400]  來到他們中間
[00:02:19.400 --> 00:02:21.400]  藉著這個活動教學
[00:02:21.400 --> 00:02:23.400]  講了一個很重要
[00:02:23.400 --> 00:02:30.400]  是四福音不斷提出的一個題目
[00:02:30.400 --> 00:02:35.400]  就是天國這個題目
[00:02:35.400 --> 00:02:40.400]  雖然我們所用的經文只是幾節
[00:02:40.400 --> 00:02:44.400]  透過一個兒童
[00:02:44.400 --> 00:02:46.400]  將一個很重要的真理
[00:02:46.400 --> 00:02:50.400]  四福音強調的是一個天國的真理
[00:02:50.400 --> 00:02:53.400]  其實在馬克福音第一章十五節裏
[00:02:53.400 --> 00:02:57.400]  當日楊牧師第一課講到
[00:02:57.400 --> 00:03:01.400]  日期滿了,天國近了
[00:03:01.400 --> 00:03:05.400]  你們當悔改,順福音
[00:03:05.400 --> 00:03:09.400]  在這幾卷的福音書裏
[00:03:09.400 --> 00:03:12.400]  都提出這個題目
[00:03:12.400 --> 00:03:14.400]  就是天國的題目
[00:03:14.400 --> 00:03:16.400]  其實如果你回到教會內
[00:03:16.400 --> 00:03:19.400]  好幾年前都相當一段日子裏
[00:03:19.400 --> 00:03:23.400]  馬牧師曾經講過天國的系列
[00:03:23.400 --> 00:03:25.400]  四福音裏要強調的
[00:03:25.400 --> 00:03:29.400]  今天我們也取自馬克福音第十章
[00:03:29.400 --> 00:03:31.400]  其實第九章也有講
[00:03:31.400 --> 00:03:33.400]  我選了第十章
[00:03:33.400 --> 00:03:35.400]  這個十三至十六節
[00:03:35.400 --> 00:03:37.400]  我們先一齊讀一讀
[00:03:37.400 --> 00:03:39.400]  幾節的經文
[00:03:39.400 --> 00:03:41.400]  我們一齊讀,預備起
[00:03:41.400 --> 00:03:44.400]  有人帶著小孩子來見耶穌
[00:03:44.400 --> 00:03:46.400]  要耶穌摸他們
[00:03:46.400 --> 00:03:49.400]  滿肚便責備那些人
[00:03:49.400 --> 00:03:53.400]  耶穌看見就牢牢對門徒說
[00:03:53.400 --> 00:03:57.400]  讓小孩子到我這裏來
[00:03:57.400 --> 00:03:59.400]  不要禁止他們
[00:03:59.400 --> 00:04:01.400]  因為在神國的
[00:04:01.400 --> 00:04:04.400]  正是這樣的人
[00:04:04.400 --> 00:04:06.400]  我實在告訴你們
[00:04:06.400 --> 00:04:09.400]  凡要承受神國的
[00:04:09.400 --> 00:04:11.400]  若不像小孩子
[00:04:11.400 --> 00:04:14.400]  斷不能進去
[00:04:14.400 --> 00:04:17.400]  於是抱著小孩子
[00:04:17.400 --> 00:04:19.400]  給他們按手
[00:04:19.400 --> 00:04:21.400]  為他們祝福
[00:04:21.400 --> 00:04:23.400]  可能讀了這段經文之後
[00:04:23.400 --> 00:04:25.400]  你馬上,可能部分有些人
[00:04:25.400 --> 00:04:28.400]  馬上關上耳朵
[00:04:28.400 --> 00:04:30.400]  閉上眼睛
[00:04:30.400 --> 00:04:32.400]  為甚麼呢?
[00:04:32.400 --> 00:04:35.400]  我又不是父母
