
[00:00:00.000 --> 00:00:03.160]  精子每早晨很高興能夠再次在主日崇拜的時間
[00:00:03.160 --> 00:00:05.340]  和大家一起分享神的說話
[00:00:05.340 --> 00:00:06.760]  又是聆聽主導耳先
[00:00:06.760 --> 00:00:08.520]  又是同心的禱告
[00:00:08.520 --> 00:00:09.840]  秋海天父多謝祢
[00:00:09.840 --> 00:00:14.440]  能夠給到我們能夠再次回到祢的說話面前
[00:00:14.440 --> 00:00:16.420]  能夠謙卑受教
[00:00:16.420 --> 00:00:18.680]  求父神祢的靈與我們同在
[00:00:18.680 --> 00:00:22.140]  讓主耶穌的救恩能夠落實
[00:00:22.140 --> 00:00:24.860]  在我們生命上可以成長起來
[00:00:24.860 --> 00:00:26.100]  求祢的幫助
[00:00:26.100 --> 00:00:28.000]  求祢的灌溉
[00:00:28.000 --> 00:00:31.480]  同心禱告奉靠主耶穌的特性並致求
[00:00:31.480 --> 00:00:33.260]  阿們
[00:00:33.260 --> 00:00:35.540]  今天和大家一起分享的經文
[00:00:35.540 --> 00:00:40.740]  是出自於《加拉太書》第四章二十七節
[00:00:40.740 --> 00:00:43.440]  至第五章第一節
[00:00:43.440 --> 00:00:45.740]  今天所講的題目是
[00:00:45.740 --> 00:00:50.080]  以基督的身份奠定信徒的身份
[00:00:50.080 --> 00:00:51.860]  在開始的時候
[00:00:51.860 --> 00:00:55.520]  讓我先為大家讀一次這段經文
[00:00:55.520 --> 00:01:00.200]  讓我們好好地去明白這段聖經的內容
[00:01:00.200 --> 00:01:02.120]  大家如果也有聖經的
[00:01:02.120 --> 00:01:03.900]  請一起打開
[00:01:03.900 --> 00:01:06.800]  《加拉太書》第四章二十七節
[00:01:06.800 --> 00:01:09.080]  因為經上記著
[00:01:09.080 --> 00:01:11.220]  不懷孕、不生養的
[00:01:11.220 --> 00:01:12.800]  你要歡樂
[00:01:12.800 --> 00:01:15.440]  未曾經過產難的
[00:01:15.440 --> 00:01:17.640]  你要高聲歡呼
[00:01:17.640 --> 00:01:19.340]  因為沒有丈夫的
[00:01:19.340 --> 00:01:22.600]  比有丈夫的兒女更多
[00:01:22.600 --> 00:01:23.680]  弟兄們
[00:01:23.680 --> 00:01:26.640]  我們是憑著應許作兒女
[00:01:26.640 --> 00:01:28.560]  如同以撒一樣
[00:01:28.560 --> 00:01:30.800]  當時那安著血氣生的
[00:01:30.800 --> 00:01:33.480]  逼不了那安著性靈生的
