
[00:00:00.000 --> 00:00:06.080]  今天我相信這個第十講應該是完結篇了
[00:00:06.080 --> 00:00:11.540]  所以你看到四章第二到十八節
[00:00:11.540 --> 00:00:13.840]  你知道十八節就完結了
[00:00:13.840 --> 00:00:18.080]  雖然我未必會講完這麼多節
[00:00:18.080 --> 00:00:23.120]  其實你也知道最多半個小時左右的講道訊息
[00:00:23.120 --> 00:00:26.260]  如果真的集中講,其實講一兩節已經差不多了
[00:00:26.260 --> 00:00:28.760]  所以你知道我應該不會講完後面
[00:00:28.760 --> 00:00:32.160]  不過給大家明白的就是
[00:00:32.160 --> 00:00:34.000]  後面你看到保羅
[00:00:34.000 --> 00:00:37.600]  其實第四章二到第六節左右
[00:00:37.600 --> 00:00:39.700]  都是一個主要的教導
[00:00:39.700 --> 00:00:41.600]  但是由第七節開始
[00:00:41.600 --> 00:00:43.780]  就是他最後的一些文案
[00:00:43.780 --> 00:00:45.240]  就好像你寫信
[00:00:45.240 --> 00:00:46.480]  跟別人說話
[00:00:46.480 --> 00:00:49.780]  後面有一點文案的說話
[00:00:49.780 --> 00:00:51.440]  還有他作見證
[00:00:51.440 --> 00:00:56.820]  特別也將身邊的一些同工的文案
[00:00:56.820 --> 00:00:59.960]  一些他們所作的都跟教會分享
[00:00:59.960 --> 00:01:00.700]  最主要是這樣
[00:01:00.700 --> 00:01:05.140]  所以今天最主要我只是講第二到第六節
[00:01:05.140 --> 00:01:09.500]  第七到十八節大家可以自己睡不著的時候拿來看看
[00:01:09.500 --> 00:01:11.780]  可能會幫助你快點睡著
[00:01:11.780 --> 00:01:20.640]  在第三章尾到第四章頭的時候
[00:01:20.640 --> 00:01:22.540]  如果你還記得的話
[00:01:22.540 --> 00:01:25.160]  雖然我不會很期待你記得很多
[00:01:25.160 --> 00:01:27.660]  但是其實最主要是上一兩次
[00:01:27.660 --> 00:01:31.360]  就是《哥羅西書》的正道裡面
[00:01:31.360 --> 00:01:32.460]  如果你記得的話
[00:01:32.460 --> 00:01:35.360]  是講到其實在一個家庭裡面
[00:01:35.360 --> 00:01:37.500]  夫婦啊
[00:01:37.500 --> 00:01:39.600]  父母、子女啊
[00:01:39.600 --> 00:01:44.940]  然後講到主人和僕人的關係
[00:01:44.940 --> 00:01:46.440]  怎樣去相處
[00:01:46.440 --> 00:01:49.340]  不過藉著主人僕人那裡
[00:01:49.340 --> 00:01:51.720]  我們可以歸納一些原則出來
[00:01:51.720 --> 00:01:55.120]  可以引用在我們現今工作的環境裡面
[00:01:55.120 --> 00:01:58.920]  怎樣跟上司、同事、下屬的相處
[00:01:58.920 --> 00:02:00.460]  在講完這些之後
[00:02:00.460 --> 00:02:04.020]  保羅他再講第二到第六節
[00:02:04.020 --> 00:02:09.660]  他其實主要是向教會整體比較綜合一點
[00:02:09.660 --> 00:02:12.140]  比較 general 一點的教導
[00:02:12.140 --> 00:02:15.600]  就是每一個人都有份聽的
[00:02:15.600 --> 00:02:19.280]  特別是講信了主的人
[00:02:19.280 --> 00:02:22.040]  他就說其實最主要是兩方面
[00:02:22.040 --> 00:02:27.120]  他說一方面是向神上向的一個關係
[00:02:27.120 --> 00:02:28.780]  我們要禱告警醒
[00:02:28.780 --> 00:02:30.980]  另外一方面是橫向的
[00:02:30.980 --> 00:02:33.760]  橫向的就是跟人的關係
[00:02:33.760 --> 00:02:35.760]  作美好的見證
[00:02:35.760 --> 00:02:37.760]  當我看這個經文的時候
[00:02:37.760 --> 00:02:41.800]  令我想起在工作環境裡面
[00:02:41.800 --> 00:02:46.160]  你知不知道一種評估的方法或者理念
[00:02:46.160 --> 00:02:51.340]  叫做三百六十度的績效評估
[00:02:51.340 --> 00:02:52.640]  360
[00:02:52.640 --> 00:02:55.740]  360 degree feedback 有沒有聽過
[00:02:55.740 --> 00:02:57.340]  三百六十度績效評估
[00:02:57.340 --> 00:02:58.140]  可能這裏不懂
[00:02:58.140 --> 00:02:59.820]  或者可能用了你不知道
[00:02:59.820 --> 00:03:00.820]  其實講什麼呢
[00:03:00.820 --> 00:03:05.320]  他就說在工作的心理學裡面提倡的
[00:03:05.320 --> 00:03:07.660]  他就說一個工作的人
[00:03:07.660 --> 00:03:11.460]  自己對自己有評估做得怎樣好不好
[00:03:11.460 --> 00:03:16.500]  然後上司又評估一下你做得怎樣
[00:03:16.500 --> 00:03:18.300]  然後有同事
[00:03:18.300 --> 00:03:21.760]  同工又評估一下給你一些意見
[00:03:21.760 --> 00:03:23.600]  然後還有下屬
[00:03:23.600 --> 00:03:26.000]  下屬
[00:03:26.000 --> 00:03:30.940]  下屬也給你一些回饋
[00:03:30.940 --> 00:03:34.080]  然後如果你還可以接觸到客人
[00:03:34.080 --> 00:03:35.820]  又可以的話
[00:03:35.820 --> 00:03:37.920]  又可以跟客人拿一些意見
[00:03:37.920 --> 00:03:40.220]  所以譬如一些大的公司
[00:03:40.220 --> 00:03:41.860]  你也會知道你跟他買完東西
[00:03:41.860 --> 00:03:44.680]  他也會收回一些問卷
[00:03:44.680 --> 00:03:46.620]  叫你填一些東西
[00:03:46.620 --> 00:03:48.520]  通常我都不會填的
[00:03:48.520 --> 00:03:51.200]  因為浪費我的時間
[00:03:51.200 --> 00:03:52.460]  你有沒有填的
[00:03:52.460 --> 00:03:53.560]  他講得很客氣的
[00:03:53.560 --> 00:03:55.600]  如果你幫我們做得好一點
[00:03:55.600 --> 00:03:57.600]  你去填一下
[00:03:57.600 --> 00:03:58.840]  但是我真的不會
[00:03:58.840 --> 00:04:00.140]  因為我覺得
[00:04:00.140 --> 00:04:01.140]  雖然我
[00:04:01.140 --> 00:04:02.200]  怎麼說
[00:04:02.200 --> 00:04:04.980]  我覺得時間就是金錢
[00:04:04.980 --> 00:04:06.680]  或者時間其實是一種資源
[00:04:06.680 --> 00:04:08.140]  你很好的運用
[00:04:08.140 --> 00:04:10.920]  除非他說如果你填完這十分鐘
[00:04:10.920 --> 00:04:11.940]  我給你十塊錢
[00:04:11.940 --> 00:04:15.220]  我也會的
[00:04:15.220 --> 00:04:17.120]  我真的會有的
