
[00:00:00.000 --> 00:00:06.260]  這次想和大家講《約伯記的日子》的第二講
[00:00:06.260 --> 00:00:08.280]  我給了一個題目
[00:00:08.280 --> 00:00:15.820]  叫做《人間的悲劇與天上的遺忘》
[00:00:15.820 --> 00:00:19.540]  如果你上一次有聽我講《約伯記》
[00:00:19.540 --> 00:00:21.460]  你也會知道
[00:00:21.460 --> 00:00:25.540]  我最後就和大家嘗試去解開
[00:00:25.540 --> 00:00:30.220]  耶和華神在旋風當中對約伯
[00:00:30.220 --> 00:00:38.100]  這個好人 義人 受苦的難題的解答
[00:00:38.100 --> 00:00:42.100]  我們說神的解答根本就不是一個解答
[00:00:42.100 --> 00:00:43.640]  祂不是回答不了
[00:00:43.640 --> 00:00:46.000]  而是提出更多的問題
[00:00:46.000 --> 00:00:52.300]  這些問題是帶給約伯不是一個理論的回答
[00:00:52.300 --> 00:00:54.300]  就是為什麼人受苦
[00:00:54.300 --> 00:00:56.300]  而是我也講過
[00:00:56.300 --> 00:00:58.020]  經常在受苦當中
[00:00:58.020 --> 00:01:02.840]  最重要是一個實存的解決和感受
[00:01:02.840 --> 00:01:04.300]  我很痛苦
[00:01:04.300 --> 00:01:07.340]  你不要解釋給我聽為什麼為什麼為什麼
[00:01:07.340 --> 00:01:09.840]  我需要問怎麼做怎麼做怎麼做
[00:01:09.840 --> 00:01:10.960]  我怎麼捱呢?
[00:01:10.960 --> 00:01:14.180]  怎麼可以去能夠過這些日子
[00:01:14.180 --> 00:01:15.920]  神真的很有智慧的
[00:01:15.920 --> 00:01:20.380]  所以祂沒有解釋給你聽為什麼你會受苦
[00:01:20.380 --> 00:01:25.880]  因為最重要其實就是我們很多時候最掙扎
[00:01:25.880 --> 00:01:27.840]  或者是沒辦法得到的答案
[00:01:27.840 --> 00:01:30.300]  就是因為我們不明白為什麼受苦
[00:01:30.300 --> 00:01:34.220]  但是神想約伯明白一樣更加重要的事情
[00:01:34.220 --> 00:01:37.500]  就是人可以明白多少事情呢?
[00:01:37.500 --> 00:01:39.040]  你看到的
[00:01:39.040 --> 00:01:41.340]  就算你最聰明
[00:01:41.340 --> 00:01:43.500]  好像你的朋友那樣
[00:01:43.500 --> 00:01:46.260]  我們今天看的時候
[00:01:46.260 --> 00:01:49.260]  我們說這幾個朋友和約伯所說的話
[00:01:49.260 --> 00:01:52.080]  他的朋友真的很不聰明
[00:01:52.080 --> 00:01:53.540]  不僅是方法錯誤
[00:01:53.540 --> 00:01:58.720]  而且他解決的立場也很多漏洞
[00:01:58.720 --> 00:02:00.380]  所以人就是人
[00:02:00.380 --> 00:02:02.000]  人總有漏洞
[00:02:02.000 --> 00:02:04.040]  我們今天看到多少
[00:02:04.040 --> 00:02:07.260]  我們所發生在我們身上的事情呢?
[00:02:07.260 --> 00:02:10.460]  所以我們上一次就想跟大家說
[00:02:10.460 --> 00:02:13.800]  約伯要表達的就是
[00:02:13.800 --> 00:02:16.300]  神最想約伯明白的是
[00:02:16.300 --> 00:02:18.000]  你看到什麼
[00:02:18.000 --> 00:02:20.380]  還有我看到了什麼
[00:02:20.380 --> 00:02:22.720]  你知道多少
[00:02:22.720 --> 00:02:26.420]  還有神說我知道多少
[00:02:26.420 --> 00:02:30.340]  當人有這種能夠放下
[00:02:30.340 --> 00:02:32.920]  承認自己所了解的
[00:02:32.920 --> 00:02:37.840]  只不過是一個千百萬的事件裡面
[00:02:37.840 --> 00:02:40.540]  其中一個小部分的話
[00:02:40.540 --> 00:02:43.420]  我們的心就可以放下
[00:02:43.420 --> 00:02:48.540]  當然放下就是因為作為一個有信仰神的人
[00:02:48.540 --> 00:02:49.920]  能夠放下
[00:02:49.920 --> 00:02:52.080]  不是說那我就不說了
[00:02:52.080 --> 00:02:54.660]  我是不明白的了
