
[00:00:00.000 --> 00:00:04.200]  這一集就是想帶大家回去看一幕
[00:00:04.200 --> 00:00:07.160]  耶穌基督釘十字架的故事
[00:00:07.160 --> 00:00:10.940]  也是過去一個星期 週末的時候
[00:00:10.940 --> 00:00:15.960]  我們紀念耶穌基督受死復活當中的一些
[00:00:15.960 --> 00:00:19.260]  令我再想起的一些重要的片段
[00:00:19.260 --> 00:00:25.880]  想帶大家看四節《馬克福音》裡面的故事
[00:00:25.880 --> 00:00:27.060]  第一節就是
[00:00:27.060 --> 00:00:31.020]  第二節就是《馬克福音》第十五章第十二節這麼說
[00:00:31.020 --> 00:00:36.340]  他們帶耶穌到了一個地方叫葛國湯
[00:00:36.340 --> 00:00:40.880]  翻出來就是毒瘤地
[00:00:40.880 --> 00:00:46.400]  那沒藥調和的酒給耶穌 他卻不收
[00:00:46.400 --> 00:00:48.660]  你現在記得耶穌釘十字架的時候
[00:00:48.660 --> 00:00:52.980]  第一次有人好像給他一些東西喝
[00:00:52.980 --> 00:00:56.120]  他喝的東西就是沒藥調和的酒
[00:00:56.120 --> 00:00:58.680]  但是耶穌接不接受?不接受
[00:00:58.680 --> 00:01:02.640]  但是十幾節之後你發現
[00:01:02.640 --> 00:01:06.620]  第二次給他的時候 他好像喝了
[00:01:06.620 --> 00:01:09.620]  《馬克福音》第十五章第三十五節
[00:01:09.620 --> 00:01:14.280]  旁邊站著的人有的聽見就說
[00:01:14.280 --> 00:01:16.240]  看啊 他叫以利亞
[00:01:16.240 --> 00:01:21.200]  有一個人跑去把海綿澆滿了酒
[00:01:21.200 --> 00:01:25.180]  綁在蘆葦竿上送給他 他說
[00:01:25.180 --> 00:01:32.520]  且等著看以利亞會不會來把他放下來
[00:01:32.520 --> 00:01:34.600]  如果你去看《馬克福音》的時候
[00:01:34.600 --> 00:01:38.320]  你會發現最後耶穌是喝了那個酒的
[00:01:38.320 --> 00:01:41.460]  這是以後耶穌知道各樣的事已經成就
[00:01:41.460 --> 00:01:45.280]  便使經上的話應驗就算我學了
[00:01:45.280 --> 00:01:49.380]  有一個聖滿了醋的罐子放在那裡
