
[00:00:00.000 --> 00:00:02.360]  好,丁甫子妹,複習一下,
[00:00:02.360 --> 00:00:07.700]  我們在上一次的信息裏面也講過,
[00:00:07.700 --> 00:00:15.260]  前面的這個信息講到說勝過肉體的祕訣。
[00:00:15.260 --> 00:00:21.000]  那今天又講勝過肉體的情慾,
[00:00:21.000 --> 00:00:25.260]  那肉體跟肉體的情慾有什麼不一樣?
[00:00:31.000 --> 00:00:35.000]  肉體的一部分。
[00:00:35.000 --> 00:00:40.000]  好,首先我們說肉體,肉體是什麼?
[00:00:40.000 --> 00:00:44.000]  老我,對不對?
[00:00:44.000 --> 00:00:48.000]  在聖經當中,保羅在講到肉體的時候,
[00:00:48.000 --> 00:00:50.000]  大部分是指的不好的,
[00:00:50.000 --> 00:00:55.000]  但是肉體也可以翻譯成身體,
[00:00:55.000 --> 00:01:00.000]  所以不是說肉體這個字就是絕對不好,
[00:01:00.000 --> 00:01:04.000]  可是保羅在講到肉體的時候,
[00:01:04.000 --> 00:01:11.000]  他指的就是這個肉體在我們裏面有一個老我,
[00:01:11.000 --> 00:01:14.000]  聖經上又稱它叫做舊人,
[00:01:14.000 --> 00:01:17.000]  這個舊人是在你信耶穌之前,
[00:01:17.000 --> 00:01:19.000]  他就在那邊了,
[00:01:19.000 --> 00:01:21.000]  他已經在那邊逐朝多年,
[00:01:21.000 --> 00:01:23.000]  他佔山爲王,
[00:01:23.000 --> 00:01:26.000]  他做老大做很多年了,
[00:01:26.000 --> 00:01:28.000]  當你信了耶穌之後,
[00:01:28.000 --> 00:01:32.000]  結果上帝給了你一個新生命,
[00:01:32.000 --> 00:01:36.000]  這個新生命叫做新人,
[00:01:36.000 --> 00:01:39.000]  那哪一個大呢?
[00:01:39.000 --> 00:01:42.000]  哪一個大?
[00:01:42.000 --> 00:01:45.000]  新人大,
[00:01:45.000 --> 00:01:50.000]  但是就好像那財僧的嬰孩,
[00:01:50.000 --> 00:01:53.000]  一個baby纔出生,
[00:01:53.000 --> 00:01:54.000]  你信了耶穌,
[00:01:54.000 --> 00:01:56.000]  你就像一個baby一樣,
[00:01:56.000 --> 00:01:57.000]  屬靈的baby,
[00:01:57.000 --> 00:01:58.000]  新生命進來了,
[00:01:58.000 --> 00:01:59.000]  但是還沒有長大,
[00:01:59.000 --> 00:02:03.000]  所以在裏面誰做老大?
[00:02:03.000 --> 00:02:06.000]  老我,
[00:02:06.000 --> 00:02:08.000]  所以老我要做老大,
[00:02:08.000 --> 00:02:12.000]  要繼續讓他做老大嗎?
[00:02:12.000 --> 00:02:18.000]  要讓誰做大?
[00:02:18.000 --> 00:02:22.000]  要讓新的生命長大成人,
[00:02:22.000 --> 00:02:27.000]  滿有基督長成神量,
[00:02:27.000 --> 00:02:29.000]  這不是一天兩天的,
[00:02:29.000 --> 00:02:30.000]  生命不可能,
[00:02:30.000 --> 00:02:32.000]  我記得以前我們很多年前,
[00:02:32.000 --> 00:02:35.000]  小的時候也搞不清楚什麼時候了,
[00:02:35.000 --> 00:02:42.000]  就記得那時候在臺灣豬有喫一種飼料,
[00:02:42.000 --> 00:02:43.000]  叫做歐羅肥,
[00:02:43.000 --> 00:02:45.000]  還聽過嗎?
[00:02:45.000 --> 00:02:49.000]  笑的就知道是我們那個年代,
[00:02:49.000 --> 00:02:51.000]  所以每次我們就想說,
[00:02:51.000 --> 00:02:52.000]  給他喫歐羅肥,
[00:02:52.000 --> 00:02:55.000]  意思就是說可以很快地長大,
[00:02:55.000 --> 00:02:56.000]  現在不必了,
