
[00:00:00.000 --> 00:00:04.080]  大家有沒有看馬拉松賽跑?
[00:00:04.080 --> 00:00:07.280]  大家有沒有看馬拉松賽跑呢?
[00:00:07.280 --> 00:00:11.200]  當那些運動員跑到大汗淋漓的時候
[00:00:11.200 --> 00:00:14.800]  當那些運動員跑到大汗淋漓的時候
[00:00:14.800 --> 00:00:18.800]  在路旁邊有些人是做一些東西的
[00:00:18.800 --> 00:00:21.080]  在路旁邊有些人做一些東西
[00:00:21.080 --> 00:00:22.080]  做什麼呢?
[00:00:22.080 --> 00:00:24.000]  做什麼呢?
[00:00:24.000 --> 00:00:25.840]  會遞一些水給他們喝的
[00:00:25.840 --> 00:00:28.040]  他會遞一些水給他們喝的
[00:00:28.040 --> 00:00:30.040]  那些運動員喝了之後
[00:00:30.040 --> 00:00:32.920]  一喝就把杯子丟掉了
[00:00:32.920 --> 00:00:35.560]  那些運動員喝完之後就把杯子丟掉
[00:00:35.560 --> 00:00:36.960]  是一個垃圾蟲來的
[00:00:36.960 --> 00:00:38.360]  丟在那個垃圾箱裏面
[00:00:38.360 --> 00:00:41.800]  馬拉松是教人做垃圾蟲的
[00:00:41.800 --> 00:00:44.320]  馬拉松是教人家做一個垃圾蟲
[00:00:44.320 --> 00:00:45.680]  是嗎?
[00:00:45.680 --> 00:00:49.800]  今天早上我們要思考一個
[00:00:49.800 --> 00:00:52.720]  有關飲水止渴的事
[00:00:52.720 --> 00:00:54.480]  今天早上我們要思考一下
[00:00:54.480 --> 00:00:57.200]  是有關喝水止渴的事
[00:00:57.200 --> 00:01:02.960]  是和我們每一個人都有直接的關係的
[00:01:02.960 --> 00:01:05.520]  跟我們每一個人都有直接的關係的
[00:01:05.520 --> 00:01:08.240]  首先我們要看第一節
[00:01:08.240 --> 00:01:11.560]  作爲我們今天的主題經文的聖經
[00:01:11.560 --> 00:01:14.880]  大家可以在這個銀幕上看到
[00:01:14.880 --> 00:01:15.920]  再看看熒幕
[00:01:15.920 --> 00:01:17.320]  我們有這段經文
[00:01:17.320 --> 00:01:22.400]  這一句聖經是我們要認真地處理的
[00:01:22.400 --> 00:01:25.600]  這一句聖經是我們要認真地處理的
[00:01:25.600 --> 00:01:28.200]  它分成兩個部分
[00:01:28.200 --> 00:01:34.360]  前半部分是一個邀請或者呼召
[00:01:34.360 --> 00:01:43.080]  藉着舊約的先知以賽亞向人發出邀請
[00:01:43.080 --> 00:01:51.280]  他邀請所有乾渴的人來到水的面前
[00:01:51.280 --> 00:01:54.480]  也就是來到他的面前
[00:01:54.480 --> 00:01:57.400]  後半部分是一個買賣交易
[00:01:57.400 --> 00:01:59.840]  後半部分是一個買賣的交易
[00:01:59.840 --> 00:02:07.000]  神要和乾渴的人進行一個買賣交易
[00:02:07.000 --> 00:02:10.720]  神要與乾渴的人進行買賣
