
[00:00:00.000 --> 00:00:03.840]  為了預備今天跟大家分享這個題目
[00:00:03.840 --> 00:00:06.840]  我就上去問一問AI
[00:00:06.840 --> 00:00:08.960]  大家知道現在很popular
[00:00:08.960 --> 00:00:14.080]  我們傳道人都要學一下如何善用人工智能
[00:00:14.080 --> 00:00:17.160]  問一個問題
[00:00:17.160 --> 00:00:19.720]  自從人類歷史以來
[00:00:19.720 --> 00:00:25.600]  對人類社會造成最大影響的是誰?
[00:00:25.600 --> 00:00:32.000]  問一個問題 對整個世界帶來改變的是誰?
[00:00:32.000 --> 00:00:35.600]  本來我只是期待一個答案
[00:00:35.600 --> 00:00:39.920]  誰知他給了我幾個名字
[00:00:39.920 --> 00:00:45.280]  首先是科學和數學方面的Isaac Newton
[00:00:45.280 --> 00:00:47.280]  就是牛頓
[00:00:47.280 --> 00:00:54.560]  然後是技術方面的約翰內斯古·藤堡
[00:00:54.560 --> 00:00:57.200]  就是Johannes Gettinsburg
[00:00:57.200 --> 00:01:04.040]  然後是政治和宗教方面的穆罕默德
[00:01:04.040 --> 00:01:10.120]  在地緣政治方面的就是我們都聽過的成吉思汗
[00:01:10.120 --> 00:01:11.320]  最後一個
[00:01:11.320 --> 00:01:18.840]  他說對宗教和社會造成最大影響的就是拿撒勒人耶穌
[00:01:18.840 --> 00:01:21.560]  所以他給了我幾個名字
[00:01:21.560 --> 00:01:26.920]  都是影響人類歷史改變整個世界的重要人物
[00:01:26.920 --> 00:01:28.720]  他收集了很多的資料
[00:01:28.720 --> 00:01:33.080]  歸納了有這個結論
[00:01:33.080 --> 00:01:36.160]  我相信大家聽到這些名字的時候都不會奇怪
[00:01:36.160 --> 00:01:38.880]  因為事實上他們在不同的領域當中
[00:01:38.880 --> 00:01:43.960]  真的改變了人類的歷史和改變了我們這個世界
[00:01:43.960 --> 00:01:45.760]  但是我在想
[00:01:45.760 --> 00:01:48.480]  其中這幾個人當中
[00:01:48.480 --> 00:01:53.320]  是有意識地想去改變人類社會
[00:01:53.320 --> 00:01:55.480]  改變人類歷史的
[00:01:55.480 --> 00:01:57.560]  那個是誰呢
[00:01:57.560 --> 00:01:59.800]  當然你都知道牧師說的是誰
[00:01:59.800 --> 00:02:04.160]  對我來說我覺得就是拿撒勒人耶穌
[00:02:04.160 --> 00:02:06.160]  為什麼我這樣說呢
[00:02:06.160 --> 00:02:09.000]  因為耶穌在離開世界之前
[00:02:09.000 --> 00:02:12.160]  很清楚地吩咐門徒一件事
[00:02:12.160 --> 00:02:14.280]  大家都知道是什麼
[00:02:14.280 --> 00:02:17.800]  所以你們要去使萬民作我的門徒
[00:02:17.800 --> 00:02:20.840]  奉使父子聖利明和吉他門施咒
[00:02:20.840 --> 00:02:23.560]  所以耶穌在離開世界之前
[00:02:23.560 --> 00:02:26.120]  就把這個使命我們稱之為大使命
[00:02:26.120 --> 00:02:29.840]  交給所有的基督徒交給教會
[00:02:29.840 --> 00:02:31.560]  他的意象是什麼呢
[00:02:31.560 --> 00:02:34.720]  耶穌的意象就是要所有世界的萬民
[00:02:34.720 --> 00:02:37.480]  萬族萬民都成為他的門徒
[00:02:37.480 --> 00:02:39.440]  都成為一個君尊的祭司
[00:02:39.440 --> 00:02:40.680]  神的子女
[00:02:40.680 --> 00:02:42.800]  天國的子民
[00:02:42.800 --> 00:02:45.000]  這是耶穌在世界上的任務
[00:02:45.000 --> 00:02:49.120]  和他見到他需要成就要做好的工作
[00:02:49.120 --> 00:02:51.680]  我不清楚穆罕默德
[00:02:51.680 --> 00:02:53.600]  他是一個宗教領袖
[00:02:53.600 --> 00:02:56.280]  到底穆罕默德有沒有這樣的想法呢
[00:02:56.280 --> 00:02:58.000]  I don't know
[00:02:58.000 --> 00:03:00.160]  不過如果有的話
[00:03:00.160 --> 00:03:02.200]  我很清楚知道他用什麼方法
[00:03:02.200 --> 00:03:03.000]  他用什麼方法呢
[00:03:03.000 --> 00:03:04.480]  大家都聽過了
[00:03:04.480 --> 00:03:08.120]  一手拿著可蘭經
[00:03:08.120 --> 00:03:11.360]  另外一手拿著一把刀
[00:03:11.360 --> 00:03:14.200]  所以一手是刀一手是可蘭經
[00:03:14.200 --> 00:03:21.960]  這個特別是在伊斯蘭教早期擴張的時候
[00:03:21.960 --> 00:03:24.360]  這個就是很明顯的
[00:03:24.360 --> 00:03:25.800]  結果因為這樣的緣故
[00:03:25.800 --> 00:03:31.800]  穆罕默德就成立了一個很強大的阿拉伯帝國
[00:03:31.800 --> 00:03:38.360]  這個帝國是以神權統治作為藍本
[00:03:38.360 --> 00:03:39.560]  就像今天的伊朗一樣
[00:03:39.560 --> 00:03:40.960]  神權統治
[00:03:40.960 --> 00:03:44.000]  現在怎樣大家自己去判斷
[00:03:44.000 --> 00:03:49.720]  但是從一個社會的角度來看
[00:03:49.720 --> 00:03:53.720]  這個做法是一個柔性的信仰
[00:03:53.720 --> 00:03:58.520]  和硬性統治的結合
[00:03:58.520 --> 00:03:59.880]  一手拿著可蘭經
[00:03:59.880 --> 00:04:01.920]  一手拿著一把刀
[00:04:01.920 --> 00:04:05.080]  其實如果我們看回聖經的時候
[00:04:05.080 --> 00:04:08.200]  在舊約當中的以色列國
[00:04:08.200 --> 00:04:14.280]  其實都是一個神權統治的王國
[00:04:14.280 --> 00:04:18.720]  但是我們發覺人真的太軟弱了
[00:04:18.720 --> 00:04:20.400]  人都是有罪性的
[00:04:20.400 --> 00:04:22.600]  一個不小心就會犯罪
[00:04:22.600 --> 00:04:23.480]  犯罪會怎樣呢
[00:04:23.480 --> 00:04:26.280]  犯罪就是離開上帝
[00:04:26.280 --> 00:04:29.480]  所以後來又分了南國北國
[00:04:29.480 --> 00:04:30.960]  無論怎樣也好
[00:04:30.960 --> 00:04:35.160]  當那些人做了皇帝有權有位之後
[00:04:35.160 --> 00:04:37.040]  將神放在一邊
[00:04:37.040 --> 00:04:40.440]  就將自己變成一個獨裁者
[00:04:40.440 --> 00:04:41.960]  不單止將神放在一邊
[00:04:41.960 --> 00:04:47.600]  甚至還會引進了其他很多外國的神明
[00:04:47.600 --> 00:04:50.560]  所以其實在舊約聖經裡面來說
[00:04:50.560 --> 00:04:55.480]  王國時代結果就是以色列被滅國
[00:04:55.480 --> 00:04:57.120]  到了新約時代
[00:04:57.120 --> 00:05:01.000]  耶穌是怎樣看待這個問題的呢
[00:05:01.000 --> 00:05:02.760]  大家記得耶穌說過很多話
[00:05:02.760 --> 00:05:04.520]  不過和這個有關的
[00:05:04.520 --> 00:05:06.880]  可能大家都熟悉了
[00:05:06.880 --> 00:05:08.560]  耶穌是怎樣和那些人說的呢
[00:05:08.560 --> 00:05:12.520]  當他在比拉多面前的時候
[00:05:12.520 --> 00:05:15.480]  他說我的國不屬這世界
[00:05:15.480 --> 00:05:17.880]  我的國如果屬於這世界的時候
[00:05:17.880 --> 00:05:21.240]  我的神僕就會起來和你們爭戰
[00:05:21.240 --> 00:05:24.000]  讓我就不用落在猶太人的手裡面
[00:05:24.000 --> 00:05:27.960]  只是我的國不屬這世界
[00:05:27.960 --> 00:05:30.840]  這是耶穌在比拉多面前說的
[00:05:30.840 --> 00:05:35.120]  事實上耶穌也曾經對那些想陷害他
[00:05:35.120 --> 00:05:36.600]  想試探他的人
[00:05:36.600 --> 00:05:37.960]  是曾經說過的
[00:05:37.960 --> 00:05:39.520]  該殺的物
[00:05:39.520 --> 00:05:40.680]  該殺的是誰
[00:05:40.680 --> 00:05:42.720]  當時羅馬帝國的皇帝
[00:05:42.720 --> 00:05:45.240]  該殺的物就給了該殺
[00:05:45.240 --> 00:05:50.120]  但是神的物就當歸給神
[00:05:50.120 --> 00:05:54.320]  所以從耶穌的時代開始
[00:05:54.320 --> 00:05:57.800]  政教分離的觀念
[00:05:57.800 --> 00:06:02.640]  這個教義就出來了
[00:06:02.640 --> 00:06:08.080]  剛才說到耶穌可以改變不單單宗教
[00:06:08.080 --> 00:06:13.080]  可以改變整個社會文化的一個人
[00:06:13.080 --> 00:06:15.240]  耶穌不用武力
[00:06:15.240 --> 00:06:16.520]  不用強權
[00:06:16.520 --> 00:06:20.000]  不用軍事的力量去統治和改變世界
[00:06:20.000 --> 00:06:26.160]  那麼耶穌可以用什麼方法去改變這個世界呢
[00:06:26.160 --> 00:06:27.440]  那麼耶穌有多少個門徒呢
[00:06:27.440 --> 00:06:28.360]  那時候跟著耶穌
[00:06:28.360 --> 00:06:32.280]  跟了幾年時間
[00:06:32.280 --> 00:06:35.640]  他們其實有一個極概念
[00:06:35.640 --> 00:06:38.360]  這個觀念是跟所有人一樣的
[00:06:38.360 --> 00:06:42.160]  就是他們相信救主神所應許賜給他們的一個
[00:06:42.160 --> 00:06:46.640]  是會帶領他們去推翻羅馬帝國的統治
[00:06:46.640 --> 00:06:48.840]  重建以色列國
[00:06:48.840 --> 00:06:52.080]  那麼耶穌就很自然的成為王
[00:06:52.080 --> 00:06:53.560]  當他們看到
