
[00:00:00.000 --> 00:00:03.000]  幼稚園級的暑期聖經班的家長
[00:00:03.000 --> 00:00:06.000]  各位年長的兄子 各位弟兄姊妹 早安
[00:00:06.000 --> 00:00:09.000]  讓我們先做一次同心祈禱
[00:00:09.000 --> 00:00:16.000]  愛我們 垂聽我們禱告的上帝
[00:00:16.000 --> 00:00:19.000]  我們要向你獻上感恩的祈禱
[00:00:19.000 --> 00:00:23.000]  因為你讓我們生命經歷很多的豐富
[00:00:23.000 --> 00:00:26.000]  讓我們今天有這麼好的環境
[00:00:26.000 --> 00:00:29.000]  這麼舒服的地方去崇拜你
[00:00:29.000 --> 00:00:32.000]  願你讓我們留心去聽
[00:00:32.000 --> 00:00:35.000]  好好地學 又讓我們生命好好地去回應
[00:00:35.000 --> 00:00:39.000]  更讓我們學會堅定去依靠相信你
[00:00:39.000 --> 00:00:41.000]  因為你就是聽我們禱告的上帝
[00:00:41.000 --> 00:00:42.000]  猶言無人口中的言語
[00:00:42.000 --> 00:00:44.000]  弟兄姊妹之間的心思意念
[00:00:44.000 --> 00:00:46.000]  蒙聖靈的啟迪 蒙主的月立
[00:00:46.000 --> 00:00:49.000]  禱告奉耶穌基督的名 阿們
[00:00:49.000 --> 00:00:53.000]  各位弟兄姊妹 今天是敬老主日
[00:00:53.000 --> 00:01:00.000]  特別向當中的年長的兄子獻上祝福
[00:01:00.000 --> 00:01:02.000]  很想問一個問題
[00:01:02.000 --> 00:01:05.000]  你覺得自己老不老?
[00:01:05.000 --> 00:01:09.000]  那些年輕的在點頭
[00:01:09.000 --> 00:01:13.000]  這個問題可能都很難回答
[00:01:13.000 --> 00:01:14.000]  有時候有點尷尬
[00:01:14.000 --> 00:01:16.000]  當然我們都有一些年紀限制
[00:01:16.000 --> 00:01:22.000]  譬如香港好像65歲才有2元坐巴士 坐小巴
[00:01:22.000 --> 00:01:26.000]  可能某些年紀我們某些定義老不老
[00:01:26.000 --> 00:01:27.000]  不過我問老不老
[00:01:27.000 --> 00:01:29.000]  我見到很多弟兄姊妹很多點頭
[00:01:29.000 --> 00:01:30.000]  其實他們都應該
[00:01:30.000 --> 00:01:34.000]  明顯肯定未有那張2元坐巴士的優惠
[00:01:34.000 --> 00:01:36.000]  但都覺得自己老
[00:01:36.000 --> 00:01:38.000]  有時候是一種心態的原因 是不是?
[00:01:38.000 --> 00:01:40.000]  話說前幾天我和一些同學
[00:01:40.000 --> 00:01:41.000]  我主要 大家都知道
[00:01:41.000 --> 00:01:45.000]  平日我有些時間會和中學無人位宣的同學一起
[00:01:45.000 --> 00:01:47.000]  在放暑假都會見一面
