
[00:00:00.000 --> 00:00:03.000]  各位喜樂團隊的大英姐妹,大家好!
[00:00:03.000 --> 00:00:06.500]  有一段時間沒有機會跟大家見面了,
[00:00:06.500 --> 00:00:07.560]  都很掛念,
[00:00:07.560 --> 00:00:13.220]  希望大家在疫情當中都小心地生活,
[00:00:13.220 --> 00:00:16.700]  保持健康,我們遲些再見面。
[00:00:16.700 --> 00:00:22.200]  今天很開心可以跟大家一起有查經的機會,
[00:00:22.200 --> 00:00:27.900]  我們今天看的經文是《爾弗所書四章二十五到三十二節》,
[00:00:28.260 --> 00:00:32.540]  這段經文是這樣的,我讀一次出來:
[00:00:32.540 --> 00:00:35.700]  "所以你們要棄絕謊言,
[00:00:35.700 --> 00:00:39.060]  每個人要與倫舍說誠實話,
[00:00:39.060 --> 00:00:41.900]  因爲我們是互爲之體,
[00:00:41.900 --> 00:00:45.540]  即使生氣也不要犯罪,
[00:00:45.540 --> 00:00:48.940]  不可含怨到日落,
[00:00:48.940 --> 00:00:52.100]  不可給魔鬼留地步,
[00:00:52.100 --> 00:00:54.860]  偷竊的不要再偷,
[00:00:54.860 --> 00:00:58.340]  總要勤勞,親手作正當的事,
[00:00:58.340 --> 00:01:02.340]  這樣纔可以把自己有的分給缺乏的人,
[00:01:02.340 --> 00:01:05.340]  一句壞話也不可出口,
[00:01:05.340 --> 00:01:09.340]  要隨着需要說做就人的好話,
[00:01:09.340 --> 00:01:11.840]  讓聽見的人得益處,
[00:01:11.840 --> 00:01:14.840]  不要使神的聖靈擔憂,
[00:01:14.840 --> 00:01:17.840]  你們原是受了他的印記,
[00:01:17.840 --> 00:01:21.340]  等候得熟的日子來到,
[00:01:21.840 --> 00:01:24.840]  一切的苦毒、憤怒、惱恨、
[00:01:24.840 --> 00:01:27.840]  罵揚、誹謗和一切惡毒
[00:01:27.840 --> 00:01:29.840]  都要從你們中間除掉,
[00:01:29.840 --> 00:01:32.840]  要仁慈相待,全廉穩的心,
[00:01:32.840 --> 00:01:36.340]  彼此饒恕,正如神在基督裏
[00:01:36.340 --> 00:01:38.840]  饒恕了你們一樣。"
[00:01:38.840 --> 00:01:45.840]  如果要爲今天的茶經給一個題目的話,
[00:01:45.840 --> 00:01:50.840]  我就叫它做"話語上的屬靈功法",
[00:01:51.840 --> 00:01:54.340]  這一段經文的教導,
[00:01:54.340 --> 00:01:57.840]  可以說是關乎生活的智慧,
