
[00:00:00.000 --> 00:00:03.140]  我們曾經去探討過
[00:00:03.140 --> 00:00:06.960]  阿巴拉罕不是跟神說了算嗎?
[00:00:06.960 --> 00:00:09.500]  神說要滅所多瑪俄摩拉
[00:00:09.500 --> 00:00:12.940]  他就說如果有五十個好人、義人
[00:00:12.940 --> 00:00:13.700]  就不滅了
[00:00:13.700 --> 00:00:15.240]  一直說說說
[00:00:15.240 --> 00:00:19.100]  就是說原來我們在祈禱中可以跟神說了算
[00:00:19.100 --> 00:00:20.360]  好了
[00:00:20.360 --> 00:00:21.900]  如果我們說贏了
[00:00:21.900 --> 00:00:26.200]  有時候我們會不會在祈禱中跟神說了算
[00:00:26.200 --> 00:00:30.300]  扯 扯一些東西 死扯 爛扯 扯一些東西
[00:00:30.300 --> 00:00:33.500]  但是扯到之後對我們有沒有益呢?
[00:00:33.500 --> 00:00:36.640]  我記得小時候媽媽照顧我放學
[00:00:36.640 --> 00:00:40.600]  每一次放學的時候都會去買東西給我吃
[00:00:40.600 --> 00:00:42.400]  說很熱 很辛苦
[00:00:42.400 --> 00:00:46.140]  其實我會將價值不斷降低
[00:00:46.140 --> 00:00:48.240]  開頭要吃什麼呢?
[00:00:48.240 --> 00:00:49.300]  要吃甜筒
[00:00:49.300 --> 00:00:51.400]  大家知不知道那個年代甜筒是很貴的
[00:00:51.400 --> 00:00:52.900]  媽媽採我多餘
[00:00:52.900 --> 00:00:53.740]  我不管
[00:00:53.740 --> 00:00:55.100]  我就說走吧
[00:00:55.100 --> 00:00:57.340]  他不走 他不理我
[00:00:57.340 --> 00:00:59.600]  我就留在士多那裡
[00:00:59.600 --> 00:01:02.700]  但是當他不理我 走的時候
[00:01:02.700 --> 00:01:04.100]  我看到他沒有回頭
[00:01:04.100 --> 00:01:04.900]  我就追上去
[00:01:04.900 --> 00:01:06.300]  接著我就會降低
[00:01:06.300 --> 00:01:07.400]  吃脆皮薯條
[00:01:07.400 --> 00:01:09.340]  脆皮薯條不行的話
[00:01:09.340 --> 00:01:11.000]  就吃麻條
[00:01:11.000 --> 00:01:12.500]  麻條都不給的時候
[00:01:12.500 --> 00:01:14.500]  最終都給我扭贏的
[00:01:14.500 --> 00:01:16.040]  又會喝蔗汁
[00:01:16.040 --> 00:01:19.240]  在荷里活有一家拍過電影的
[00:01:19.240 --> 00:01:23.140]  我最近離開香港之前都特地懷舊行
[00:01:23.140 --> 00:01:25.140]  那家店鋪還在
[00:01:25.140 --> 00:01:26.540]  但是現在很貴
[00:01:26.540 --> 00:01:28.540]  20元一瓶蔗汁
[00:01:28.540 --> 00:01:30.340]  我無論如何都能夠扭贏
[00:01:30.340 --> 00:01:32.600]  因為媽媽會給我的
[00:01:32.600 --> 00:01:34.900]  但是不讓我吃薯條
[00:01:34.900 --> 00:01:37.800]  她覺得蔗汁也比較清甜
[00:01:37.800 --> 00:01:39.500]  很懷念媽媽
[00:01:39.500 --> 00:01:43.400]  有時候我們同神都能夠扭贏呢?
[00:01:43.400 --> 00:01:47.000]  今天會跟大家看一個王的祈禱
[00:01:47.000 --> 00:01:49.300]  他真的扭贏了神成功
[00:01:49.300 --> 00:01:51.500]  但是對他來說有沒有益處呢?
[00:01:51.500 --> 00:01:55.300]  其實這一篇信息某個程度是下集
[00:01:55.300 --> 00:01:57.100]  為什麼呢?
[00:01:57.100 --> 00:01:59.800]  因為之前發生一件事
[00:01:59.800 --> 00:02:02.300]  就是希西加作亡的時候
[00:02:02.300 --> 00:02:04.800]  亞述大軍壓境
[00:02:04.800 --> 00:02:07.500]  圍困住耶路撒冷
[00:02:07.500 --> 00:02:11.000]  他們面對國破家亡的時候
[00:02:11.000 --> 00:02:13.600]  其實希西加向神祈禱
[00:02:13.600 --> 00:02:17.100]  然後神親自為他們打仗
[00:02:17.100 --> 00:02:21.400]  亞述大軍一夜之間殺了不少
[00:02:21.400 --> 00:02:22.400]  十幾萬人
[00:02:22.400 --> 00:02:24.900]  於是希西加得到勝利
[00:02:24.900 --> 00:02:28.800]  這一篇信息就叫做出奇制勝
[00:02:28.800 --> 00:02:30.100]  那個奇是什麼呢?
[00:02:30.100 --> 00:02:31.200]  就是祈禱的奇
[00:02:31.200 --> 00:02:35.200]  原來我們透過祈禱可以打贏仗
