
[00:00:00.000 --> 00:00:01.480]  因為大家同心祈禱
[00:00:01.480 --> 00:00:05.040]  監察人心的主
[00:00:05.040 --> 00:00:08.800]  求祢今天去監察我們每一個人的心
[00:00:08.800 --> 00:00:12.640]  究竟我們怎樣去過活
[00:00:12.640 --> 00:00:16.200]  我們有沒有過一個叛逆的生活
[00:00:16.200 --> 00:00:19.520]  我們究竟是怕祢還是怕人
[00:00:19.520 --> 00:00:21.680]  求主與我們說話
[00:00:21.680 --> 00:00:23.520]  將現在的時間擺上
[00:00:23.520 --> 00:00:24.960]  祈禱給到奉主的面而靠
[00:00:24.960 --> 00:00:25.960]  阿們
[00:00:26.680 --> 00:00:30.680]  今天的題目是「莫怕以神的話語作守望者」
[00:00:30.680 --> 00:00:34.600]  大家試過作為基督徒
[00:00:34.600 --> 00:00:37.440]  有從聖靈而感動
[00:00:37.440 --> 00:00:43.440]  那一刻是很想去跟對方說一些真誠的話
[00:00:43.440 --> 00:00:48.680]  真誠的話可能是包括去提醒他一些不是
[00:00:48.680 --> 00:00:52.760]  可能第一次有這個感動
[00:00:52.760 --> 00:00:53.760]  而第一次說的時候
[00:00:53.760 --> 00:00:54.800]  可能是很多年前了
[00:00:54.800 --> 00:00:56.120]  剛剛信耶穌的時候
[00:00:56.680 --> 00:00:58.080]  你就如此這樣說
[00:00:58.080 --> 00:01:00.400]  說完之後發覺
[00:01:00.400 --> 00:01:02.560]  他不接受
[00:01:02.560 --> 00:01:07.720]  甚至乎之後大家就好像有種嫌隙
[00:01:07.720 --> 00:01:09.440]  面左左這樣
[00:01:09.440 --> 00:01:11.760]  你試了一次之後
[00:01:11.760 --> 00:01:13.560]  下次再有這個感動
[00:01:13.560 --> 00:01:15.880]  又是要再跟這個人說
[00:01:15.880 --> 00:01:17.280]  你有沒有再去說
[00:01:17.280 --> 00:01:20.240]  誰夠膽會再說
[00:01:20.240 --> 00:01:21.800]  已經有嫌隙了
[00:01:21.800 --> 00:01:23.320]  你再說不就更加大嫌隙
[00:01:23.320 --> 00:01:26.200]  那你說什麼時候說呢
[00:01:26.840 --> 00:01:28.080]  等沒有嫌隙才說
[00:01:28.080 --> 00:01:29.760]  等神跟你說
[00:01:29.760 --> 00:01:31.360]  你說完之後沒事的
[00:01:31.360 --> 00:01:32.600]  他會馬上迴轉
[00:01:32.600 --> 00:01:34.600]  馬上Hallelujah這樣
[00:01:34.600 --> 00:01:35.680]  這樣你才說
[00:01:35.680 --> 00:01:37.800]  往往都不是這樣的結果
[00:01:37.800 --> 00:01:41.080]  我們有時說跟他不是那麼熟
[00:01:41.080 --> 00:01:42.160]  大家不是那麼熟
[00:01:42.160 --> 00:01:43.360]  雖然是同一小組
[00:01:43.360 --> 00:01:45.320]  但同一小組不是代表熟的
[00:01:45.320 --> 00:01:46.480]  雖然大家一起侍奉
[00:01:46.480 --> 00:01:48.160]  但一起侍奉都不代表熟的
[00:01:48.160 --> 00:01:50.200]  大家都是同工
[00:01:50.200 --> 00:01:51.400]  同工都不一定熟的
[00:01:51.400 --> 00:01:52.240]  大家都是執事
[00:01:52.240 --> 00:01:53.600]  執事都不一定熟的
[00:01:53.600 --> 00:01:55.760]  你說我們是門徒訓練的
[00:01:55.760 --> 00:01:56.960]  都不一定熟的
[00:01:56.960 --> 00:01:58.400]  那究竟我
[00:01:58.400 --> 00:02:00.800]  如果聖靈感動你去跟別人傾的時候
[00:02:00.800 --> 00:02:03.200]  是沒那麼熟的時候去傾好一點
[00:02:03.200 --> 00:02:05.440]  還是熟一點的時候去傾好一點呢
[00:02:05.440 --> 00:02:07.080]  給個舉例你
[00:02:07.080 --> 00:02:08.520]  夫婦之間
[00:02:08.520 --> 00:02:10.840]  什麼時候是一個合適的時間呢
[00:02:10.840 --> 00:02:12.720]  你太太或者我太太
[00:02:12.720 --> 00:02:14.400]  去提醒我一些不是
[00:02:14.400 --> 00:02:15.800]  而她真的對的
[00:02:15.800 --> 00:02:17.760]  她說什麼時間提醒我最對
[00:02:17.760 --> 00:02:20.600]  其實可能沒什麼時間對
[00:02:20.600 --> 00:02:22.880]  因為我太太就會覺得
[00:02:23.440 --> 00:02:25.840]  跟你一講你就不開心
