
[00:00:00.000 --> 00:00:04.240]  親愛的頂姐妹們,今天想和你分享詩篇第121篇
[00:00:04.240 --> 00:00:08.040]  相信這篇詩篇,很多人都不會覺得陌生
[00:00:08.040 --> 00:00:14.160]  這篇詩篇的內容是形容到神對外出遠行的人的保守和幫助
[00:00:14.160 --> 00:00:20.000]  所以特別是受到遠離家園、外出旅行的人的喜愛
[00:00:20.000 --> 00:00:22.720]  特別是宣教士
[00:00:22.720 --> 00:00:29.440]  所以在十九世紀由英國到非洲宣教的宣教士
[00:00:29.440 --> 00:00:33.360]  有一個很出名的叫做李文斯頓,David Livingstone
[00:00:33.360 --> 00:00:36.160]  十分喜愛這篇詩篇
[00:00:36.160 --> 00:00:40.880]  當他剛剛要起程去非洲之前
[00:00:40.880 --> 00:00:48.440]  他是用這篇詩篇和他的家人和好朋友去分享和鼓勵的
[00:00:48.440 --> 00:00:51.920]  今天,當我再看這篇詩篇的時候
[00:00:51.920 --> 00:00:57.800]  特別是因為我的女兒,她一連班坐在那裡
[00:00:57.800 --> 00:01:02.360]  最近她就參加過聖經的朗誦比賽
[00:01:02.360 --> 00:01:04.920]  就是朗誦這篇詩篇
[00:01:04.920 --> 00:01:07.600]  我太太覺得這篇詩篇太長了
[00:01:07.600 --> 00:01:10.880]  她很難記得的,就叫我和她解釋
[00:01:10.880 --> 00:01:14.440]  所以現在我說的這版本是成人版
[00:01:14.440 --> 00:01:19.720]  我已經把小朋友的版本告訴她了
[00:01:19.720 --> 00:01:23.120]  所以基本上,我們就看一看
[00:01:23.120 --> 00:01:25.320]  正如我和我的女兒所說
[00:01:25.320 --> 00:01:29.840]  在這段時間裡面,當我們行走人生的道路的時候
[00:01:29.840 --> 00:01:33.160]  當我們走到很長的道路去遠行的時候
[00:01:33.160 --> 00:01:38.040]  究竟這篇詩篇可以給我們有什麼幫助和提醒
[00:01:38.040 --> 00:01:41.640]  如果單單從這篇詩篇的內容來看
[00:01:41.640 --> 00:01:46.360]  基本上我們可以說是沒有什麼資料去肯定它的背景
[00:01:46.360 --> 00:01:48.640]  但是聖經有一個提示
[00:01:48.640 --> 00:01:53.640]  就是這篇詩篇是十五篇上行之詩的其中一篇
[00:01:53.640 --> 00:01:56.200]  十五篇上行之詩就是詩篇一百二十篇
[00:01:56.200 --> 00:01:59.440]  一直到詩篇第一百三十四篇
[00:01:59.440 --> 00:02:02.720]  有不少的學者,包括我自己都相信
[00:02:02.720 --> 00:02:07.560]  這十五篇詩篇很可能是由不同的寫作時間
[00:02:07.560 --> 00:02:10.120]  不同的寫作目的去寫出來
