
[00:00:00.000 --> 00:00:03.980]  今天很高興能夠和大家一起看神的話語
[00:00:03.980 --> 00:00:06.460]  我們看這段經文之詩
[00:00:06.460 --> 00:00:08.080]  我們一起祈禱
[00:00:08.080 --> 00:00:10.080]  天父上帝願意你對我們說話
[00:00:10.080 --> 00:00:12.080]  願意我們在你的面前
[00:00:12.080 --> 00:00:15.480]  有這一份真誠的心
[00:00:15.480 --> 00:00:16.760]  謙卑的心
[00:00:16.760 --> 00:00:18.760]  我們願意赤露塘開
[00:00:18.760 --> 00:00:19.920]  在你的面前
[00:00:19.920 --> 00:00:21.340]  願意憎你的聖靈
[00:00:21.340 --> 00:00:22.920]  透過你自己的說話
[00:00:22.920 --> 00:00:24.620]  在我們心靈的深處
[00:00:24.620 --> 00:00:26.620]  對我們說話
[00:00:26.620 --> 00:00:30.520]  主是彰顯我們內裡一切隱藏的
[00:00:30.520 --> 00:00:32.520]  無論是什麼掙扎
[00:00:32.520 --> 00:00:34.160]  無論是什麼黑暗
[00:00:34.160 --> 00:00:35.600]  我們要恩著
[00:00:35.600 --> 00:00:38.320]  見到上帝你自己的榮耀
[00:00:38.320 --> 00:00:41.200]  見到你自己話語的奇妙
[00:00:41.200 --> 00:00:43.200]  我們願意敬畏你
[00:00:43.200 --> 00:00:45.820]  當我們願意在你的面前
[00:00:45.820 --> 00:00:48.820]  俯伏敬拜和信服的時候
[00:00:48.820 --> 00:00:51.900]  我們看見我們的生命有所改變
[00:00:51.900 --> 00:00:55.040]  因為你永遠都是德性的主
[00:00:55.040 --> 00:00:57.040]  你率領我們在人生
[00:00:57.040 --> 00:00:59.420]  無論面對任何的困難或風暴
[00:00:59.420 --> 00:01:01.040]  我們仍然可以安穩
[00:01:01.040 --> 00:01:03.040]  在你的大能的旁被底下
[00:01:03.040 --> 00:01:05.040]  願意上帝透過今天
[00:01:05.040 --> 00:01:07.040]  早上這一段的經文
[00:01:07.040 --> 00:01:08.540]  讓講的聽的
[00:01:08.540 --> 00:01:09.840]  去同德造就
[00:01:09.840 --> 00:01:11.040]  同被主
[00:01:11.040 --> 00:01:12.380]  你自己的恩典
[00:01:12.380 --> 00:01:15.040]  來真正的遇上我們
[00:01:15.040 --> 00:01:16.440]  我們同心合意祈禱
[00:01:16.440 --> 00:01:17.940]  奉耶穌基督聖名求
[00:01:17.940 --> 00:01:19.540]  阿門
[00:01:19.540 --> 00:01:21.540]  請我們一起來讀這段聖經
[00:01:21.540 --> 00:01:24.940]  哈伯谷書最後這一段的經文
[00:01:24.940 --> 00:01:28.940]  就是整首詩歌的一個結尾
[00:01:28.940 --> 00:01:31.940]  通常我們去到音樂會
[00:01:31.940 --> 00:01:33.940]  或者一個歌劇
[00:01:33.940 --> 00:01:35.940]  去到最終結的部分是怎樣
[00:01:35.940 --> 00:01:37.940]  其實是高潮
[00:01:37.940 --> 00:01:39.940]  是一個總結
[00:01:39.940 --> 00:01:41.940]  那是一個結論
[00:01:41.940 --> 00:01:43.940]  這個結論是什麼呢
[00:01:43.940 --> 00:01:44.940]  想不想知道
[00:01:44.940 --> 00:01:45.940]  想是吧
[00:01:45.940 --> 00:01:46.940]  一起來讀
[00:01:46.940 --> 00:01:48.940]  這四節聖經很短的
[00:01:48.940 --> 00:01:49.940]  但我們一起來讀
[00:01:49.940 --> 00:01:50.940]  十六節
