
[00:00:00.000 --> 00:00:01.000]  哈咯嚕咿呀
[00:00:01.000 --> 00:00:03.500]  弟兄姊妹
[00:00:03.500 --> 00:00:05.760]  每一年復活節
[00:00:05.760 --> 00:00:08.600]  我們看到這些弟兄姊妹們受洗
[00:00:08.600 --> 00:00:11.720]  我想不管我們信主多久
[00:00:11.720 --> 00:00:14.020]  也再一次的讓我們想到
[00:00:14.020 --> 00:00:15.460]  耶穌基督
[00:00:15.460 --> 00:00:17.700]  祂來就是為了我們
[00:00:17.700 --> 00:00:20.080]  人子來為了拯救
[00:00:20.080 --> 00:00:22.520]  尋找拯救世上的人
[00:00:22.520 --> 00:00:24.760]  耶穌基督的復活
[00:00:24.760 --> 00:00:26.260]  也是為了我們
[00:00:26.260 --> 00:00:27.260]  Amen
[00:00:27.260 --> 00:00:29.320]  祂的死未叫我們稱義
[00:00:29.320 --> 00:00:31.740]  但是祂的復活要叫我們得聖
[00:00:31.740 --> 00:00:32.740]  Amen
[00:00:32.740 --> 00:00:36.980]  所以在菲律賓書第三章第十節
[00:00:36.980 --> 00:00:40.180]  十節十一節我們來讀這段聖經
[00:00:40.180 --> 00:00:42.840]  第三章十到十一節
[00:00:42.840 --> 00:00:46.320]  我們一起來讀這段聖經來預備請
[00:00:46.320 --> 00:00:48.320]  使我認識基督
[00:00:48.320 --> 00:00:50.920]  曉得祂復活的大人
[00:00:50.920 --> 00:00:54.060]  並且曉得和祂一同受苦
[00:00:54.060 --> 00:00:56.060]  效法祂的死
[00:00:56.060 --> 00:01:00.000]  或者我也得以從死裡復活
[00:01:00.000 --> 00:01:02.020]  保羅在這裡提到
[00:01:02.020 --> 00:01:04.720]  整個菲律賓書我們在過去
[00:01:04.720 --> 00:01:07.620]  第一章已經快講完了
[00:01:07.620 --> 00:01:10.120]  那我們今天看到在第三章裡面
[00:01:10.120 --> 00:01:12.320]  他也提到耶穌基督的復活
[00:01:12.320 --> 00:01:15.000]  他說使我認識基督
