
[00:00:00.000 --> 00:00:04.200]  今日當然係要講祝福嘅說話啦
[00:00:04.200 --> 00:00:11.000]  咁我哋好多謝施班今日係又色彩繽紛
[00:00:11.000 --> 00:00:13.600]  為我哋帶嚟咁大嘅祝福
[00:00:13.600 --> 00:00:18.400]  不過我覺得好似唱嗰首歌短咗啲
[00:00:18.400 --> 00:00:20.000]  咁你覺唔覺呀
[00:00:20.000 --> 00:00:22.200]  係咪想佢再唱多啲呀
[00:00:22.200 --> 00:00:23.800]  不過都唔容易㗎啦
[00:00:23.800 --> 00:00:27.000]  咁我睇下我哋音響嗰邊呢
[00:00:27.000 --> 00:00:31.600]  能唔能夠幫我哋播一首嘅歌呢
[00:00:31.600 --> 00:00:35.600]  大家聽下呢一首祝福嘅歌
[00:00:35.600 --> 00:00:39.400]  應該係呢個John Rutter所寫嘅
[00:00:39.400 --> 00:00:43.200]  The Lord Bless You And Keep You
[00:00:43.200 --> 00:00:44.800]  我哋大家聽下
[00:00:57.000 --> 00:01:12.600]  The Lord Bless You And Keep You
[00:01:12.600 --> 00:01:29.600]  The Lord make His face to shine upon you And give gracious answer to you
[00:01:29.600 --> 00:01:41.600]  The Lord is love, the Lord of His love can answer for you
[00:01:41.600 --> 00:01:54.600]  The Lord is love, the Lord of His love can answer for you
[00:01:54.600 --> 00:02:18.600]  And give you peace
[00:02:18.600 --> 00:02:25.600]  Amen
[00:02:49.600 --> 00:03:05.600]  在英國皇室有好多嘅重大嘅日子呢
[00:03:05.600 --> 00:03:08.600]  都係會有呢一首歌嘅
[00:03:08.600 --> 00:03:13.600]  咁呢首歌嘅歌詞其實就係剛才修明執事幫我哋所讀嘅
[00:03:13.600 --> 00:03:21.600]  呢一段嘅說話係一個非常之遠古嘅一段祝福嘅說話
[00:03:21.600 --> 00:03:27.600]  係叫做阿倫嘅祝福或者叫做祭司嘅祝福
[00:03:27.600 --> 00:03:30.600]  呢一個福係邊度嚟呢
[00:03:30.600 --> 00:03:33.600]  我哋中國人係好求福嘅
[00:03:33.600 --> 00:03:35.600]  好鍾意福嘅
[00:03:35.600 --> 00:03:40.600]  不過如果我哋冇有呢一個阿倫嘅福
[00:03:40.600 --> 00:03:44.600]  唔懂得嗰個福嘅源頭係邊度嚟
[00:03:44.600 --> 00:03:48.600]  亦都唔懂得福到底內容係乜嘢
[00:03:48.600 --> 00:03:55.600]  我諗就係中國人一直都兜兜轉轉
[00:03:55.600 --> 00:04:01.600]  響自己嘅迷霧裏面去到求福
[00:04:01.600 --> 00:04:03.600]  係去到作福
[00:04:03.600 --> 00:04:07.600]  但係結果都係失去呢個福
[00:04:07.600 --> 00:04:11.600]  特別係農曆新年嘅時候
[00:04:11.600 --> 00:04:14.600]  我時常都有好深嘅感觸
[00:04:14.600 --> 00:04:17.600]  就係嗰啲唔知乜嘢嘅書
