
[00:00:00.000 --> 00:00:03.000]  今天要講的經文是在《士徒行傳》第九章
[00:00:03.000 --> 00:00:05.500]  我不知道你對《士徒行傳》有多認識
[00:00:05.500 --> 00:00:09.500]  第九章是一個很重要的轉捩點
[00:00:09.500 --> 00:00:13.000]  因為是講保羅,原本他叫做蘇羅
[00:00:13.000 --> 00:00:18.500]  講他在大馬式,或者現在的譯法叫大馬事隔的路上
[00:00:18.500 --> 00:00:20.500]  蒙召這件事
[00:00:20.500 --> 00:00:23.000]  可能你聽過很多次了
[00:00:23.000 --> 00:00:25.500]  不過容讓我們今天再聽一次
[00:00:25.500 --> 00:00:28.000]  其實有哪一段聖經你沒聽過
[00:00:28.000 --> 00:00:30.000]  可能很多段你都聽過
[00:00:30.000 --> 00:00:33.000]  不過每一次希望有新的突破
[00:00:33.000 --> 00:00:37.000]  今天很希望透過一路去解釋這段聖經
[00:00:37.000 --> 00:00:40.000]  讓你去學一下,或者讓你去想一下
[00:00:40.000 --> 00:00:43.000]  到底一段聖經可以怎樣看
[00:00:43.000 --> 00:00:48.000]  以致你看得深入一點,或者豐富一點
[00:00:48.000 --> 00:00:50.000]  因為那段經文我很熟悉
[00:00:50.000 --> 00:00:52.000]  但我有時候想,就是一些很熟悉的經文
[00:00:52.000 --> 00:00:54.000]  所以我們越讀越快
[00:00:54.000 --> 00:00:56.000]  我經常說讀經只有兩樣東西
[00:00:56.000 --> 00:01:00.000]  一是讀到家譜、律法那些,你就揭了
[00:01:00.000 --> 00:01:02.000]  因為看了都不明白
[00:01:02.000 --> 00:01:05.000]  一是另外那堆是甚麼呢?看過了,所以都是揭的
[00:01:05.000 --> 00:01:08.000]  所以如果你這樣讀經,讀四章是很快的
[00:01:08.000 --> 00:01:10.000]  因為你三秒就揭完那四章聖經
[00:01:10.000 --> 00:01:12.000]  要不就是沒看過,那不會再看
[00:01:12.000 --> 00:01:15.000]  要不就是已經很熟悉,所以又不需要再看
[00:01:15.000 --> 00:01:18.000]  所以今天有十九節的聖經
[00:01:18.000 --> 00:01:20.000]  讓我們慢慢看,好嗎?
[00:01:20.000 --> 00:01:22.000]  我們一起祈禱
[00:01:22.000 --> 00:01:27.000]  主多謝你,讓我們可以在這個殿裡讀你的話語
[00:01:27.000 --> 00:01:30.000]  讀史徒行傳,讀老奸醫生的著作
[00:01:30.000 --> 00:01:35.000]  讀一段歷史,就是保羅怎樣在大馬色的路上
[00:01:35.000 --> 00:01:38.000]  遇見上帝,怎樣成為他一生的轉捩點
[00:01:38.000 --> 00:01:40.000]  主就求你讓我們同在
[00:01:40.000 --> 00:01:42.000]  聽我們祈禱,是奉耶穌基督的名
[00:01:42.000 --> 00:01:44.000]  好,那就開始吧
[00:01:44.000 --> 00:01:49.000]  讀經是我的強項,不過我將它交給你
[00:01:49.000 --> 00:01:52.000]  請等姐妹讀完經文,1,2,3
[00:02:20.000 --> 00:02:25.000]  突然有一道光從天上下落,四面飄赤的花
[00:02:25.000 --> 00:02:30.000]  下落到在地,聽見有聲音對話說
[00:02:30.000 --> 00:02:34.000]  數落數落,你為甚麼不愛我
[00:02:34.000 --> 00:02:37.000]  答說,現在你是誰
[00:02:37.000 --> 00:02:41.000]  主說,我就是你所迫害的耶穌
[00:02:41.000 --> 00:02:49.000]  祈禱尋尋尋去,你應該做的事,已經有人告訴你
[00:02:49.000 --> 00:02:51.000]  無聞聞起的,淡淡一淚
[00:02:51.000 --> 00:02:55.000]  注入了我的口,就為家門的見證人
[00:02:55.000 --> 00:02:57.000]  卻看不見人
[00:02:57.000 --> 00:03:01.000]  數落數地上起落,睜開眼睛
[00:03:01.000 --> 00:03:03.000]  竟不見什麼
[00:03:03.000 --> 00:03:13.000]  有人買馬的手,你打進了大馬士革,打三年才摸到我的肩,教他聽教他學
[00:03:13.000 --> 00:03:18.000]  這段經文大致上可以,十九節的經文大致上可以這樣分
[00:03:18.000 --> 00:03:20.000]  有頭一半和尾一半
[00:03:20.000 --> 00:03:24.000]  頭一半就交代了為甚麼數落要去大馬士革
[00:03:24.000 --> 00:03:29.000]  又交代了他在路上經歷的一些奇事
[00:03:29.000 --> 00:03:33.000]  就是突然之間有光,然後瞎了,然後三天三夜不吃東西
[00:03:33.000 --> 00:03:37.000]  有人拉他去大馬士革的市中心
[00:03:37.000 --> 00:03:43.000]  下半部是說另一個名不經傳的門徒
[00:03:43.000 --> 00:03:47.000]  聖經說他叫阿拿尼亞,大家都熟悉
[00:03:47.000 --> 00:03:51.000]  這段經文請弟兄姊妹繼續讀下去
[00:03:51.000 --> 00:03:56.000]  那時在大馬士革,有一個門徒,名叫阿拿尼亞
[00:03:56.000 --> 00:04:00.000]  主在異象中對他說,阿拿尼亞
[00:04:00.000 --> 00:04:03.000]  他說,主啊,我在這裡
[00:04:03.000 --> 00:04:07.000]  主對他說,起來往那叫直街的路上
[00:04:07.000 --> 00:04:13.000]  再由大的家裡去到一個大素人,名叫素羅
[00:04:13.000 --> 00:04:20.000]  他正在禱告,在異象中看見了一個人,名叫阿拿尼亞
[00:04:20.000 --> 00:04:25.000]  進來為他按手,讓他能再看得見
[00:04:25.000 --> 00:04:32.000]  阿拿尼亞回答,主啊,我聽見很多人說到這個人
[00:04:56.000 --> 00:05:06.000]  阿拿尼亞就去了,進了那家
[00:05:25.000 --> 00:05:38.000]  經文讀到這裡
[00:05:38.000 --> 00:05:42.000]  簡單地說,這段經文是說素羅如何遇見主
[00:05:42.000 --> 00:05:49.000]  說他如何從一個迫害耶穌的人,變成一個耶穌的使徒
[00:05:49.000 --> 00:05:52.000]  可能有些人回教會不是很久
[00:05:52.000 --> 00:05:56.000]  所以你不知為何明明有說保羅,裡面又說素羅
[00:05:56.000 --> 00:05:59.000]  到底是讀錯了還是甚麼呢?
[00:05:59.000 --> 00:06:05.000]  其實保羅和素羅是同一個人
[00:06:05.000 --> 00:06:10.000]  那為何有兩個名字呢?
[00:06:10.000 --> 00:06:13.000]  聖經有很多改名字
[00:06:13.000 --> 00:06:16.000]  譬如這個人信耶穌,然後上帝幫他改過名字
[00:06:16.000 --> 00:06:19.000]  在這裡不牽涉這件事
[00:06:19.000 --> 00:06:25.000]  因為素羅是保羅的希伯來文的名字
[00:06:25.000 --> 00:06:28.000]  而保羅是希列文的名字
[00:06:28.000 --> 00:06:31.000]  等於我不知道你認識多少個加文
[00:06:31.000 --> 00:06:36.000]  加文的英文名字,很多都叫你就是
[00:06:36.000 --> 00:06:39.000]  所以有人叫他卡文,又是他
[00:06:39.000 --> 00:06:41.000]  有時叫他加文,又是他
[00:06:41.000 --> 00:06:42.000]  為何有兩個名字呢?
[00:06:42.000 --> 00:06:46.000]  因為一個是中文,一個是英文,就是這麼簡單
[00:06:46.000 --> 00:06:50.000]  我經常覺得這段經文很有趣,或者很適合拍戲
[00:06:50.000 --> 00:06:53.000]  因為有很多科幻的元素
[00:06:53.000 --> 00:06:58.000]  突然有大光,有些CG,好像四面包著耶穌
[00:06:58.000 --> 00:07:02.000]  不是包著耶穌,是包著保羅,你怎麼沒有反應?
[00:07:02.000 --> 00:07:07.000]  包著保羅,有很多很特別的事發生
[00:07:07.000 --> 00:07:10.000]  但我不知道你看完這段經文
[00:07:10.000 --> 00:07:12.000]  剛才讀了一次
[00:07:12.000 --> 00:07:17.000]  你有沒有問題想問關於這段經文?
[00:07:17.000 --> 00:07:20.000]  你會不會問到底
[00:07:20.000 --> 00:07:25.000]  剛才保羅那三日三夜做什麼呢?
[00:07:25.000 --> 00:07:31.000]  上帝除了,或者耶穌除了跟他講了那句話之外
[00:07:31.000 --> 00:07:34.000]  那三日三夜有沒有再跟他說話呢?
[00:07:34.000 --> 00:07:37.000]  有沒有講關於他的使命?
[00:07:37.000 --> 00:07:40.000]  有沒有講關於他的將來?
[00:07:40.000 --> 00:07:43.000]  有沒有講關於他的任何事情呢?
[00:07:43.000 --> 00:07:46.000]  那三日三夜是不短的
[00:07:46.000 --> 00:07:49.000]  三日三夜發生了什麼呢?
[00:07:49.000 --> 00:07:53.000]  另外,聖經有講除了有保羅,還有什麼呢?
[00:07:53.000 --> 00:07:57.000]  同行的人,同行的人是什麼人呢?
[00:07:57.000 --> 00:07:59.000]  聖經沒有交代過
[00:07:59.000 --> 00:08:02.000]  有很多歷史學家有兩個推論
[00:08:02.000 --> 00:08:07.000]  他說當時有很多人在路上,由一個城去另一個城
[00:08:07.000 --> 00:08:13.000]  為了安全起見,他們會有個地方聚在一起,一起走
[00:08:13.000 --> 00:08:17.000]  可能真的不認識,純粹約在同一架巴士
[00:08:17.000 --> 00:08:18.000]  這是第一個可能性
