
[00:00:00.000 --> 00:00:00.800]  開不開心?
[00:00:00.800 --> 00:00:02.800]  是,今天是新年
[00:00:02.800 --> 00:00:06.840]  我看到大家每次我們見面都會給詩會長祝賀
[00:00:06.840 --> 00:00:08.600]  新年快樂,身體健康
[00:00:08.600 --> 00:00:13.640]  這個我們待會有機會在送禮完的時候都能夠給詩祝福
[00:00:13.640 --> 00:00:17.120]  今天跟大家講的題目呢,爲主開心
[00:00:17.120 --> 00:00:19.480]  不知道會聯想到什麼
[00:00:19.480 --> 00:00:21.320]  不過你看到我這樣擺都知道呢
[00:00:21.320 --> 00:00:25.760]  不是就這樣說,好開心啊,好happy啊,好快樂啊
[00:00:25.760 --> 00:00:29.080]  而是我們真的要爲主打開我們的心
[00:00:29.560 --> 00:00:32.560]  用兩個經文去思想這個題目是怎麼給我們的
[00:00:32.560 --> 00:00:36.840]  一開始之前我們都看下這些祝福的字句
[00:00:36.840 --> 00:00:39.080]  這個字呢,是師母給我的
[00:00:39.080 --> 00:00:41.640]  不知道大家知不知道這個字是什麼字
[00:00:41.640 --> 00:00:42.840]  我猜大家都會知道的
[00:00:42.840 --> 00:00:45.160]  特別現在我們有個聖言書法班
[00:00:45.160 --> 00:00:47.160]  師母又學了寫這個字
[00:00:47.160 --> 00:00:49.160]  是用,是不是叫算書?
[00:00:49.160 --> 00:00:50.920]  算書,是啦
[00:00:50.920 --> 00:00:54.480]  算書來源於秦代的文字演變的
[00:00:54.480 --> 00:00:56.720]  所以都是比較遠古的文字
[00:00:57.040 --> 00:01:00.520]  比較象形化一點,去看,去明白這個字
[00:01:00.520 --> 00:01:04.160]  大家應該都知道這個字是什麼字,這個就是主字
[00:01:04.160 --> 00:01:08.000]  但是你看到這個形狀就好像一個燈臺這樣的
[00:01:08.000 --> 00:01:11.040]  其實那個點呢,就是那個火的意思
[00:01:11.040 --> 00:01:12.840]  原來意思就是說呢
[00:01:12.840 --> 00:01:19.400]  在古代,不是那麼多人有燈臺或者可以有那些光
[00:01:19.400 --> 00:01:21.800]  即是有燈都已經是很奢侈的了
[00:01:21.800 --> 00:01:25.120]  所以一條比較貧窮的村裏面呢
[00:01:25.560 --> 00:01:28.240]  能夠有燈臺的,是誰?
[00:01:28.240 --> 00:01:29.360]  就是村長
[00:01:29.360 --> 00:01:34.600]  所以如果你想家裏有光,你要點火
[00:01:34.600 --> 00:01:39.800]  你就去村長那裏,將你的燈臺和村長的燈臺點燃
[00:01:39.800 --> 00:01:42.600]  拿到那些光就可以回家發光
[00:01:42.600 --> 00:01:46.760]  所想而知,這個主也是一個領袖的意思
[00:01:46.760 --> 00:01:49.040]  那教會的主是誰?
[00:01:49.040 --> 00:01:51.480]  很明顯就是我們主耶穌基督
[00:01:51.480 --> 00:01:54.200]  所以當我看這個字的時候,令我想起
[00:01:54.560 --> 00:01:57.200]  燈臺,主耶穌基督就是我們的燈臺
[00:01:57.200 --> 00:02:00.760]  當我們說我們要以心建家
[00:02:00.760 --> 00:02:03.560]  我們就思想,究竟主耶穌基督
[00:02:03.560 --> 00:02:06.600]  如何在我們家裏面成爲我們的主呢?
[00:02:06.600 --> 00:02:08.560]  我們有沒有開放我們的家
[00:02:08.560 --> 00:02:11.680]  讓耶穌基督成爲我們生命的主呢?
[00:02:11.680 --> 00:02:15.520]  然後我們再最後去做一些訊息的時候
[00:02:15.520 --> 00:02:17.120]  我再帶領大家有個祈禱
[00:02:17.120 --> 00:02:19.920]  求主開我們的心去聆聽主的話語
[00:02:19.920 --> 00:02:21.680]  七月天我們多謝你
[00:02:21.920 --> 00:02:25.920]  今天你讓在年初二當中帶領我們衆弟姊妹
[00:02:25.920 --> 00:02:28.800]  無論是晚堂的,早堂的,午堂的
[00:02:28.800 --> 00:02:32.160]  我們一起來到教會,來到主的面前
[00:02:32.160 --> 00:02:37.560]  我們願意領受主的光,主的發熱,主的燈臺
[00:02:37.560 --> 00:02:40.600]  照亮我們主的心,幫助我們
[00:02:40.600 --> 00:02:42.920]  讓我們能夠打開我們的耳朵
[00:02:42.920 --> 00:02:45.080]  打開我們的心去聆聽你的話語
[00:02:45.080 --> 00:02:49.200]  又求你這個聖靈打開我們的心
[00:02:49.200 --> 00:02:51.520]  讓你的話語更生我們的生命
[00:02:51.880 --> 00:02:54.400]  以致我們能夠活出來,行出來
[00:02:54.400 --> 00:02:57.160]  將今天的道攻掩加在你的面前
[00:02:57.160 --> 00:02:59.640]  讓我成爲你的僕人去宣講
[00:02:59.640 --> 00:03:03.320]  求主帶領,禱告奉耶穌基督名求,阿彌陀佛
[00:03:03.320 --> 00:03:07.640]  多謝Winston今天跟我們讀了經文
[00:03:07.640 --> 00:03:12.440]  我分了兩段去宣講
[00:03:12.440 --> 00:03:16.280]  第一段先送兩句金句給大家
[00:03:16.280 --> 00:03:17.360]  叫《輝春》
[00:03:17.360 --> 00:03:20.400]  主居我心,共享我言
[00:03:20.680 --> 00:03:23.040]  剛纔聽到一句經文說"喫飯"
[00:03:23.040 --> 00:03:24.600]  可能跟我們平時看不同
[00:03:24.600 --> 00:03:29.040]  原來新和合本的修煉版的翻譯跟平時不同了
[00:03:29.040 --> 00:03:33.120]  我們在方派裏面
[00:03:33.120 --> 00:03:36.960]  很喜歡將經文金句式的應用
[00:03:36.960 --> 00:03:40.840]  剛纔讀20節特別是說
[00:03:40.840 --> 00:03:43.080]  看我站在門外寇門
[00:03:43.080 --> 00:03:45.680]  又有聽見我聲音就開門的
[00:03:45.680 --> 00:03:47.360]  我要進到他那裏去
[00:03:47.360 --> 00:03:48.200]  他與我
[00:03:48.520 --> 00:03:51.080]  我與他一起喫飯一起坐席
