
[00:00:00.000 --> 00:00:03.500]  在過年前說八福相當好
[00:00:03.500 --> 00:00:06.000]  中國人說五福臨門
[00:00:06.000 --> 00:00:09.500]  基督徒說八福更完整
[00:00:09.500 --> 00:00:11.500]  五福是哪五福呢?
[00:00:11.500 --> 00:00:19.500]  福是富、壽、安、康、靈
[00:00:19.500 --> 00:00:22.500]  五個福氣就是
[00:00:22.500 --> 00:00:26.500]  你有錢、有權、有勢
[00:00:26.500 --> 00:00:29.500]  有了這些東西就要有長命
[00:00:29.500 --> 00:00:32.500]  長命又沒有健康又不行
[00:00:32.500 --> 00:00:36.500]  健康心裡面沒有平安又不行
[00:00:36.500 --> 00:00:38.500]  你有了這些東西
[00:00:38.500 --> 00:00:41.000]  但是原來中國人說
[00:00:41.000 --> 00:00:43.500]  你怎樣埋沒也是一種福氣
[00:00:43.500 --> 00:00:46.500]  有些人畢生有權、有勢
[00:00:46.500 --> 00:00:50.500]  但是最差臨門一腳就很辛苦
[00:00:50.500 --> 00:00:51.500]  真的很慘
[00:00:51.500 --> 00:00:53.500]  我記得跟大家說過
[00:00:53.500 --> 00:00:57.500]  中國人很喜歡吃人參
[00:00:57.500 --> 00:01:00.500]  有些西醫跟我說吃人參
[00:01:00.500 --> 00:01:02.000]  死得很慘
[00:01:02.000 --> 00:01:03.000]  為什麼呢?
[00:01:03.000 --> 00:01:06.500]  因為斷氣那條氣還是很好的
[00:01:06.500 --> 00:01:10.500]  拉得很長
[00:01:10.500 --> 00:01:13.500]  所以中國人最後
[00:01:13.500 --> 00:01:18.000]  善終、靈養
[00:01:18.000 --> 00:01:20.500]  最近香港才有這個觀念
[00:01:20.500 --> 00:01:24.500]  怎樣為你的生命畫上句號
[00:01:24.500 --> 00:01:27.000]  都是一種恩典和福氣
[00:01:27.000 --> 00:01:31.500]  前面我們講過一些有關八福的悼論
[00:01:31.500 --> 00:01:34.500]  講八福是什麼一回事
[00:01:34.500 --> 00:01:36.500]  還有講了七個福氣
[00:01:36.500 --> 00:01:39.500]  今天我們就講最後一福
[00:01:39.500 --> 00:01:42.500]  和總結這八個福
[00:01:42.500 --> 00:01:46.500]  我就給一些四字的提要
[00:01:46.500 --> 00:01:48.500]  方便大家記
[00:01:48.500 --> 00:01:51.500]  最後這個福
[00:01:51.500 --> 00:01:54.500]  其他的經文只有一節
[00:01:54.500 --> 00:01:57.500]  不過最後這個福
[00:01:57.500 --> 00:01:59.500]  可能是最大的福氣
[00:01:59.500 --> 00:02:02.500]  是有三節的經文
[00:02:02.500 --> 00:02:03.500]  比較多
[00:02:03.500 --> 00:02:05.500]  這三節的經文
[00:02:05.500 --> 00:02:09.500]  首先在第十節說
[00:02:09.500 --> 00:02:12.500]  為以受逼迫的人有福了
[00:02:12.500 --> 00:02:15.500]  因為天國是他們的
[00:02:15.500 --> 00:02:19.500]  如果你根據前面七個福氣的模式
[00:02:19.500 --> 00:02:22.500]  最後那個福氣為以受逼迫
[00:02:22.500 --> 00:02:25.500]  和獲得的獎賞
[00:02:25.500 --> 00:02:27.500]  就好像第一福一樣
[00:02:27.500 --> 00:02:29.500]  天國是他們的
[00:02:29.500 --> 00:02:34.500]  但你再讀第十一和十二
[00:02:34.500 --> 00:02:36.500]  你就會產生兩個問題
[00:02:36.500 --> 00:02:38.500]  十一和十二說
[00:02:38.500 --> 00:02:40.500]  人若因我辱罵你們
[00:02:40.500 --> 00:02:42.500]  逼迫你們
[00:02:42.500 --> 00:02:44.500]  捏造各樣壞話
[00:02:44.500 --> 00:02:46.500]  誹謗你們
[00:02:46.500 --> 00:02:48.500]  你們就有福了
[00:02:48.500 --> 00:02:50.500]  多了一個福
[00:02:50.500 --> 00:02:52.500]  應當歡喜快樂
[00:02:52.500 --> 00:02:55.500]  因為你們在天上的賞賜是大的
[00:02:55.500 --> 00:02:57.500]  在你們以前的先知
[00:02:57.500 --> 00:03:00.500]  人也是這樣逼迫他們
[00:03:00.500 --> 00:03:03.500]  我記得在開頭第一講
[00:03:03.500 --> 00:03:05.500]  究竟是八福還是九福
[00:03:05.500 --> 00:03:08.500]  如果你計算福字來說
[00:03:08.500 --> 00:03:10.500]  就是九個福
[00:03:10.500 --> 00:03:14.500]  但是如果你將這三節整體來看
[00:03:14.500 --> 00:03:16.500]  又可以是八個福
[00:03:16.500 --> 00:03:18.500]  因為為甚麼
[00:03:18.500 --> 00:03:21.500]  十一和十二節再詳細列
[00:03:21.500 --> 00:03:26.500]  辱罵、逼迫、捏造各樣壞話
[00:03:26.500 --> 00:03:28.500]  誹謗你們
[00:03:28.500 --> 00:03:30.500]  其實就是逼迫的一種
[00:03:30.500 --> 00:03:32.500]  逼迫有很多種
[00:03:32.500 --> 00:03:34.500]  不讓你坐、不讓你吃
[00:03:34.500 --> 00:03:36.500]  都是逼迫的
[00:03:36.500 --> 00:03:38.500]  我想來到這裡不會的
[00:03:38.500 --> 00:03:40.500]  就算你不是他們那間公司
[00:03:40.500 --> 00:03:42.500]  坐桌子也沒問題的
[00:03:42.500 --> 00:03:44.500]  為以受逼迫
[00:03:44.500 --> 00:03:46.500]  所以我們看
[00:03:46.500 --> 00:03:48.500]  都是同一樣東西
[00:03:48.500 --> 00:03:50.500]  如果是同一樣東西的話
[00:03:50.500 --> 00:03:52.500]  你讀經也會有一個問題
[00:03:52.500 --> 00:03:55.500]  究竟第八福那個福呢
[00:03:55.500 --> 00:03:59.500]  是天國是你們的
