
[00:00:00.000 --> 00:00:05.000]  丁姐妹今天和大家分享這個很特別的訊息
[00:00:05.000 --> 00:00:10.000]  在盼望裏面邁向更美好的新一天
[00:00:10.000 --> 00:00:15.000]  上主要來臨是張琳琦一個很重要的提醒
[00:00:15.000 --> 00:00:18.000]  在崇拜開始的時候我們點起張琳琦的蠟燭
[00:00:18.000 --> 00:00:23.000]  姓維換了紫色的姓維和紫色的牧師帶
[00:00:23.000 --> 00:00:27.000]  更重要就是今天我們帶來一班來自非洲的朋友
[00:00:27.000 --> 00:00:31.000]  說total和我們分享什麼叫做盼望
[00:00:31.000 --> 00:00:38.000]  丁姐妹在張琳琦我們以盼望作為我們整個張琳琦的目標
[00:00:38.000 --> 00:00:44.000]  又或者提醒你今天帶著什麼心情去參與今天的崇拜
[00:00:44.000 --> 00:00:47.000]  可能我們當中有第一次參與我們崇拜的新朋友
[00:00:47.000 --> 00:00:49.000]  我再一次歡迎你
[00:00:49.000 --> 00:00:52.000]  在這個地方當你聽到這麼澎湃這麼雀躍的音樂
[00:00:52.000 --> 00:00:53.000]  可能你覺得很有活力
[00:00:53.000 --> 00:00:58.000]  很被感動又或者可能你正在反映自己
[00:00:58.000 --> 00:01:00.000]  骨頭都不太能動了
[00:01:00.000 --> 00:01:02.000]  所以跳兩下都有點累了
[00:01:02.000 --> 00:01:05.000]  又或者你甚至想起就是剛才聽到的故事
[00:01:05.000 --> 00:01:08.000]  很多很感人但是同樣都有很多苦
[00:01:08.000 --> 00:01:10.000]  很多的難處
[00:01:10.000 --> 00:01:12.000]  可能我們生命裏面都充滿著
[00:01:12.000 --> 00:01:14.000]  或者經歷著很多的難處
[00:01:14.000 --> 00:01:20.000]  近來有一部電影剛剛成為了香港最賣座的本地港產片
[00:01:20.000 --> 00:01:21.000]  你看了沒有
[00:01:21.000 --> 00:01:23.000]  看了很多都看了
[00:01:23.000 --> 00:01:26.000]  剛剛好像超過了一億二千萬
[00:01:26.000 --> 00:01:28.000]  那裏叫做破地獄
[00:01:28.000 --> 00:01:29.000]  記住有個中間是一點的
[00:01:29.000 --> 00:01:30.000]  好 電影節目到來問我
[00:01:30.000 --> 00:01:33.000]  第一句就是問我 穆斯納為什麼要看這部電影
[00:01:33.000 --> 00:01:36.000]  當然今天不跟大家討論這個宗教不同的表達
[00:01:36.000 --> 00:01:37.000]  當然去看電影沒問題的
[00:01:37.000 --> 00:01:38.000]  大家記住
[00:01:38.000 --> 00:01:40.000]  我們不會去參與那些其他宗教的活動
[00:01:40.000 --> 00:01:43.000]  不過我們去明白尊重去看電影
[00:01:43.000 --> 00:01:44.000]  我本科都是讀宗教研究
