
[00:00:00.000 --> 00:00:04.280]  感恩今天能跟大家分享上帝的話語
[00:00:04.280 --> 00:00:06.400]  我先介紹我自己的名字叫丹尼斯
[00:00:06.400 --> 00:00:13.360]  今早我們跟大家思想的經文在《創世紀》第28章第10至22節
[00:00:13.360 --> 00:00:16.640]  我們的講題是《在前往別斯巴的路上》
[00:00:16.640 --> 00:00:19.040]  讓我們開始前一條低頭草稿
[00:00:19.040 --> 00:00:26.480]  阿伯父感恩你招聚我們去聆聽你的話語
[00:00:26.480 --> 00:00:29.120]  感恩你給了我們你的兒子
[00:00:29.120 --> 00:00:31.280]  他爲我們死而復活
[00:00:31.280 --> 00:00:33.680]  他給予我們一個新的生命
[00:00:33.680 --> 00:00:35.920]  多謝你你賜給我們你的寶貴話語
[00:00:35.920 --> 00:00:40.160]  今天當我們思想這段經文在《創世紀》的時候
[00:00:40.160 --> 00:00:45.600]  求你啓示給我們看你偉大無比福音的榮耀
[00:00:45.600 --> 00:00:52.000]  給我們一個祈禱和聆聽的心去思想你的話語
[00:00:52.000 --> 00:00:54.720]  我們禱告交託奉教救主的宗明志祈教
[00:00:54.720 --> 00:00:56.640]  阿伯
[00:00:56.640 --> 00:01:00.960]  其中我一個很喜歡的福音單章叫做《人生二路》
[00:01:00.960 --> 00:01:01.920]  如果你有印象
[00:01:01.920 --> 00:01:05.360]  牧師都有講過幾次這個福音單章
[00:01:05.360 --> 00:01:07.040]  叫做《Two ways to live》
[00:01:07.040 --> 00:01:10.800]  這個作者叫做Philip Jansen
[00:01:10.800 --> 00:01:13.440]  這個福音單章一個很特別的地方就是
[00:01:13.440 --> 00:01:17.440]  他不單止很清楚地說明福音的內容是什麼
[00:01:17.440 --> 00:01:19.920]  而是他很清楚地說
[00:01:19.920 --> 00:01:24.800]  基督徒的人生是一個降服在上帝管治下的人生
[00:01:24.800 --> 00:01:27.360]  是一個敬拜的人生
[00:01:27.360 --> 00:01:30.960]  Philip Jansen他寫了這個福音單章之後
[00:01:30.960 --> 00:01:32.400]  他在一個interview裏面
[00:01:32.400 --> 00:01:37.280]  他曾經講過爲什麼他要寫這個福音單章
[00:01:37.280 --> 00:01:40.400]  因爲他原來察覺到在當時
[00:01:40.400 --> 00:01:44.560]  在他那個年齡層大概五十多歲的基督徒裏面
[00:01:44.560 --> 00:01:47.920]  有很多人沒有按着福音來生活
[00:01:47.920 --> 00:01:50.480]  他們只是星期天回教會
[00:01:50.480 --> 00:01:52.080]  但是他們出了教會之後
[00:01:52.080 --> 00:01:54.560]  他們的平日又回到世界
[00:01:54.560 --> 00:01:56.960]  過回世界的生活
[00:01:56.960 --> 00:02:00.480]  因此Philip Jansen就寫了《人生二路》
[00:02:00.480 --> 00:02:01.520]  《Two ways to live》
[00:02:01.520 --> 00:02:04.320]  人可以選擇一個滅亡的道路
[00:02:04.320 --> 00:02:07.920]  但是他也可以選擇一個迴轉歸向基督
[00:02:07.920 --> 00:02:10.320]  信靠基督做我們的復活救主
[00:02:10.320 --> 00:02:12.800]  和掌權者的道路
[00:02:12.800 --> 00:02:15.440]  關鍵是掌權者
[00:02:15.440 --> 00:02:17.440]  什麼是基督徒人生的呼召
[00:02:17.440 --> 00:02:19.440]  有兩個很重要的部分去組成
[00:02:19.440 --> 00:02:21.440]  第一 悔改
[00:02:21.440 --> 00:02:24.240]  你必須要從這個世界迴轉
[00:02:24.240 --> 00:02:27.920]  第二 悔改之後要有敬拜
[00:02:27.920 --> 00:02:30.320]  兩件事是密不可分
[00:02:30.320 --> 00:02:33.440]  你不能夠有悔改之後沒有敬拜
[00:02:33.440 --> 00:02:35.680]  一個真正的敬拜的前提是
[00:02:35.680 --> 00:02:38.640]  有一個真正的悔改
[00:02:38.640 --> 00:02:40.080]  我們看看經文
[00:02:40.080 --> 00:02:43.520]  是一個關於雅各被呼召的故事
[00:02:43.520 --> 00:02:46.000]  但是它帶我們最後思想的
[00:02:46.000 --> 00:02:47.680]  是在《新約聖經》裏面
[00:02:47.680 --> 00:02:50.160]  上帝對他的教會的呼召
[00:02:50.160 --> 00:02:52.480]  上帝對他的教會的呼召是什麼
[00:02:52.480 --> 00:02:54.080]  是一生的悔改
[00:02:54.080 --> 00:02:56.000]  和一生的敬拜
[00:02:56.000 --> 00:02:57.440]  在進入這段經文之前
[00:02:57.440 --> 00:03:00.160]  我想帶大家去思想一下
[00:03:00.160 --> 00:03:02.480]  這本書的一些背景
[00:03:02.480 --> 00:03:03.760]  今天我們要看的是一個
[00:03:03.760 --> 00:03:06.960]  非常不簡單的書卷
[00:03:06.960 --> 00:03:08.880]  我們看的是《創世紀》
[00:03:08.880 --> 00:03:10.080]  但是其實我們看的
[00:03:10.080 --> 00:03:11.360]  不單止是《創世紀》
[00:03:11.360 --> 00:03:12.480]  我們看的是一個
[00:03:12.480 --> 00:03:15.120]  多層次的福音故事
[00:03:15.120 --> 00:03:16.480]  而這個福音故事
[00:03:16.480 --> 00:03:18.240]  它的終點在於
[00:03:18.240 --> 00:03:20.720]  主耶穌基督祂的十字架
[00:03:20.720 --> 00:03:22.400]  先講一點開場白
[00:03:22.400 --> 00:03:25.840]  我曾經有一個朋友是一個初信者
[00:03:25.840 --> 00:03:27.360]  他來到教會
[00:03:27.360 --> 00:03:29.440]  他嘗試開始讀聖經
[00:03:29.440 --> 00:03:32.400]  《創世紀》是他讀的第一本書
[00:03:32.400 --> 00:03:33.680]  他讀完《創世紀》之後
[00:03:33.680 --> 00:03:35.680]  開始到出了一個屋企
[00:03:35.680 --> 00:03:36.480]  很不幸地
[00:03:36.480 --> 00:03:37.680]  好像大部分人一樣
[00:03:37.680 --> 00:03:39.200]  他讀到大概曆尾紀
[00:03:39.200 --> 00:03:40.640]  就開始落後了
[00:03:40.640 --> 00:03:41.760]  然後他告訴我
[00:03:41.760 --> 00:03:44.000]  在他讀過這麼多本聖經的書裏面
[00:03:44.000 --> 00:03:45.760]  其實只是讀過兩本而已
[00:03:45.760 --> 00:03:47.760]  在他讀過兩本聖經的書裏面
[00:03:47.760 --> 00:03:49.440]  《創世紀》是最容易讀的
[00:03:49.440 --> 00:03:50.720]  原因很簡單
[00:03:50.720 --> 00:03:54.880]  因爲《創世紀》充滿了那些罪事、故事
[00:03:54.880 --> 00:03:56.080]  又沒有家譜
[00:03:56.080 --> 00:03:57.920]  又沒有律法
[00:03:57.920 --> 00:04:01.200]  但是《創世紀》是否真的那麼容易讀呢?
[00:04:01.200 --> 00:04:02.960]  不要誤會我的意思
[00:04:02.960 --> 00:04:07.120]  今天這篇講的不是爲了要增加你平日讀經的難度
[00:04:07.120 --> 00:04:12.640]  相反我想和你展示聖經巨大的深度
[00:04:12.640 --> 00:04:15.360]  福音的浩瀚和偉大
[00:04:15.360 --> 00:04:17.120]  我可以和你保證和保證
[00:04:17.120 --> 00:04:18.880]  《創世紀》好像聖經裏面
[00:04:18.880 --> 00:04:22.560]  所有其他所有的書一樣
[00:04:22.560 --> 00:04:24.240]  當你看完《創世紀》之後
[00:04:24.240 --> 00:04:27.840]  你應該得着的是耶穌基督的救贖工作
[00:04:27.840 --> 00:04:29.760]  你應該得着的是祂的十字架
[00:04:29.760 --> 00:04:31.520]  祂的死亡和復活
[00:04:31.520 --> 00:04:34.320]  祂對我們的救贖恩典
[00:04:34.320 --> 00:04:35.680]  那麼問題來了
[00:04:35.680 --> 00:04:41.680]  我們應該怎麼去思想理解《創世紀》的信息呢?
[00:04:41.680 --> 00:04:43.360]  在進入今天這段經文之前
[00:04:43.360 --> 00:04:46.000]  我必須要認真思想《創世紀》的背景
[00:04:46.000 --> 00:04:47.440]  有兩件事關於《創世紀》
[00:04:47.440 --> 00:04:50.000]  對於我們閱讀這個故事是非常重要的
[00:04:50.000 --> 00:04:51.120]  第一
[00:04:51.120 --> 00:04:54.800]  《創世紀》的背景是非常獨特的
[00:04:54.800 --> 00:04:57.120]  《創世紀》不是依索寓言
[00:04:57.120 --> 00:04:57.840]  什麼意思呢?
[00:04:57.840 --> 00:04:59.440]  你知道什麼是依索寓言嗎?
[00:04:59.440 --> 00:05:02.480]  你小時候讀的那些童話故事
[00:05:02.480 --> 00:05:03.200]  作出來的
[00:05:03.200 --> 00:05:04.000]  然後呢
[00:05:04.000 --> 00:05:05.760]  那些小小很短的故事
