
[00:00:00.000 --> 00:00:02.000]  我們一齊祈禱好嗎?
[00:00:02.000 --> 00:00:08.500]  天父我們歡喜快樂來到您的面前
[00:00:08.500 --> 00:00:11.000]  我們敬拜您
[00:00:11.000 --> 00:00:13.000]  我們親近您
[00:00:13.000 --> 00:00:15.000]  我們在您的面前
[00:00:15.000 --> 00:00:17.000]  恭敬的等候
[00:00:17.000 --> 00:00:19.000]  您向我們說話
[00:00:19.000 --> 00:00:22.000]  我們很需要天父此刻
[00:00:22.000 --> 00:00:25.000]  您的聖靈感動我們的心
[00:00:25.000 --> 00:00:27.000]  引導我們
[00:00:28.000 --> 00:00:30.000]  開啟我們
[00:00:30.000 --> 00:00:33.000]  讓我們能夠藉著聖靈
[00:00:33.000 --> 00:00:35.000]  進入一切的真理
[00:00:35.000 --> 00:00:38.000]  天父在我們說話
[00:00:38.000 --> 00:00:39.000]  等候您
[00:00:39.000 --> 00:00:41.000]  奉耶穌基督的聖名
[00:00:41.000 --> 00:00:43.000]  阿們
[00:00:43.000 --> 00:00:47.000]  待會兒就去平安了
[00:00:47.000 --> 00:00:50.000]  每一位基督徒
[00:00:50.000 --> 00:00:55.000]  我們都會知道讀聖經是非常重要
[00:00:56.000 --> 00:00:59.000]  但是為什麼讀聖經這麼重要呢?
[00:00:59.000 --> 00:01:03.000]  當我們讀聖經的時候
[00:01:03.000 --> 00:01:06.000]  有些什麼我們需要留意的呢?
[00:01:06.000 --> 00:01:09.000]  前一陣子
[00:01:09.000 --> 00:01:11.000]  我們有一個團契查經
[00:01:11.000 --> 00:01:14.000]  我就參考了一些資料
[00:01:14.000 --> 00:01:17.000]  當中啟發了我
[00:01:17.000 --> 00:01:20.000]  對雅各書論道
[00:01:20.000 --> 00:01:22.000]  神的話語
[00:01:22.000 --> 00:01:25.000]  和我們之間的關係
[00:01:26.000 --> 00:01:28.000]  所以今天我很感動
[00:01:28.000 --> 00:01:32.000]  讓我們大家從雅各書裡面
[00:01:32.000 --> 00:01:34.000]  得到信息
[00:01:34.000 --> 00:01:36.000]  今天的題目
[00:01:36.000 --> 00:01:40.000]  是改變生命的道
[00:01:40.000 --> 00:01:43.000]  我們有幾節的聖經
[00:01:43.000 --> 00:01:45.000]  我們先來一起讀
[00:01:45.000 --> 00:01:46.000]  好
[00:01:46.000 --> 00:01:47.000]  請讀
[00:01:47.000 --> 00:01:49.000]  我親愛的弟兄們
[00:01:49.000 --> 00:01:52.000]  這是你們所知道的
[00:01:53.000 --> 00:01:56.000]  但你們各人要快快地聽
[00:01:56.000 --> 00:01:58.000]  慢慢地說
[00:01:58.000 --> 00:02:00.000]  慢慢地動腦
[00:02:00.000 --> 00:02:03.000]  因為人的怒氣
[00:02:03.000 --> 00:02:05.000]  並不成就神的意
[00:02:05.000 --> 00:02:07.000]  所以
[00:02:07.000 --> 00:02:10.000]  脫去一切的污穢
[00:02:10.000 --> 00:02:12.000]  和剩餘的邪惡
[00:02:12.000 --> 00:02:15.000]  全溫柔的心
[00:02:15.000 --> 00:02:18.000]  領受那所栽種的道
[00:02:18.000 --> 00:02:21.000]  就是能救你們靈魂的道
[00:02:22.000 --> 00:02:23.000]  此時
[00:02:23.000 --> 00:02:25.000]  你們要行道
[00:02:25.000 --> 00:02:27.000]  不要單單聽道
[00:02:27.000 --> 00:02:29.000]  自己欺控自己
[00:02:29.000 --> 00:02:33.000]  因為聽道而不行道
[00:02:33.000 --> 00:02:36.000]  就像人對著鏡子
[00:02:36.000 --> 00:02:39.000]  看自己本來的面目
[00:02:39.000 --> 00:02:41.000]  看見走後
[00:02:41.000 --> 00:02:45.000]  隨即忘了他的本相如何
[00:02:45.000 --> 00:02:48.000]  唯有詳細察看
[00:02:48.000 --> 00:02:52.000]  那全被使人自由之律化的
[00:02:52.000 --> 00:02:55.000]  並且時常如此
[00:02:55.000 --> 00:02:58.000]  這人既不是聽了就忘
[00:02:58.000 --> 00:03:01.000]  乃是實在行出來
[00:03:01.000 --> 00:03:04.000]  就在他所行的事上
[00:03:04.000 --> 00:03:06.000]  必然特復
