
[00:00:00.000 --> 00:00:03.000]  今天是2015年的最後一年
[00:00:03.000 --> 00:00:07.800]  我們整年的題目叫「從零開始從心合一」
[00:00:07.800 --> 00:00:10.500]  怎樣轉化到新幾年下星期你回來
[00:00:10.500 --> 00:00:11.800]  就是我們新的題目
[00:00:11.800 --> 00:00:14.000]  新的主題我們剛剛貼了出來
[00:00:14.000 --> 00:00:18.000]  就是要建立生命去關愛這個社區
[00:00:18.000 --> 00:00:21.300]  我相信轉接點也是我們今天要引用的經文
[00:00:21.300 --> 00:00:23.800]  就是要歸回這位上帝
[00:00:23.800 --> 00:00:24.800]  和你隔壁聽到我的聲音
[00:00:24.800 --> 00:00:27.500]  你要歸回這位上帝
[00:00:27.500 --> 00:00:29.900]  我用了接近一年的時間去講解
[00:00:29.900 --> 00:00:32.200]  《羅馬書》和《佳泰書》
[00:00:32.200 --> 00:00:35.000]  差不多你做夢也記得了
[00:00:35.000 --> 00:00:38.300]  就是這個「救恩」是有四個很重要的字
[00:00:38.300 --> 00:00:39.700]  跟你左邊的電視節目說
[00:00:39.700 --> 00:00:42.400]  是「全是恩典」
[00:00:42.400 --> 00:00:45.400]  所以今天沒有人在「救恩」裡面可以驕傲的
[00:00:45.400 --> 00:00:49.100]  「救恩」就是使得聖人和上帝和好合而為一
[00:00:49.100 --> 00:00:52.900]  而聖靈在「救恩」和信徒的生命成長裡面
[00:00:52.900 --> 00:00:55.300]  是佔了非常重要的位置
[00:00:55.300 --> 00:00:59.000]  所以有一本書寫了三句話
[00:00:59.000 --> 00:01:02.900]  我感謝Janet幫我翻譯了中文的其中一段
[00:01:02.900 --> 00:01:06.100]  她說:如果只有神的話沒有聖靈的話
[00:01:06.100 --> 00:01:09.900]  我們的生命就會枯乾至死
[00:01:09.900 --> 00:01:11.100]  跟你隔壁聽到我的聲音
[00:01:11.100 --> 00:01:13.900]  你不要枯乾至死
[00:01:13.900 --> 00:01:16.200]  但如果有聖靈沒有神的話
[00:01:16.200 --> 00:01:18.700]  我們就會自我膨脹
[00:01:18.700 --> 00:01:21.200]  所以最重要的是必須有神的話和聖靈
[00:01:21.200 --> 00:01:24.500]  我們的生命才能夠成長
[00:01:24.500 --> 00:01:26.000]  所以未來的2016年
[00:01:26.000 --> 00:01:29.300]  我們非常強調要建立
[00:01:29.300 --> 00:01:32.100]  我們的生命是藉著聖靈的工作
[00:01:32.100 --> 00:01:34.700]  我今天藉著《耳塞俠書》一段經文
[00:01:34.700 --> 00:01:36.800]  神的名字再一次提醒我們
[00:01:36.800 --> 00:01:37.800]  成為我們的安慰
[00:01:37.800 --> 00:01:39.300]  成為我們成長的幫助
[00:01:39.300 --> 00:01:41.900]  讓我們能夠進入到2016年的主題
[00:01:41.900 --> 00:01:46.000]  去建立生命關愛這個社區
[00:01:46.000 --> 00:01:47.700]  在《耳塞俠書》九章六節裡面
[00:01:47.700 --> 00:01:48.900]  這段經文這樣說
[00:01:48.900 --> 00:01:49.900]  我們一起讀好不好
[00:01:49.900 --> 00:01:52.100]  有一鷹孩為我們而生
[00:01:52.100 --> 00:01:53.600]  有一子賜給我們
[00:01:53.600 --> 00:01:56.100]  政權必擔在他的肩頭上
[00:01:56.100 --> 00:01:59.400]  他名稱為奇妙察視全能的神
[00:01:59.400 --> 00:02:01.800]  永在的父和平之君
[00:02:01.800 --> 00:02:04.800]  這段經文裡面有兩種的釋經的方法
[00:02:04.800 --> 00:02:07.400]  但我仍然沿用於最古舊
[00:02:07.400 --> 00:02:09.500]  最傳統的釋經方法
[00:02:09.500 --> 00:02:11.800]  但是我們必須要理解的
[00:02:11.800 --> 00:02:13.800]  今天講道
[00:02:13.800 --> 00:02:15.300]  在講談裡面
[00:02:15.300 --> 00:02:16.600]  今天講道裡面
[00:02:16.600 --> 00:02:21.400]  是不能夠避免是不講政治的
[00:02:21.400 --> 00:02:23.100]  我們不可以講
[00:02:23.100 --> 00:02:25.100]  我們不談政治
[00:02:25.100 --> 00:02:26.200]  不講論政治
[00:02:26.200 --> 00:02:28.500]  是不可能的
[00:02:28.500 --> 00:02:29.700]  但是接著你問
[00:02:29.700 --> 00:02:33.500]  穆斯林為什麼佔中期間你又不講呢
[00:02:33.500 --> 00:02:34.700]  跟你隔壁的朋友說一聲
[00:02:34.700 --> 00:02:38.600]  我們是一間浸信會
[00:02:38.600 --> 00:02:40.600]  再大聲一點跟你隔壁的朋友說
