
[00:00:00.000 --> 00:00:02.000]  大家卿 姐妹 平安
[00:00:02.000 --> 00:00:07.880]  《時代》雜誌曾經有一個統計
[00:00:07.880 --> 00:00:14.000]  講到每日最少有三十次機會與其他人聊天
[00:00:14.000 --> 00:00:17.120]  無論在市場買菜 與朋友聊天
[00:00:17.120 --> 00:00:20.920]  與家人 家人 親人等等
[00:00:20.920 --> 00:00:25.440]  我們每日都有機會與不同的人聊天
[00:00:25.440 --> 00:00:28.840]  男人每日平均講二萬字左右
[00:00:28.840 --> 00:00:32.600]  女士每日平均講三萬字左右
[00:00:32.600 --> 00:00:38.120]  一年講話的內容可以寫成六十六本 八百頁的書
[00:00:38.120 --> 00:00:43.760]  每個人在一生中會用五分之一的時間來講說話
[00:00:43.760 --> 00:00:46.440]  或許男女大不同
[00:00:46.440 --> 00:00:51.080]  男士在本質上傾向沉默 比較寡言
[00:00:51.080 --> 00:00:57.000]  女士相對地善於用言語來表達自己的情感
[00:00:57.000 --> 00:01:00.160]  又加上可能個性特質的影響
[00:01:00.160 --> 00:01:05.560]  內向型的人傾向寡言 想過再說
[00:01:05.560 --> 00:01:09.640]  要說話時要清晰講重點
[00:01:09.640 --> 00:01:12.200]  外向型的人比較健談
[00:01:12.200 --> 00:01:14.400]  會一邊說一邊想
[00:01:14.400 --> 00:01:18.720]  甚至說完後想想自己說了甚麼
[00:01:18.720 --> 00:01:20.960]  你是哪一類呢?
[00:01:20.960 --> 00:01:23.120]  在眾多受造物之中
[00:01:23.120 --> 00:01:26.560]  只有人有語言的能力
[00:01:26.560 --> 00:01:31.160]  只有人可以藉著自己的說話來表達自己的需要
[00:01:31.160 --> 00:01:35.120]  表達自己的情感 表達自己的想法
[00:01:35.120 --> 00:01:40.080]  你有沒有曾經為了自己能夠說話而感恩呢?
[00:01:40.080 --> 00:01:44.120]  你又知不知道上帝給你和我有語言的能力
[00:01:44.120 --> 00:01:48.760]  那種屬靈的意義和目的是甚麼呢?
[00:01:48.760 --> 00:01:50.360]  在《創世紀》第一章
[00:01:50.360 --> 00:01:54.440]  很詳細地記載上帝創造的過程
[00:01:54.440 --> 00:01:56.560]  《創世紀》一章一節
[00:01:56.560 --> 00:01:58.920]  「起初神創造天地
[00:01:58.920 --> 00:02:02.080]  地是空虛混沌 淵面黑暗
[00:02:02.080 --> 00:02:05.040]  神的靈運行在水面上
[00:02:05.040 --> 00:02:10.400]  神以滿有權能的說話去統管著整個創造」
[00:02:10.400 --> 00:02:13.920]  他藉著他的說話來創造世界
[00:02:13.920 --> 00:02:18.040]  從無到有 從零開始
[00:02:18.040 --> 00:02:22.320]  正如第一章有好幾個詞彙常常重複出現
[00:02:22.320 --> 00:02:26.400]  其中一個詞彙是「神說」
[00:02:26.400 --> 00:02:28.640]  「神用說話創造萬物
[00:02:28.640 --> 00:02:31.920]  祂創造空中的鳥 海裡的魚
[00:02:31.920 --> 00:02:35.880]  地上一切的生物 樹上閱人眼目的果子
[00:02:35.880 --> 00:02:39.720]  神賦予這些受造物的意義和將來
[00:02:39.720 --> 00:02:43.200]  整個世界宇宙是神說出來的
[00:02:43.200 --> 00:02:45.000]  神是宣講出來的
[00:02:45.000 --> 00:02:47.120]  神用祂的說話宣講出來
[00:02:47.120 --> 00:02:52.280]  祂是不需要用神以外的力量或物質來發聲的」
[00:02:52.280 --> 00:02:55.480]  「神說了 事就這樣成了」
[00:02:55.480 --> 00:02:59.120]  在神的眼中 祂所創造的一切都是好的
[00:02:59.120 --> 00:03:01.000]  在《創世紀》一章三節這樣說
[00:03:01.000 --> 00:03:04.480]  「神說 要有光就有了光
[00:03:04.480 --> 00:03:07.800]  神說 天下的水要聚在一處
[00:03:07.800 --> 00:03:10.120]  使旱地露出來
[00:03:10.120 --> 00:03:12.600]  事就這樣成了
[00:03:12.600 --> 00:03:15.960]  神說甚麼就有甚麼
[00:03:15.960 --> 00:03:19.520]  而且神使這些創造都甚好」
[00:03:19.520 --> 00:03:25.040]  這是神創造世界的過程
[00:03:25.040 --> 00:03:28.600]  神用語言的能力來創造世界
[00:03:28.600 --> 00:03:32.800]  上帝同樣按著祂的形象來做男做女
[00:03:32.800 --> 00:03:35.640]  在《創世紀》一章二十六二十七節這樣說
[00:03:35.640 --> 00:03:38.920]  「神說 我們要照著我們的形象
[00:03:38.920 --> 00:03:41.240]  按我們的樣式做人
[00:03:41.240 --> 00:03:43.800]  神就照著自己的形象做人
[00:03:43.800 --> 00:03:48.760]  乃是照著自己的形象做男做女」
[00:03:48.760 --> 00:03:51.360]  縱然亞當考厄犯罪
[00:03:51.360 --> 00:03:54.720]  在我們裡頭神的形象受到破損
