
[00:00:00.000 --> 00:00:04.320]  今天很開心可以來到桃福堂跟大家分享
[00:00:04.320 --> 00:00:08.680]  很少教會有一個叫「Young Adult」的崇拜
[00:00:08.680 --> 00:00:10.280]  所以很欣賞你們
[00:00:10.280 --> 00:00:15.240]  更加欣賞你們冒著疫情回到教會
[00:00:15.240 --> 00:00:17.080]  我也有想過來不來
[00:00:17.080 --> 00:00:19.760]  不過想一想,死就死吧
[00:00:19.760 --> 00:00:22.680]  不是說笑,跟大家說
[00:00:22.680 --> 00:00:23.680]  很開心
[00:00:23.680 --> 00:00:27.200]  我覺得既然神父教給我們機會
[00:00:27.200 --> 00:00:28.920]  可以去分享上帝的華語
[00:00:28.920 --> 00:00:32.720]  我也是很開心可以跟大家來到當中
[00:00:32.720 --> 00:00:36.280]  「突破」每年都會出去不同教會
[00:00:36.280 --> 00:00:38.320]  去分享青少年主日
[00:00:38.320 --> 00:00:39.880]  我不知道今天是不是青少年主日
[00:00:39.880 --> 00:00:41.080]  不過有一個題目
[00:00:41.080 --> 00:00:42.960]  我們每年都會訂了
[00:00:42.960 --> 00:00:47.720]  當然去年經歷了很大的社會運動
[00:00:47.720 --> 00:00:48.320]  很大的變化
[00:00:48.320 --> 00:00:50.360]  我們訂了今年這個題目
[00:00:50.360 --> 00:00:54.320]  叫「亂世中的盼望」
[00:00:54.320 --> 00:00:57.320]  「亂世中的盼望」
[00:00:57.320 --> 00:01:02.240]  更加想不到這幾個禮拜
[00:01:02.240 --> 00:01:04.280]  社會運動還沒完
[00:01:04.280 --> 00:01:08.760]  到這個肺炎的肆虐
[00:01:08.760 --> 00:01:13.360]  令我們繼續活在一個混亂、亂世當中
[00:01:13.360 --> 00:01:14.560]  所以今天這個題目
[00:01:14.560 --> 00:01:17.640]  是我們機構每年都會訂了
[00:01:17.640 --> 00:01:20.440]  跟大家不同的教會去分享
[00:01:20.440 --> 00:01:22.760]  我們怎樣在亂世當中看到
[00:01:22.760 --> 00:01:25.320]  上帝給我們一些應許、一些盼望
[00:01:25.320 --> 00:01:28.520]  今天我很想跟大家分享
[00:01:28.520 --> 00:01:30.240]  我看不到自己的泡泡
[00:01:30.240 --> 00:01:31.720]  你們看得到嗎?
[00:01:31.720 --> 00:01:34.720]  好
[00:01:34.720 --> 00:01:37.400]  亂世是一個怎樣的情況呢?
[00:01:37.400 --> 00:01:38.760]  我猜我們要看很多
[00:01:38.760 --> 00:01:39.600]  不單看聖經
[00:01:39.600 --> 00:01:41.120]  還要看很多書
[00:01:41.120 --> 00:01:43.920]  去明白今天的處境
[00:01:43.920 --> 00:01:46.800]  介紹幾本書跟大家分享一下
[00:01:46.800 --> 00:01:48.000]  其中一本叫《Post-Truth》
[00:01:48.000 --> 00:01:50.600]  幾年前出版的一個美國作者
[00:01:50.600 --> 00:01:52.400]  講述當時的處境
[00:01:52.400 --> 00:01:54.600]  我猜現在很多人都是用這個
