
[00:00:00.000 --> 00:00:01.900]  基督徒屬靈生命的成長
[00:00:01.900 --> 00:00:04.700]  我們屬靈生命要漸趨成熟
[00:00:04.700 --> 00:00:07.300]  一個很重要的元素
[00:00:07.300 --> 00:00:10.400]  是我們要不斷地追求認識神
[00:00:10.400 --> 00:00:12.000]  去經歷神
[00:00:12.000 --> 00:00:15.700]  所以今天很想和大家分享一個題目
[00:00:15.700 --> 00:00:18.900]  更深來認識神
[00:00:18.900 --> 00:00:20.200]  有一位神學家
[00:00:20.200 --> 00:00:24.200]  他用一個比喻來形容兩種不同的人
[00:00:24.200 --> 00:00:27.200]  他們追求認識神的態度
[00:00:27.200 --> 00:00:29.000]  第一類的人是怎樣的人呢?
[00:00:29.000 --> 00:00:30.000]  他比喻說
[00:00:30.000 --> 00:00:33.600]  他們就好像坐在一個
[00:00:33.600 --> 00:00:36.500]  度假屋的高高的露台上
[00:00:36.500 --> 00:00:38.200]  他們望下來
[00:00:38.200 --> 00:00:40.200]  他們在這個露台上
[00:00:40.200 --> 00:00:42.000]  看到很多人在下面經過
[00:00:42.000 --> 00:00:44.800]  看到很多旅客路過在那裏聊天
[00:00:44.800 --> 00:00:48.700]  甚至他們都可以和這些旅客來聊天
[00:00:48.700 --> 00:00:50.600]  坐在露台上的這些人
[00:00:50.600 --> 00:00:53.100]  他們有時會去評論一下
[00:00:53.100 --> 00:00:54.900]  這些經過的旅客
[00:00:54.900 --> 00:00:58.100]  他們的行路的情況
[00:00:58.100 --> 00:01:00.900]  他們的衣著等等
[00:01:00.900 --> 00:01:05.100]  他們都會去思想一下
[00:01:05.100 --> 00:01:07.500]  去想一下他們走這條路好不好
[00:01:07.500 --> 00:01:08.400]  他們跟著走這條路
[00:01:08.400 --> 00:01:12.200]  究竟會去哪裏呢?
[00:01:12.200 --> 00:01:15.700]  這個是他們所想的問題
[00:01:15.700 --> 00:01:20.100]  但是他們始終是一個旁觀者
[00:01:20.100 --> 00:01:22.900]  他們的問題只停留在頭腦上
[00:01:22.900 --> 00:01:25.100]  只停留在理論上
[00:01:25.100 --> 00:01:26.400]  但另一類人是甚麼人呢?
[00:01:26.400 --> 00:01:28.200]  就是他們正在看著那班人
[00:01:28.200 --> 00:01:30.100]  在下面的這班旅客
[00:01:30.100 --> 00:01:31.600]  他們所討論的問題
[00:01:31.600 --> 00:01:33.300]  當然會包括
[00:01:33.300 --> 00:01:35.300]  剛才他們所討論的
[00:01:35.300 --> 00:01:37.500]  這些理論層面的問題
[00:01:37.500 --> 00:01:39.900]  但他們會再進一步
[00:01:39.900 --> 00:01:41.400]  去想一些實際的問題
[00:01:41.400 --> 00:01:43.700]  究竟我跟著要去哪裏
[00:01:43.700 --> 00:01:47.300]  究竟我怎樣能夠去到那裏呢?
[00:01:47.300 --> 00:01:49.500]  他們不單止需要明白
[00:01:49.500 --> 00:01:51.900]  當中的原則
[00:01:51.900 --> 00:01:53.300]  當中的原理
[00:01:53.300 --> 00:01:56.000]  他們更加要作出抉擇
[00:01:56.000 --> 00:01:57.800]  以及要行動
