
[00:00:00.000 --> 00:00:03.500]  所以在《蘇黎公》有六十六章
[00:00:03.500 --> 00:00:09.500]  上半部的話主要是講到神的旨意
[00:00:09.500 --> 00:00:14.000]  講到祂對列國的審判
[00:00:14.000 --> 00:00:16.500]  對祂百姓的審判
[00:00:16.500 --> 00:00:23.000]  祂對以色列有很多警告的話
[00:00:23.000 --> 00:00:26.000]  也有審判巴比倫
[00:00:26.000 --> 00:00:28.000]  審判埃及
[00:00:28.000 --> 00:00:32.000]  磨壓周圍這些的列國
[00:00:32.000 --> 00:00:36.000]  那麼這個到了下半部
[00:00:36.000 --> 00:00:40.000]  那麼神就要成就祂的旨意
[00:00:40.000 --> 00:00:46.000]  祂把要怎麼樣成就祂的旨意的方法顯明出來了
[00:00:46.000 --> 00:00:49.000]  只要能夠拯救以色列出來
[00:00:49.000 --> 00:00:56.000]  只要能夠審判這些離開神的別的國家
[00:00:56.000 --> 00:00:59.000]  那就是神要檢選
[00:00:59.000 --> 00:01:03.000]  呼召一位這個僕人
[00:01:03.000 --> 00:01:08.000]  那麼接著他去完成神的旨意
[00:01:08.000 --> 00:01:12.000]  接著他去做神要他做的工作
[00:01:12.000 --> 00:01:15.000]  所以這位僕人是誰呢?
[00:01:15.000 --> 00:01:19.000]  在以色列書提出來就是以色列
[00:01:19.000 --> 00:01:22.000]  就是耶穌基督
[00:01:23.000 --> 00:01:27.000]  到了以色列書這個下半部
[00:01:27.000 --> 00:01:34.000]  就是有四段的經文特別突出講到這個僕人
[00:01:34.000 --> 00:01:41.000]  那麼有的學者就稱這四首詩歌是僕人之歌
[00:01:41.000 --> 00:01:45.000]  我們上次已經看過兩首了
[00:01:45.000 --> 00:01:49.000]  第一首就是在四十二章一節到九節
[00:01:49.000 --> 00:01:53.000]  講到彌賽亞的執事他要做什麼事情
[00:01:53.000 --> 00:01:56.000]  來到地上要做什麼
[00:01:56.000 --> 00:02:03.000]  那到第二首詩歌就是到四十九章
[00:02:03.000 --> 00:02:06.000]  應該是四十九章一到七節
[00:02:06.000 --> 00:02:09.000]  講到彌賽亞的蒙昭
[00:02:09.000 --> 00:02:13.000]  這個是第二首詩歌
[00:02:13.000 --> 00:02:18.000]  那今天我們要看第三首詩歌就是五十章了
[00:02:18.000 --> 00:02:22.000]  五十章第四節到十一節這一段
[00:02:22.000 --> 00:02:26.000]  是講到彌賽亞的地上浮屍的時候
[00:02:26.000 --> 00:02:30.000]  他信奉神他信奉神
[00:02:30.000 --> 00:02:34.000]  那麼第四首就要到五十三章
[00:02:34.000 --> 00:02:37.000]  五十二章的最後三節
[00:02:37.000 --> 00:02:41.000]  加上五十三章的十二節
[00:02:41.000 --> 00:02:45.000]  一共有十五節聖經要講到彌賽亞
[00:02:45.000 --> 00:02:49.000]  耶穌基督他的一生跟他的苦難
[00:02:49.000 --> 00:02:54.000]  所以這樣四首詩歌所講的
[00:02:54.000 --> 00:02:58.000]  給我們信徒說都覺得很熟悉
