
[00:00:00.000 --> 00:00:02.960]  我相信讀主的華語的重要性
[00:00:02.960 --> 00:00:04.040]  你一定會知道的
[00:00:04.040 --> 00:00:06.040]  但很多時候我們不肯去做而已
[00:00:06.040 --> 00:00:09.040]  但是為什麼會選這段聖經呢?
[00:00:09.040 --> 00:00:10.320]  大概有幾個原因的
[00:00:10.320 --> 00:00:14.080]  除了今天的主人我可以自己選之外
[00:00:14.080 --> 00:00:16.880]  大概有三個原因
[00:00:16.880 --> 00:00:17.600]  很簡單
[00:00:17.600 --> 00:00:19.400]  但是也是很重要的
[00:00:19.400 --> 00:00:21.400]  第一個原因就是
[00:00:21.400 --> 00:00:22.840]  大家進來都看到了
[00:00:22.840 --> 00:00:25.520]  我們提醒我們這個月底
[00:00:25.520 --> 00:00:27.760]  就是我們紀念我們的主
[00:00:27.760 --> 00:00:28.600]  釘十字架
[00:00:28.600 --> 00:00:29.640]  復活的日子
[00:00:30.320 --> 00:00:32.720]  那麼今天這件事情的發生
[00:00:32.720 --> 00:00:34.320]  就發生在主耶穌
[00:00:34.320 --> 00:00:37.320]  進入耶路撒冷最後一個星期的前夕
[00:00:37.320 --> 00:00:39.800]  晚上的一個筵席當中
[00:00:39.800 --> 00:00:41.800]  那麼這個也是很有意思的
[00:00:41.800 --> 00:00:42.560]  就是說
[00:00:42.560 --> 00:00:44.560]  耶穌吃完這一餐之後
[00:00:44.560 --> 00:00:46.520]  第二天祂就進入耶路撒冷了
[00:00:46.520 --> 00:00:48.520]  所以剛才我們看到
[00:00:48.520 --> 00:00:50.520]  約翰福音那裡說到
[00:00:50.520 --> 00:00:52.520]  是雨節前的六天
[00:00:52.520 --> 00:00:53.000]  是不是?
[00:00:53.000 --> 00:00:54.000]  那麼就是說
[00:00:54.000 --> 00:00:56.520]  耶穌基督要進入耶路撒冷了
[00:00:56.520 --> 00:00:58.520]  那麼也是一個很適合的時刻
[00:00:58.520 --> 00:01:01.200]  我們來思想這一段聖經
[00:01:01.200 --> 00:01:04.520]  另外第二件事是有一點心意的
[00:01:04.520 --> 00:01:08.520]  因為前天是3月8日
[00:01:08.520 --> 00:01:09.120]  是不是?
[00:01:09.120 --> 00:01:10.720]  婦女節
[00:01:10.720 --> 00:01:14.520]  那麼我想也是定義說一位姐妹
[00:01:14.520 --> 00:01:16.120]  有一個美好的見證
[00:01:16.120 --> 00:01:18.520]  就是今天我們的主角瑪利亞
[00:01:18.520 --> 00:01:21.120]  這位姐妹在耶穌的心中
[00:01:21.120 --> 00:01:22.320]  在耶穌的口中
[00:01:22.320 --> 00:01:24.320]  也是極為稱讚的一位姐妹
[00:01:24.320 --> 00:01:26.320]  所作的一件美事
[00:01:26.320 --> 00:01:28.720]  那麼我覺得這些也是適合的
[00:01:28.720 --> 00:01:34.720]  那麼第三個的原因
[00:01:34.720 --> 00:01:37.920]  就是因為這段聖經
[00:01:37.920 --> 00:01:41.520]  是主耶穌曾經提醒過我們
[00:01:41.520 --> 00:01:43.120]  你記住這段聖經
[00:01:43.120 --> 00:01:44.720]  約翰福音十二章這一段
[00:01:44.720 --> 00:01:46.320]  是還有其他經文
[00:01:46.320 --> 00:01:48.720]  就是其他的四福音有記載的
[00:01:48.720 --> 00:01:50.320]  其實如果你看這個
[00:01:50.320 --> 00:01:51.720]  馬太福音二十六章
[00:01:51.720 --> 00:01:53.520]  路加福音十四章
[00:01:53.520 --> 00:01:54.320]  不是
[00:01:54.320 --> 00:01:55.920]  馬可福音十四章
[00:01:55.920 --> 00:01:58.120]  也是有記載到同一件事的
[00:01:58.120 --> 00:01:59.720]  那麼待會我們說的時候
[00:01:59.720 --> 00:02:01.920]  就不只是用這一段聖經
[00:02:01.920 --> 00:02:04.920]  還用了馬可和馬太
[00:02:04.920 --> 00:02:06.520]  合在一起來說的
[00:02:06.520 --> 00:02:08.320]  在那裡記載到
[00:02:08.320 --> 00:02:10.720]  主耶穌不單止說這位女人
[00:02:10.720 --> 00:02:13.320]  瑪利亞做了一件美事
[00:02:13.320 --> 00:02:15.520]  祂還說了一件相當重要的
[00:02:15.520 --> 00:02:16.520]  嚴重的
[00:02:16.520 --> 00:02:19.120]  祂說這件事
[00:02:19.120 --> 00:02:22.320]  耶穌說你去到以後歷世歷代
[00:02:22.320 --> 00:02:25.320]  你去到哪裡去傳福音的時候
[00:02:25.320 --> 00:02:28.320]  都要講論這位女人所做的事
[00:02:28.320 --> 00:02:29.720]  來紀念祂
[00:02:29.720 --> 00:02:31.520]  這句話很重要的
[00:02:31.520 --> 00:02:32.920]  有一天我看看的時候
[00:02:32.920 --> 00:02:33.520]  發覺慘了
[00:02:33.520 --> 00:02:34.520]  我講了這麼久
