
[00:00:00.000 --> 00:00:05.940]  「馬槽聖嬰」是我那個年代聖誕節的一個標誌
[00:00:05.940 --> 00:00:10.020]  不過到今時今日都有點過氣
[00:00:10.020 --> 00:00:15.640]  如果想聖誕節找到這個「馬槽聖嬰」的標誌
[00:00:15.640 --> 00:00:17.960]  都相當困難 除了上網之外
[00:00:17.960 --> 00:00:22.620]  在平安夜那一晚
[00:00:22.620 --> 00:00:29.100]  我由炮台山沿著海皮一路走
[00:00:29.100 --> 00:00:31.100]  走到上灣仔會展
[00:00:31.100 --> 00:00:37.420]  在維港兩岸的燈飾是非常璀璨
[00:00:37.420 --> 00:00:41.800]  而在途中也有一些海洋公園
[00:00:41.800 --> 00:00:45.560]  有一些嘉年華會 很熱鬧
[00:00:45.560 --> 00:00:50.320]  很多聖誕樹 聖誕老人諸如此類
[00:00:50.320 --> 00:00:54.800]  唯獨見不到耶穌
[00:00:54.800 --> 00:00:57.860]  是叮那麼多的提示都沒有
[00:01:00.100 --> 00:01:02.100]  今日在北美洲的地區
[00:01:02.100 --> 00:01:05.540]  如果跟別人說「聖誕快樂」
[00:01:05.540 --> 00:01:07.540]  會被人罵的
[00:01:07.540 --> 00:01:10.400]  我也試過被人罵
[00:01:10.400 --> 00:01:14.000]  我收到的訊息 北美來的朋友
[00:01:14.000 --> 00:01:15.920]  全部都是「祝你聖誕快樂」
[00:01:15.920 --> 00:01:17.920]  「快樂假期」
[00:01:17.920 --> 00:01:21.500]  耶穌真的不知道去了哪裡
[00:01:21.500 --> 00:01:25.340]  今天我們就要講講「馬槽聖嬰」
[00:01:25.340 --> 00:01:28.700]  因為不講很快就會消失
[00:01:28.700 --> 00:01:30.700]  我們一起祈禱
[00:01:30.700 --> 00:01:35.300]  撒旦主我們感謝祢
[00:01:35.300 --> 00:01:39.220]  祢為我們降世為人
[00:01:39.220 --> 00:01:44.220]  這份恩情相信我們都要思考一生一世
[00:01:44.220 --> 00:01:47.200]  我們才能領略到那種偉大
[00:01:47.200 --> 00:01:49.200]  還有那種奧妙
[00:01:49.200 --> 00:01:52.020]  今日就求祢在我們中間
[00:01:52.020 --> 00:01:55.020]  向我們解釋
[00:01:55.020 --> 00:02:01.560]  幫我們將你的話語深藏在我們心裏
[00:02:01.560 --> 00:02:04.560]  祈禱奉耶穌名求
[00:02:04.560 --> 00:02:06.560]  阿們
[00:02:06.560 --> 00:02:09.560]  今日一開始經文
[00:02:09.560 --> 00:02:13.580]  就說「眾天使離開他們 聖天去了」
[00:02:13.580 --> 00:02:16.020]  「穆人彼此說」
[00:02:16.020 --> 00:02:20.840]  「我們到百里行去看一看這件已成就的事」
[00:02:20.840 --> 00:02:24.720]  大家如果熟悉都知道
[00:02:24.720 --> 00:02:26.720]  其實這個場景就是當時
[00:02:26.720 --> 00:02:31.720]  牧羊人在野地那裏
[00:02:31.720 --> 00:02:33.720]  天使向他們報喜訊
[00:02:33.720 --> 00:02:36.720]  那之前發生了什麼呢?
[00:02:36.720 --> 00:02:41.720]  究竟成就的是什麼事呢?
[00:02:41.720 --> 00:02:43.720]  我們看前一點
[00:02:43.720 --> 00:02:47.720]  在第八節的時候
[00:02:47.720 --> 00:02:49.720]  當時有牧羊人在附近露宿
[00:02:49.720 --> 00:02:51.720]  夜間看守羊群
[00:02:51.720 --> 00:02:54.720]  有主的一位天使向他們顯現
[00:02:54.720 --> 00:02:56.720]  主的榮光四面照耀他們
[00:02:56.720 --> 00:02:58.720]  他們大為驚恐
[00:02:58.720 --> 00:03:00.720]  你都可以想像
[00:03:00.720 --> 00:03:02.720]  當你熟睡的時候
[00:03:02.720 --> 00:03:04.720]  突然有個人開著大電筒
[00:03:04.720 --> 00:03:06.720]  撐起你的時候
[00:03:06.720 --> 00:03:08.720]  你會有什麼反應呢?
[00:03:08.720 --> 00:03:09.720]  有些人會發脾氣
[00:03:09.720 --> 00:03:11.720]  有些人就會很害怕
[00:03:11.720 --> 00:03:14.720]  接著天使說不用怕
[00:03:14.720 --> 00:03:16.720]  接著出現的
[00:03:16.720 --> 00:03:18.720]  他們看到的是天使
[00:03:18.720 --> 00:03:21.720]  祂說我報給你們一個大喜的訊息
[00:03:21.720 --> 00:03:23.720]  今天在大為的城裏
[00:03:23.720 --> 00:03:26.720]  為你們誕生一位救主
[00:03:26.720 --> 00:03:28.720]  就是主基督
[00:03:28.720 --> 00:03:31.720]  祂給了一個很明顯的sign給他們
[00:03:31.720 --> 00:03:34.720]  祂說你們將會找到一個嬰孩
[00:03:34.720 --> 00:03:36.720]  包著布
[00:03:36.720 --> 00:03:38.720]  躺在馬槽裏
[00:03:38.720 --> 00:03:40.720]  這個sign很特別
[00:03:40.720 --> 00:03:42.720]  通常初生的嬰兒
[00:03:42.720 --> 00:03:45.720]  很難會在馬槽裏找到
[00:03:45.720 --> 00:03:50.720]  所以找到的時候一定就是耶穌
[00:03:50.720 --> 00:03:54.720]  接著才精彩
[00:03:54.720 --> 00:03:57.720]  一大隊天君出現
[00:03:57.720 --> 00:04:01.720]  在那天使一起讚美神說
[00:04:01.720 --> 00:04:02.720]  大家一起讀
[00:04:02.720 --> 00:04:06.720]  在至高之處榮耀歸於神
[00:04:06.720 --> 00:04:11.720]  在地上平安臨到他所喜愛的人
[00:04:11.720 --> 00:04:15.720]  剛才施班獻詩的時候
[00:04:15.720 --> 00:04:17.720]  我有個privilege
[00:04:17.720 --> 00:04:18.720]  坐在前面
[00:04:18.720 --> 00:04:22.720]  他們在我面前唱詩歌
[00:04:22.720 --> 00:04:23.720]  很有氣勢
[00:04:23.720 --> 00:04:26.720]  我就一直在幻想
[00:04:26.720 --> 00:04:28.720]  如果他們是天使
[00:04:28.720 --> 00:04:30.720]  然後升高一點
[00:04:30.720 --> 00:04:32.720]  上到半空的時候唱
[00:04:32.720 --> 00:04:34.720]  那個情景
[00:04:34.720 --> 00:04:37.720]  你說多壯觀
[00:04:37.720 --> 00:04:43.720]  所以更加可以想像到
[00:04:43.720 --> 00:04:46.720]  牧羊人當時在野地
[00:04:46.720 --> 00:04:51.720]  大群天君天使在唱詩讚美神那種氣勢
[00:04:51.720 --> 00:04:55.720]  於是今天有經文
[00:04:55.720 --> 00:04:58.720]  十六節
[00:04:58.720 --> 00:05:01.720]  他們就趕去
[00:05:01.720 --> 00:05:04.720]  真的找到瑪利亞藥室
[00:05:04.720 --> 00:05:08.720]  和躺在馬槽的嬰孩
[00:05:08.720 --> 00:05:12.720]  他們有什麼反應呢
[00:05:12.720 --> 00:05:15.720]  就是他們見到之後
[00:05:15.720 --> 00:05:17.720]  就將天使告訴他們
[00:05:17.720 --> 00:05:20.720]  關於孩子的話就傳開了
[00:05:20.720 --> 00:05:23.720]  凡是聽到的人都感到很驚奇
[00:05:23.720 --> 00:05:26.720]  當我們見到這麼大的神蹟
[00:05:26.720 --> 00:05:36.720]  或者是作為一個主耶穌降生的目擊證人
[00:05:36.720 --> 00:05:38.720]  我一定會到處說
[00:05:38.720 --> 00:05:42.720]  好了
[00:05:42.720 --> 00:05:45.720]  接著他們就回去
[00:05:45.720 --> 00:05:46.720]  還讚神
[00:05:46.720 --> 00:05:47.720]  讚美他
[00:05:47.720 --> 00:05:50.720]  將二文目到一切
[00:05:50.720 --> 00:05:54.720]  就好像天使所說的一樣
[00:05:54.720 --> 00:05:59.720]  那種很奇妙的感覺
[00:05:59.720 --> 00:06:00.720]  好了
[00:06:00.720 --> 00:06:02.720]  聖經到這裡
[00:06:02.720 --> 00:06:05.720]  這群人就靜止了
[00:06:05.720 --> 00:06:06.720]  我們可以想像
[00:06:06.720 --> 00:06:09.720]  這群人過了一年之後
