
[00:00:00.000 --> 00:00:02.560]  看個視頻,先看下個視頻
[00:00:02.560 --> 00:00:11.000]  呢個呢係一個叫TrustFall
[00:00:11.000 --> 00:00:12.800]  Daddy
[00:00:12.800 --> 00:00:14.840]  信唔信得過你呢?
[00:00:14.840 --> 00:00:19.160]  呢個TrustFall,呢個信任嘅
[00:00:30.360 --> 00:00:32.520]  Now, I'm gonna catch you, ok? I promise
[00:00:32.520 --> 00:00:33.560]  Go ahead and fall
[00:00:33.560 --> 00:00:37.560]  And I see, I'm catching you, but you're putting your foot back
[00:00:37.560 --> 00:00:38.840]  Don't put your foot back
[00:00:38.840 --> 00:00:39.840]  Maybe you're touching me
[00:00:39.840 --> 00:00:42.040]  Just a minute, sweetheart, I'll be right with you, ok?
[00:00:42.040 --> 00:00:44.080]  Stay right there, put your arms out
[00:00:44.080 --> 00:00:45.040]  Daddy
[00:00:45.040 --> 00:00:45.680]  Kath, careful
[00:00:45.680 --> 00:00:46.320]  Ouch
[00:00:46.320 --> 00:00:47.200]  Oh, no
[00:00:47.200 --> 00:00:47.960]  Ouch
[00:00:47.960 --> 00:00:49.120]  Oh, are you ok?
[00:00:49.120 --> 00:00:49.880]  Ouch
[00:00:49.880 --> 00:00:51.120]  Is your head hurt?
[00:00:51.120 --> 00:00:51.840]  Yeah
[00:00:51.840 --> 00:00:53.520]  Oh, are you ok?
[00:00:53.520 --> 00:00:54.720]  Oh, no
[00:00:54.720 --> 00:00:59.320]  呢個講信心㗎嘛,係咪?
[00:00:59.320 --> 00:01:01.480]  信唔信得過一個人呢?
[00:01:01.480 --> 00:01:04.600]  咁事實上,我就喺網上準備嘅時候
[00:01:04.600 --> 00:01:06.080]  就純粹去搵
[00:01:06.080 --> 00:01:07.920]  我打咩字落去呢?
[00:01:07.920 --> 00:01:08.560]  我話
[00:01:08.560 --> 00:01:09.760]  信任父親
[00:01:09.760 --> 00:01:11.120]  Trust your father
[00:01:11.120 --> 00:01:12.880]  或者I believe my father
[00:01:12.880 --> 00:01:15.720]  即係我用呢啲咁嘅字眼打上互聯網
[00:01:15.720 --> 00:01:17.280]  哇,我講俾大家聽
[00:01:17.280 --> 00:01:18.800]  我翻咗好多頁
[00:01:18.800 --> 00:01:21.000]  好多個page都搵唔到
[00:01:21.000 --> 00:01:22.640]  反而搵到啲咩嘢?
[00:01:22.640 --> 00:01:24.120]  我唔信我父親
[00:01:24.120 --> 00:01:27.040]  點解我唔信我父親?
[00:01:27.040 --> 00:01:29.200]  搵到好多嘅係呢啲咁樣嘅
[00:01:29.200 --> 00:01:30.920]  幾頁紙都係講呢啲咁嘢
[00:01:30.920 --> 00:01:31.760]  搵到最尾先
[00:01:31.760 --> 00:01:34.160]  有一個可以我啱用嘅
[00:01:34.160 --> 00:01:34.960]  OK?
[00:01:34.960 --> 00:01:35.760]  原來呢
[00:01:35.760 --> 00:01:38.040]  信唔信父親唔係咁容易嘅事喎
[00:01:38.040 --> 00:01:39.560]  咁唔知我哋做爸爸嗰啲
[00:01:39.560 --> 00:01:41.360]  就喺座裏面睇到呢啲咁嘅情況
[00:01:41.360 --> 00:01:43.640]  心裏面嘅感覺係點樣呢?
[00:01:43.640 --> 00:01:46.400]  即係我哋自己又信唔信我哋嘅爸爸呢?
[00:01:46.400 --> 00:01:47.640]  咁樣
[00:01:47.640 --> 00:01:48.640]  即係
[00:01:48.640 --> 00:01:51.000]  如果我哋做父親嗰啲呢
[00:01:51.000 --> 00:01:52.600]  我當中做過人哋Daddy
[00:01:52.600 --> 00:01:54.360]  做過人哋Daddy嗰啲
[00:01:54.360 --> 00:01:57.760]  如果你覺得好似我哋仔女都唔係好信得過我
[00:01:57.760 --> 00:02:00.360]  佢信CheckGPT多啲
[00:02:00.360 --> 00:02:02.400]  佢信嗰啲人工智能
[00:02:02.400 --> 00:02:03.640]  佢聊天多啲
[00:02:03.640 --> 00:02:06.640]  或者佢信Google Search
[00:02:06.640 --> 00:02:08.000]  嗰啲谷歌係咪
[00:02:08.000 --> 00:02:11.240]  谷歌搜尋結果多啲
[00:02:11.240 --> 00:02:12.760]  咁我當然我哋唔係好Likey啦
[00:02:12.760 --> 00:02:13.760]  我哋梗係唔好開心啦
[00:02:13.760 --> 00:02:15.800]  做爸爸係咩呀?
[00:02:15.800 --> 00:02:17.560]  咁我哋可以點樣
[00:02:17.560 --> 00:02:19.880]  去培養我哋啲仔女
[00:02:19.880 --> 00:02:21.520]  對我哋嘅信任呢?
[00:02:21.520 --> 00:02:22.840]  咁樣
[00:02:22.840 --> 00:02:23.680]  咁事實上呢
[00:02:23.680 --> 00:02:24.440]  老實講啦
[00:02:24.440 --> 00:02:25.720]  我都係做人爸爸嘅
[00:02:25.720 --> 00:02:26.640]  OK?
[00:02:26.640 --> 00:02:29.120]  咁我哋人呢
[00:02:29.120 --> 00:02:30.440]  就真係好多缺點嘅
[00:02:30.440 --> 00:02:31.120]  係咪呀?
[00:02:31.120 --> 00:02:32.440]  你既好人都好啦
[00:02:32.440 --> 00:02:33.560]  我哋都話有啲缺陷
[00:02:33.560 --> 00:02:35.480]  有啲不足嘅地方
[00:02:35.480 --> 00:02:36.440]  因為我哋係人囉
[00:02:36.440 --> 00:02:37.040]  係咪?
[00:02:37.040 --> 00:02:38.760]  我哋嘅成長過程當中呢
[00:02:38.760 --> 00:02:41.120]  我哋受咗好多唔同嘅事物影響我哋㗎嘛
[00:02:41.120 --> 00:02:42.600]  我哋以為自己啱晒
[00:02:42.600 --> 00:02:44.120]  但好多時候係唔啱㗎嘛
[00:02:44.120 --> 00:02:44.640]  係咪呀?
[00:02:44.640 --> 00:02:45.480]  做Daddy嗰啲
[00:02:45.480 --> 00:02:47.440]  最覺得我係家中嘅權威
[00:02:47.440 --> 00:02:49.800]  以為我講嗰啲世外資料都聽
[00:02:49.800 --> 00:02:52.040]  但係而家呢個資訊發達多地步呢
[00:02:52.040 --> 00:02:52.880]  啲細佬仔話
[00:02:52.880 --> 00:02:56.680]  係咪咁㗎?咁佢就google search咗一下㗎喇
[00:02:56.680 --> 00:02:58.520]  佢就上網問一問㗎喇
[00:02:58.520 --> 00:03:01.200]  所以我哋人係有軟弱嘅
[00:03:01.200 --> 00:03:02.600]  咁但係呢
[00:03:02.600 --> 00:03:03.960]  今日我同大家講嘅
[00:03:03.960 --> 00:03:04.880]  大家聽好多㗎喇
[00:03:04.880 --> 00:03:05.640]  我哋講乜嘢?
[00:03:05.640 --> 00:03:07.560]  係天父巴巴喎
[00:03:07.560 --> 00:03:08.000]  OK?
[00:03:08.000 --> 00:03:09.160]  係講上帝喎
[00:03:09.160 --> 00:03:10.240]  咁上帝就唔同喇
[00:03:10.240 --> 00:03:10.800]  點解呢?
[00:03:10.800 --> 00:03:11.840]  佢係上帝呀嘛
[00:03:11.840 --> 00:03:12.560]  上帝係咩意思?
[00:03:12.560 --> 00:03:13.280]  佢係神囉
[00:03:13.280 --> 00:03:14.840]  至高無上嘅主宰喎
[00:03:14.840 --> 00:03:17.200]  佢係無所不能無所不在
[00:03:17.200 --> 00:03:19.000]  即係嗰個嘅神嚟㗎喎
[00:03:19.000 --> 00:03:20.640]  獨一嘅真神
[00:03:20.640 --> 00:03:24.200]  呢個咁嘅神既然係全知全能存在嘅
[00:03:24.200 --> 00:03:26.200]  就值得我哋去相信喇
[00:03:26.200 --> 00:03:28.040]  係咪先?
[00:03:28.040 --> 00:03:29.160]  值得相信囉
[00:03:29.160 --> 00:03:30.920]  理智就係咁講囉
[00:03:30.920 --> 00:03:32.640]  咁我哋嘅問題係乜嘢嘢呢?
[00:03:32.640 --> 00:03:33.560]  你坐低喺度
[00:03:33.560 --> 00:03:34.960]  你唔信上帝咩?
[00:03:34.960 --> 00:03:35.880]  我相信你坐低喺度
[00:03:35.880 --> 00:03:37.600]  就算你未缺置信主都好喇
[00:03:37.600 --> 00:03:39.760]  你都相信未免有個主宰㗎
[00:03:39.760 --> 00:03:42.320]  好多時候唔係我哋唔認識呢個上帝
[00:03:42.320 --> 00:03:43.040]  我認識嘅
[00:03:43.040 --> 00:03:43.640]  我哋知道嘅
[00:03:43.640 --> 00:03:44.960]  我哋聽過嘅
[00:03:44.960 --> 00:03:46.520]  不過
[00:03:46.520 --> 00:03:47.160]  我哋發覺
[00:03:47.160 --> 00:03:48.880]  哎呀我哋對上帝嘅認識
[00:03:48.880 --> 00:03:50.680]  真係唔夠深囉
[00:03:50.680 --> 00:03:51.440]  係咪呀?
[00:03:51.440 --> 00:03:53.960]  我哋發覺呢
[00:03:53.960 --> 00:03:55.480]  會唔會我哋對上帝認識
[00:03:55.480 --> 00:03:58.840]  有啲嘅偏差呢?
[00:03:58.840 --> 00:04:00.400]  好多時候我發覺呢
[00:04:00.400 --> 00:04:03.240]  就算我都信耶穌好耐嘅基督徒
