
[00:00:00.000 --> 00:00:08.000]  《文素記》之前有三本書,這三本書就是《創世記》、《出埃及記》、《利未記》。
[00:00:08.000 --> 00:00:13.000]  我現在跟你說,這三本書和《文素記》息息相關。
[00:00:13.000 --> 00:00:17.000]  如果你就這樣看《文素記》,你是看不明白的,看不通的。
[00:00:17.000 --> 00:00:24.000]  但是你一定要看完,當你看完《創世記》、《出埃及記》、《利未記》,
[00:00:24.000 --> 00:00:30.000]  去到《文素記》,你知道上帝在搞什麼,我知道上帝的心意是什麼。
[00:00:30.000 --> 00:00:35.000]  我不知道你有沒有看過那些電影,有些電影都是一二三集,
[00:00:35.000 --> 00:00:37.000]  可能《蜘蛛人》也是一二三集。
[00:00:37.000 --> 00:00:44.000]  但是有些電影,通常你看完一集,你收視好,於是它有第二集,然後有第三集。
[00:00:44.000 --> 00:00:51.000]  但是你有沒有看過《星球大戰》,《星球大戰》是有我們叫做前傳的。
[00:00:51.000 --> 00:00:55.000]  因為《星球大戰》第一套照片的時候,就不是起初的。
[00:00:55.000 --> 00:01:02.000]  它先給了一個中間的episode,很成功,於是大家就說要再看。
[00:01:02.000 --> 00:01:07.000]  它拍的時候,拍拍拍,要拍前傳,再前傳,再前傳。
[00:01:07.000 --> 00:01:13.000]  所以你今天都是一樣的,你看《文素記》,其實你是需要看《文素記》的前傳。
[00:01:13.000 --> 00:01:15.000]  《文素記》的前傳是什麼?是《利未記》。
[00:01:15.000 --> 00:01:17.000]  《利未記》和《文素記》有沒有關係?有!
[00:01:17.000 --> 00:01:21.000]  關係重不重要?非常重要。
[00:01:21.000 --> 00:01:25.000]  你知不知道關係是什麼?不知道,不要緊,今天告訴你。
[00:01:25.000 --> 00:01:28.000]  《文素記》和《創世記》有沒有關係?有!
[00:01:28.000 --> 00:01:32.000]  《文素記》和《創世記》有沒有關係?有!
[00:01:32.000 --> 00:01:36.000]  完全你認識《創世記》、《創世記》、《利未記》,
[00:01:36.000 --> 00:01:39.000]  但是你不用知道很多,你不用做神學家的。
[00:01:39.000 --> 00:01:45.000]  但是你知道一些很重要的點,就是打開《文素記》的弱點。
[00:01:45.000 --> 00:01:50.000]  如果你留意到剛才那首歌,我們明天才看《段聖經》。
[00:01:50.000 --> 00:01:54.000]  裡面說這個應許之地,我們的題目叫《回應應許》。
[00:01:54.000 --> 00:01:59.000]  應許之地是特別有一個名字的。
[00:01:59.000 --> 00:02:06.000]  今天我問這些小朋友,給我四個字,這個地是什麼地呢?
[00:02:06.000 --> 00:02:08.000]  他們弄了很久才弄到。
[00:02:08.000 --> 00:02:15.000]  但是如果你在教會內,你應該知道這個地叫什麼名字?
[00:02:15.000 --> 00:02:20.000]  有沒有聽過?《流奶與脈》。
[00:02:20.000 --> 00:02:25.000]  什麼叫做《A land flowing with milk and honey》呢?
[00:02:25.000 --> 00:02:29.000]  我以前小時候聽的時候,什麼《流奶與脈》?
[00:02:29.000 --> 00:02:34.000]  就是那些山流下來的牛奶,就是怎樣?不知道為什麼。
[00:02:34.000 --> 00:02:37.000]  聖經學者當然有很多不同的想法,
[00:02:37.000 --> 00:02:40.000]  但是簡單來說,《流奶與脈》或者《Milk and honey》,
[00:02:40.000 --> 00:02:46.000]  是代表了當時在古代的世界裡面,都是一些很寶貝的東西。
[00:02:46.000 --> 00:02:54.000]  還有它是很滋陰養顏,或者說是很幫助你身體的好東西。
[00:02:54.000 --> 00:03:02.000]  如果你換了中國人的世界,可能說這個地方是靈芝人心出產地,天山雪蓮。
[00:03:02.000 --> 00:03:12.000]  總之那個地方真是好,人氣,在那個地方,人特別活得久一點,非常長壽。
[00:03:12.000 --> 00:03:14.000]  你想一下這個地。
[00:03:14.000 --> 00:03:21.000]  我們現在要去的地,那個《應許之地》,是一個《流奶與脈》的地方。
[00:03:21.000 --> 00:03:24.000]  是一個什麼地方?
[00:03:24.000 --> 00:03:31.000]  我用另一個詞語去代表給你聽,是一個很得無比的一個地方。
[00:03:31.000 --> 00:03:36.000]  上帝認許給以色列人的地方,要帶他們進入的這個《應許之地》。
[00:03:36.000 --> 00:03:40.000]  是一個很得無比的地方。
[00:03:40.000 --> 00:03:46.000]  你想一下,很得無比,林牧師說的,我相信他。
[00:03:46.000 --> 00:03:50.000]  很得無比是映射著另外一片土地的。
[00:03:50.000 --> 00:03:56.000]  你想一下,有哪一塊土地不在《文素記》裡面?
[00:03:56.000 --> 00:04:00.000]  是一個以前失落了的土地,是很得無比的。
[00:04:00.000 --> 00:04:03.000]  是很得無比的,不過失落了。
[00:04:03.000 --> 00:04:05.000]  那個地方是什麼呢?
