
[00:00:00.000 --> 00:00:05.900]  鼎姊妹包括同步直播觀看崇拜的鼎姊妹平安
[00:00:05.900 --> 00:00:12.820]  如果問現在香港人最努力、最忙碌的事情是什麼呢?
[00:00:12.820 --> 00:00:16.780]  我相信就是排隊買口罩
[00:00:16.780 --> 00:00:20.100]  大家不喜歡看這些照片
[00:00:20.100 --> 00:00:23.100]  你剛才來的時候應該看到真實的情景
[00:00:23.100 --> 00:00:26.020]  他們不是為一盒口罩
[00:00:26.020 --> 00:00:28.580]  而是為五個口罩
[00:00:29.620 --> 00:00:31.740]  可能不止排五個字
[00:00:31.740 --> 00:00:35.740]  因為上旅行社是要搭電梯的
[00:00:35.740 --> 00:00:39.940]  大家很努力在網上留意新的疫情
[00:00:39.940 --> 00:00:42.300]  防疫自保的方法
[00:00:42.300 --> 00:00:44.660]  訂購口罩的渠道
[00:00:44.660 --> 00:00:48.020]  我相信你和我可能都有這樣的光景
[00:00:48.020 --> 00:00:52.860]  更加努力可能為了一些很重要的事情
[00:00:52.860 --> 00:00:58.060]  NBA退役球星高比拜仁意外身亡
[00:00:58.940 --> 00:01:02.020]  他誤奪了NBA的總冠軍
[00:01:02.020 --> 00:01:05.780]  他的成功除了他不怕困難
[00:01:05.780 --> 00:01:07.860]  求勝的心之外
[00:01:07.860 --> 00:01:10.780]  也和他努力練習有關
[00:01:10.780 --> 00:01:13.940]  每天早上四點鐘他就練球
[00:01:13.940 --> 00:01:16.540]  所以他的成功不是僥倖
[00:01:16.540 --> 00:01:20.220]  而是加倍為他的目標來努力
[00:01:20.220 --> 00:01:23.900]  我們香港熟悉的單車手李維斯
[00:01:23.900 --> 00:01:25.780]  他的座右銘就是說
[00:01:25.780 --> 00:01:27.860]  只要努力和用心做
[00:01:28.220 --> 00:01:29.860]  就可以成功
[00:01:29.860 --> 00:01:33.340]  他刻苦使一個可以穿上
[00:01:33.340 --> 00:01:36.980]  單車界最高榮譽的彩虹戰衣來出賽
[00:01:36.980 --> 00:01:41.140]  有人為了成就冠軍
[00:01:41.140 --> 00:01:43.580]  可以竭盡所能
[00:01:43.580 --> 00:01:47.460]  今天我們努力防疫抗疫
[00:01:47.460 --> 00:01:48.900]  也無可厚非
[00:01:48.900 --> 00:01:50.620]  甚至我覺得是必須的
[00:01:50.620 --> 00:01:55.140]  面對我們屬靈的生命
[00:01:55.900 --> 00:01:58.500]  信仰成長路的需要
[00:01:58.500 --> 00:02:00.660]  甚至可能我們都知道
[00:02:00.660 --> 00:02:02.660]  自己的信仰生命
[00:02:02.660 --> 00:02:04.100]  已經出現疾病
[00:02:04.100 --> 00:02:06.780]  究竟我們怎樣去面對呢
[00:02:06.780 --> 00:02:09.060]  我們怎樣去防範呢
[00:02:09.060 --> 00:02:11.980]  我很想跟大家讀《比拉侯書》
[00:02:11.980 --> 00:02:13.900]  一章五節十一節
[00:02:13.900 --> 00:02:15.780]  我讀給大家聽好嗎
[00:02:15.780 --> 00:02:17.020]  一章五節十一節
[00:02:17.020 --> 00:02:19.420]  正因這緣故
[00:02:19.420 --> 00:02:21.180]  你們要憤外地努力
[00:02:21.180 --> 00:02:22.980]  有了信心
[00:02:22.980 --> 00:02:24.500]  又要加上德行
[00:02:25.100 --> 00:02:26.140]  有了德行
[00:02:26.140 --> 00:02:27.580]  又要加上知識
[00:02:27.580 --> 00:02:28.980]  有了知識
[00:02:28.980 --> 00:02:30.460]  又要加上節制
[00:02:30.460 --> 00:02:31.740]  有了節制
[00:02:31.740 --> 00:02:33.140]  又要加上忍耐
[00:02:33.140 --> 00:02:34.580]  有了忍耐
[00:02:34.580 --> 00:02:36.260]  又要加上虔敬
[00:02:36.260 --> 00:02:37.460]  有了虔敬
[00:02:37.460 --> 00:02:39.180]  又要加上愛弟兄的心
[00:02:39.180 --> 00:02:40.700]  有了愛弟兄的心
[00:02:40.700 --> 00:02:42.860]  又要加上愛眾人的心
[00:02:42.860 --> 00:02:44.860]  你們有了這幾樣
[00:02:44.860 --> 00:02:46.780]  再繼續增長
[00:02:46.780 --> 00:02:49.100]  就必使你們再認識
[00:02:49.100 --> 00:02:50.780]  我們的主耶穌基督上
